,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy
0,LinearRegression,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10'],
      dtype='object')",LinearRegression(),Performance,0.1,"CompressionMethod       8.733997e+16
x_10                    7.762114e+16
x_8                     7.762114e+16
x_6                     7.762114e+16
x_2                     7.762114e+16
x_4                     7.762114e+16
x_0                     7.762114e+16
BlockSize_4             3.656569e+16
BlockSize_512           3.656569e+16
BlockSize_8             3.656569e+16
BlockSize_32            3.656569e+16
BlockSize_16            3.656569e+16
BlockSize_2             3.656569e+16
BlockSize_128           3.656569e+16
BlockSize_256           3.656569e+16
BlockSize_4096          3.656569e+16
BlockSize_64            3.656569e+16
BlockSize_1             3.656569e+16
BlockSize_2048          3.656569e+16
BlockSize_1024          3.656569e+16
Files_100               3.197349e+16
Files_40                3.197349e+16
Files_80                3.197349e+16
Files_30                3.197349e+16
Files_50                3.197349e+16
Files_60                3.197349e+16
Files_70                3.197349e+16
Files_10                3.197349e+16
Files_20                3.197349e+16
Files_0                 3.197349e+16
Files_90                3.197349e+16
Files                   3.066172e+16
PPMd                    2.853630e+16
LZMA2                   2.853630e+16
LZMA                    2.853630e+16
Deflate                 2.853630e+16
BZip2                   2.853630e+16
BlockSize               4.261555e+15
root                    5.504884e+12
filterOff               1.034853e+03
tmOff                   9.773267e+02
mtOff                   8.561967e+02
HeaderCompressionOff    6.690241e+02
x                       3.200000e+01
dtype: float64","count    410.000000
mean      95.966150
std       97.938950
min        0.224719
25%       32.085996
50%       54.384236
75%      131.802768
max      413.535354
Name: % error, dtype: float64"
1,Lasso,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.1,"x_0                     12792.964702
x_4                     12686.950560
x_2                     12216.445514
BZip2                   11422.839911
x_10                    11402.658347
PPMd                     9036.409787
x_6                      5722.181822
LZMA2                    3394.476298
LZMA                     2469.295549
Deflate                  1452.079890
tmOff                     877.684299
filterOff                 753.788629
mtOff                     464.633695
BlockSize_4               374.336492
HeaderCompressionOff      338.274972
Files_20                  293.768118
Files_90                  255.649485
BlockSize_64              194.312057
Files_0                   172.027316
Files_80                  124.951001
Files_100                  86.631914
BlockSize_1                49.487995
Files_10                   44.439204
Files_50                   28.004599
dtype: float64","count    410.000000
mean      90.120796
std       95.714976
min        0.892258
25%       30.354028
50%       46.798353
75%      129.810083
max      377.668784
Name: % error, dtype: float64"
2,Ridge,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10'],
      dtype='object')",Ridge(alpha=10),Performance,0.1,"x_10                    16651.289471
BZip2                   11739.849497
PPMd                     8555.356652
x_0                      7451.062952
x_4                      7346.378484
x_2                      6783.540214
x_8                      5425.514294
LZMA2                    3051.895424
LZMA                     2125.109377
Deflate                  1992.511956
filterOff                1040.726094
tmOff                     979.198110
BlockSize_4               745.688867
mtOff                     729.571792
HeaderCompressionOff      652.752324
BlockSize_1024            565.385628
Files_90                  554.407330
x_6                       495.822116
Files_20                  479.276367
Files_100                 429.633951
Files_80                  415.264363
BlockSize_2048            355.925114
Files_0                   333.617630
Files_50                  311.581918
BlockSize_1               308.202069
BlockSize_512             308.010752
BlockSize_8               308.003793
BlockSize_64              291.988614
BlockSize_32              256.667992
BlockSize_16              250.072032
BlockSize_128             202.360837
Files_10                  188.957295
Files_40                  169.124042
BlockSize_4096            151.367492
Files_70                  107.473973
Files_30                   82.415288
Files_60                   40.765089
BlockSize_2                39.332867
BlockSize_256              32.546549
dtype: float64","count    410.000000
mean      91.901692
std       96.700659
min        0.112912
25%       30.304190
50%       48.171627
75%      127.388124
max      391.868210
Name: % error, dtype: float64"
3,ElasticNet,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10'],
      dtype='object')","ElasticNet(alpha=25, l1_ratio=1.0, max_iter=5)",Performance,0.1,"x_0                     12792.964702
x_4                     12686.950560
x_2                     12216.445514
BZip2                   11422.839911
x_10                    11402.658347
PPMd                     9036.409787
x_6                      5722.181822
LZMA2                    3394.476298
LZMA                     2469.295549
Deflate                  1452.079890
tmOff                     877.684299
filterOff                 753.788629
mtOff                     464.633695
BlockSize_4               374.336492
HeaderCompressionOff      338.274972
Files_20                  293.768118
Files_90                  255.649485
BlockSize_64              194.312057
Files_0                   172.027316
Files_80                  124.951001
Files_100                  86.631914
BlockSize_1                49.487995
Files_10                   44.439204
Files_50                   28.004599
dtype: float64","count    410.000000
mean      90.120796
std       95.714976
min        0.892258
25%       30.354028
50%       46.798353
75%      129.810083
max      377.668784
Name: % error, dtype: float64"
4,LinearRegression,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10'],
      dtype='object')",LinearRegression(),Performance,0.2,"CompressionMethod       3.110211e+17
Files                   1.156285e+17
BlockSize_1024          7.389514e+16
BlockSize_2048          7.389514e+16
BlockSize_64            7.389514e+16
BlockSize_1             7.389514e+16
BlockSize_4096          7.389514e+16
BlockSize_256           7.389514e+16
BlockSize_128           7.389514e+16
BlockSize_2             7.389514e+16
BlockSize_8             7.389514e+16
BlockSize_32            7.389514e+16
BlockSize_512           7.389514e+16
BlockSize_16            7.389514e+16
BlockSize_4             7.389514e+16
Files_20                3.828028e+16
Files_90                3.828028e+16
Files_0                 3.828028e+16
Files_60                3.828028e+16
Files_70                3.828028e+16
Files_50                3.828028e+16
Files_10                3.828028e+16
Files_40                3.828028e+16
Files_30                3.828028e+16
Files_100               3.828028e+16
Files_80                3.828028e+16
x_4                     3.810321e+16
x_0                     3.810321e+16
x_2                     3.810321e+16
x_6                     3.810321e+16
x_8                     3.810321e+16
x_10                    3.810321e+16
BZip2                   1.948379e+16
Deflate                 1.948379e+16
LZMA                    1.948379e+16
LZMA2                   1.948379e+16
PPMd                    1.948379e+16
BlockSize               2.297616e+15
root                    2.782828e+13
filterOff               1.001064e+03
tmOff                   7.909513e+02
HeaderCompressionOff    7.834522e+02
mtOff                   6.499390e+02
x                       3.200000e+01
dtype: float64","count    819.000000
mean      90.217662
std       91.102361
min        0.337553
25%       32.522475
50%       50.526316
75%      131.866451
max      393.333333
Name: % error, dtype: float64"
5,Lasso,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.2,"x_4                     12685.363367
x_0                     12628.043779
x_2                     12101.792142
BZip2                   11373.658562
x_10                    11308.270928
PPMd                     8965.086586
x_6                      5782.405621
LZMA2                    3274.051908
LZMA                     2341.422270
Deflate                  1412.324683
tmOff                     744.554044
filterOff                 676.151562
Files_20                  618.375029
mtOff                     330.902108
HeaderCompressionOff      322.378561
BlockSize_4               293.796561
BlockSize_64              278.555800
Files_0                   217.079911
Files_90                   86.140952
Files_40                   27.257800
dtype: float64","count    819.000000
mean      88.274016
std       93.079449
min        0.810920
25%       30.422940
50%       44.779178
75%      130.355111
max      387.704845
Name: % error, dtype: float64"
6,Ridge,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10'],
      dtype='object')",Ridge(alpha=10),Performance,0.2,"x_10                    16497.927525
BZip2                   11617.611733
PPMd                     8510.642268
x_4                      7383.528435
x_0                      7268.819820
x_2                      6720.355170
x_8                      5465.950262
LZMA2                    2974.558153
LZMA                     2038.993130
Deflate                  1906.581819
filterOff                 941.809198
tmOff                     891.542266
Files_20                  755.612574
BlockSize_4               711.423145
mtOff                     630.960347
HeaderCompressionOff      629.584695
BlockSize_1024            598.575970
x_6                       591.174362
Files_40                  360.611685
Files_90                  345.291480
BlockSize_64              344.917502
Files_0                   332.765626
BlockSize_16              284.613729
BlockSize_2048            272.099316
BlockSize_8               252.778107
Files_30                  243.601283
BlockSize_1               240.669642
Files_10                  218.262052
Files_70                  210.907077
Files_80                  195.775848
Files_50                  171.864939
BlockSize_4096            166.388787
BlockSize_512             165.000875
Files_100                 134.237010
BlockSize_2               113.288089
BlockSize_32              102.969155
Files_60                  101.590215
BlockSize_128              99.578417
BlockSize_256              92.156535
dtype: float64","count    819.000000
mean      89.103053
std       92.652200
min        0.186720
25%       31.033344
50%       46.034876
75%      131.784739
max      393.519619
Name: % error, dtype: float64"
7,ElasticNet,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10'],
      dtype='object')","ElasticNet(alpha=25, l1_ratio=1.0, max_iter=5)",Performance,0.2,"x_4                     12685.363367
x_0                     12628.043779
x_2                     12101.792142
BZip2                   11373.658562
x_10                    11308.270928
PPMd                     8965.086586
x_6                      5782.405621
LZMA2                    3274.051908
LZMA                     2341.422270
Deflate                  1412.324683
tmOff                     744.554044
filterOff                 676.151562
Files_20                  618.375029
mtOff                     330.902108
HeaderCompressionOff      322.378561
BlockSize_4               293.796561
BlockSize_64              278.555800
Files_0                   217.079911
Files_90                   86.140952
Files_40                   27.257800
dtype: float64","count    819.000000
mean      88.274016
std       93.079449
min        0.810920
25%       30.422940
50%       44.779178
75%      130.355111
max      387.704845
Name: % error, dtype: float64"
8,LinearRegression,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10'],
      dtype='object')",LinearRegression(),Performance,0.3,"x_4                     1.869175e+17
x_0                     1.869175e+17
x_2                     1.869175e+17
x_6                     1.869175e+17
x_8                     1.869175e+17
x_10                    1.869175e+17
BlockSize_4             5.129390e+16
BlockSize_16            5.129390e+16
BlockSize_32            5.129390e+16
BlockSize_2             5.129390e+16
BlockSize_128           5.129390e+16
BlockSize_256           5.129390e+16
BlockSize_512           5.129390e+16
BlockSize_2048          5.129390e+16
BlockSize_8             5.129390e+16
BlockSize_1             5.129390e+16
BlockSize_64            5.129390e+16
BlockSize_4096          5.129390e+16
BlockSize_1024          5.129390e+16
PPMd                    1.944239e+16
LZMA2                   1.944239e+16
LZMA                    1.944239e+16
Deflate                 1.944239e+16
BZip2                   1.944239e+16
CompressionMethod       8.070312e+15
Files                   7.825320e+15
BlockSize               7.779075e+15
Files_40                7.376490e+15
Files_30                7.376490e+15
Files_70                7.376490e+15
Files_100               7.376490e+15
Files_50                7.376490e+15
Files_10                7.376490e+15
Files_80                7.376490e+15
Files_0                 7.376490e+15
Files_90                7.376490e+15
Files_60                7.376490e+15
Files_20                7.376490e+15
root                    6.469119e+12
filterOff               8.919235e+02
tmOff                   8.272418e+02
HeaderCompressionOff    6.395965e+02
mtOff                   5.661259e+02
x                       4.800000e+01
dtype: float64","count    1228.000000
mean       92.202581
std        93.717905
min         0.000000
25%        32.754687
50%        50.568280
75%       133.631545
max       433.827160
Name: % error, dtype: float64"
9,Lasso,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10'],
      dtype='object')","Lasso(alpha=25, max_iter=100)",Performance,0.3,"x_10                    17454.396753
BZip2                   13979.631162
PPMd                     6512.965824
x_0                      6440.558862
x_4                      6347.424853
x_8                      5994.627487
x_2                      5874.186256
Deflate                  3772.151358
LZMA2                     935.304044
tmOff                     589.791457
Files_20                  488.688520
filterOff                 468.112250
BlockSize_64              439.118476
BlockSize_4096            350.482803
Files_40                  230.066837
HeaderCompressionOff      213.317336
Files_30                  211.515944
mtOff                     135.590153
Files_60                   97.709405
BlockSize_4                33.085659
BlockSize_1                23.105782
dtype: float64","count    1228.000000
mean       88.242008
std        90.670081
min         0.077989
25%        31.770755
50%        44.566378
75%       133.759907
max       390.174985
Name: % error, dtype: float64"
