,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy
0,LinearRegression,False,None,"Index(['filterOff', 'HeaderCompressionOff', 'mtOff', 'LZMA', 'LZMA2', 'PPMd',
       'BZip2', 'Deflate', 'tmOff', 'Files_0', 'Files_10', 'Files_20',
       'Files_30', 'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80',
       'Files_90', 'Files_100', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x_0', 'x_2', 'x_4', 'x_6', 'x_8',
       'x_10', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"Files_90                3.445884e+16
Files_20                3.445884e+16
Files_0                 3.445884e+16
Files_10                3.445884e+16
Files_60                3.445884e+16
Files_70                3.445884e+16
Files_30                3.445884e+16
Files_40                3.445884e+16
Files_50                3.445884e+16
Files_80                3.445884e+16
Files_100               3.445884e+16
BlockSize_1024          2.663923e+16
BlockSize_2048          2.663923e+16
BlockSize_1             2.663923e+16
BlockSize_64            2.663923e+16
BlockSize_4096          2.663923e+16
BlockSize_128           2.663923e+16
BlockSize_256           2.663923e+16
BlockSize_2             2.663923e+16
BlockSize_32            2.663923e+16
BlockSize_16            2.663923e+16
BlockSize_8             2.663923e+16
BlockSize_512           2.663923e+16
BlockSize_4             2.663923e+16
x_10                    1.945942e+16
x_8                     1.945942e+16
x_6                     1.945942e+16
x_2                     1.945942e+16
x_4                     1.945942e+16
x_0                     1.945942e+16
tmOff                   1.222021e+16
HeaderCompressionOff    1.222021e+16
#yes                    1.222021e+16
mtOff                   1.222021e+16
filterOff               1.222021e+16
BZip2                   8.145415e+15
Deflate                 8.145415e+15
LZMA                    8.145415e+15
LZMA2                   8.145415e+15
PPMd                    8.145415e+15
dtype: float64","count    410.000000
mean      95.032497
std       99.832670
min        0.545073
25%       31.244466
50%       51.997616
75%      128.029738
max      410.303030
Name: % error, dtype: float64"
1,Lasso,False,None,"Index(['filterOff', 'HeaderCompressionOff', 'mtOff', 'LZMA', 'LZMA2', 'PPMd',
       'BZip2', 'Deflate', 'tmOff', 'Files_0', 'Files_10', 'Files_20',
       'Files_30', 'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80',
       'Files_90', 'Files_100', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x_0', 'x_2', 'x_4', 'x_6', 'x_8',
       'x_10', '#yes'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.1,"x_0                     12762.940576
x_4                     12718.216488
x_2                     12240.651095
BZip2                   11433.153530
x_10                    11395.109415
PPMd                     9047.575632
x_6                      5712.535834
LZMA2                    3394.717082
LZMA                     2471.858172
Deflate                  1453.331363
tmOff                    1074.863166
HeaderCompressionOff      604.006941
filterOff                 359.138385
BlockSize_4               332.610118
Files_20                  298.464294
#yes                      265.416721
Files_90                  262.703025
mtOff                     213.580428
BlockSize_64              212.307407
Files_0                   172.100572
Files_80                  126.897209
Files_100                  80.335972
BlockSize_1                57.174622
Files_10                   47.975482
Files_50                   29.664735
dtype: float64","count    410.000000
mean      89.966318
std       95.706862
min        0.105930
25%       30.260446
50%       46.231546
75%      130.208340
max      377.539056
Name: % error, dtype: float64"
2,Ridge,False,None,"Index(['filterOff', 'HeaderCompressionOff', 'mtOff', 'LZMA', 'LZMA2', 'PPMd',
       'BZip2', 'Deflate', 'tmOff', 'Files_0', 'Files_10', 'Files_20',
       'Files_30', 'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80',
       'Files_90', 'Files_100', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x_0', 'x_2', 'x_4', 'x_6', 'x_8',
       'x_10', '#yes'],
      dtype='object')",Ridge(alpha=10),Performance,0.1,"x_10                    16651.271652
BZip2                   11739.952434
PPMd                     8555.332746
x_0                      7451.160220
x_4                      7346.343678
x_2                      6783.531751
x_8                      5425.534555
LZMA2                    3051.888777
LZMA                     2125.205343
Deflate                  1992.474432
filterOff                1013.080375
tmOff                    1006.926519
BlockSize_4               746.111233
mtOff                     702.227899
HeaderCompressionOff      680.492092
BlockSize_1024            565.671337
Files_90                  554.302317
x_6                       495.770557
Files_20                  479.275720
Files_100                 429.732686
Files_80                  415.225469
BlockSize_2048            355.925097
Files_0                   333.611101
Files_50                  311.557895
BlockSize_1               308.214093
BlockSize_512             308.083251
BlockSize_8               307.748968
BlockSize_64              291.795963
BlockSize_32              256.456266
BlockSize_16              250.321131
BlockSize_128             202.410913
Files_10                  188.911745
Files_40                  169.031144
BlockSize_4096            151.441002
Files_70                  107.369754
Files_30                   82.373756
Files_60                   40.810179
BlockSize_2                39.239273
BlockSize_256              32.501717
#yes                       27.889663
dtype: float64","count    410.000000
mean      91.901220
std       96.700778
min        0.110940
25%       30.303141
50%       48.173716
75%      127.402782
max      391.887430
Name: % error, dtype: float64"
3,ElasticNet,False,None,"Index(['filterOff', 'HeaderCompressionOff', 'mtOff', 'LZMA', 'LZMA2', 'PPMd',
       'BZip2', 'Deflate', 'tmOff', 'Files_0', 'Files_10', 'Files_20',
       'Files_30', 'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80',
       'Files_90', 'Files_100', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x_0', 'x_2', 'x_4', 'x_6', 'x_8',
       'x_10', '#yes'],
      dtype='object')","ElasticNet(alpha=25, l1_ratio=1.0, max_iter=5)",Performance,0.1,"x_0                     12762.940576
x_4                     12718.216488
x_2                     12240.651095
BZip2                   11433.153530
x_10                    11395.109415
PPMd                     9047.575632
x_6                      5712.535834
LZMA2                    3394.717082
LZMA                     2471.858172
Deflate                  1453.331363
tmOff                    1074.863166
HeaderCompressionOff      604.006941
filterOff                 359.138385
BlockSize_4               332.610118
Files_20                  298.464294
#yes                      265.416721
Files_90                  262.703025
mtOff                     213.580428
BlockSize_64              212.307407
Files_0                   172.100572
Files_80                  126.897209
Files_100                  80.335972
BlockSize_1                57.174622
Files_10                   47.975482
Files_50                   29.664735
dtype: float64","count    410.000000
mean      89.966318
std       95.706862
min        0.105930
25%       30.260446
50%       46.231546
75%      130.208340
max      377.539056
Name: % error, dtype: float64"
4,LinearRegression,False,None,"Index(['filterOff', 'HeaderCompressionOff', 'mtOff', 'LZMA', 'LZMA2', 'PPMd',
       'BZip2', 'Deflate', 'tmOff', 'Files_0', 'Files_10', 'Files_20',
       'Files_30', 'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80',
       'Files_90', 'Files_100', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x_0', 'x_2', 'x_4', 'x_6', 'x_8',
       'x_10', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"tmOff                   1.279625e+16
HeaderCompressionOff    1.279625e+16
#yes                    1.279625e+16
filterOff               1.279625e+16
mtOff                   1.279625e+16
BZip2                   6.901014e+15
Deflate                 6.901014e+15
LZMA                    6.901014e+15
LZMA2                   6.901014e+15
PPMd                    6.901014e+15
x_10                    1.041604e+15
x_8                     1.041604e+15
x_6                     1.041604e+15
x_2                     1.041604e+15
x_0                     1.041604e+15
x_4                     1.041604e+15
Files_40                7.442380e+14
Files_30                7.442380e+14
Files_70                7.442380e+14
Files_10                7.442380e+14
Files_80                7.442380e+14
Files_100               7.442380e+14
Files_50                7.442380e+14
Files_60                7.442380e+14
Files_0                 7.442380e+14
Files_90                7.442380e+14
Files_20                7.442380e+14
BlockSize_4             3.981387e+14
BlockSize_16            3.981387e+14
BlockSize_8             3.981387e+14
BlockSize_2             3.981387e+14
BlockSize_512           3.981387e+14
BlockSize_32            3.981387e+14
BlockSize_256           3.981387e+14
BlockSize_128           3.981387e+14
BlockSize_4096          3.981387e+14
BlockSize_1             3.981387e+14
BlockSize_64            3.981387e+14
BlockSize_2048          3.981387e+14
BlockSize_1024          3.981387e+14
dtype: float64","count    819.000000
mean      91.233348
std       94.319353
min        0.061920
25%       31.966580
50%       50.081871
75%      131.279353
max      410.736842
Name: % error, dtype: float64"
5,Lasso,False,None,"Index(['filterOff', 'HeaderCompressionOff', 'mtOff', 'LZMA', 'LZMA2', 'PPMd',
       'BZip2', 'Deflate', 'tmOff', 'Files_0', 'Files_10', 'Files_20',
       'Files_30', 'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80',
       'Files_90', 'Files_100', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x_0', 'x_2', 'x_4', 'x_6', 'x_8',
       'x_10', '#yes'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.2,"x_4                     12717.872991
x_0                     12597.182922
x_2                     12127.014135
BZip2                   11385.902749
x_10                    11301.191385
PPMd                     8977.506659
x_6                      5774.126184
LZMA2                    3271.252323
LZMA                     2344.892739
Deflate                  1412.235249
tmOff                     980.734212
HeaderCompressionOff      634.716104
Files_20                  622.542028
#yes                      303.207037
BlockSize_64              296.553744
BlockSize_4               251.039852
filterOff                 242.543650
Files_0                   216.798270
Files_90                   93.027062
mtOff                      39.053162
Files_40                   31.162378
BlockSize_1                 6.500752
dtype: float64","count    819.000000
mean      88.177166
std       93.007668
min        1.407346
25%       30.818461
50%       45.052850
75%      130.781256
max      388.613355
Name: % error, dtype: float64"
6,Ridge,False,None,"Index(['filterOff', 'HeaderCompressionOff', 'mtOff', 'LZMA', 'LZMA2', 'PPMd',
       'BZip2', 'Deflate', 'tmOff', 'Files_0', 'Files_10', 'Files_20',
       'Files_30', 'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80',
       'Files_90', 'Files_100', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x_0', 'x_2', 'x_4', 'x_6', 'x_8',
       'x_10', '#yes'],
      dtype='object')",Ridge(alpha=10),Performance,0.2,"x_10                    16497.920058
BZip2                   11617.656487
PPMd                     8510.631351
x_4                      7383.514286
x_0                      7268.863220
x_2                      6720.352431
x_8                      5465.960126
LZMA2                    2974.558666
LZMA                     2039.034508
Deflate                  1906.568038
filterOff                 931.489988
tmOff                     901.895500
Files_20                  755.613161
BlockSize_4               711.597341
HeaderCompressionOff      639.942159
mtOff                     620.768705
BlockSize_1024            598.695832
x_6                       591.150247
Files_40                  360.572626
Files_90                  345.246651
BlockSize_64              344.836666
Files_0                   332.763936
BlockSize_16              284.719980
BlockSize_2048            272.101689
BlockSize_8               252.672869
Files_30                  243.588310
BlockSize_1               240.674477
Files_10                  218.279954
Files_70                  210.862995
Files_80                  195.758950
Files_50                  171.854367
BlockSize_4096            166.420818
BlockSize_512             165.029695
Files_100                 134.277409
BlockSize_2               113.249862
BlockSize_32              102.880762
Files_60                  101.570862
BlockSize_128              99.594857
BlockSize_256              92.173829
#yes                       10.421034
dtype: float64","count    819.000000
mean      89.103024
std       92.652241
min        0.186520
25%       31.033073
50%       46.033898
75%      131.783674
max      393.513885
Name: % error, dtype: float64"
7,ElasticNet,False,None,"Index(['filterOff', 'HeaderCompressionOff', 'mtOff', 'LZMA', 'LZMA2', 'PPMd',
       'BZip2', 'Deflate', 'tmOff', 'Files_0', 'Files_10', 'Files_20',
       'Files_30', 'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80',
       'Files_90', 'Files_100', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x_0', 'x_2', 'x_4', 'x_6', 'x_8',
       'x_10', '#yes'],
      dtype='object')","ElasticNet(alpha=25, l1_ratio=1.0, max_iter=5)",Performance,0.2,"x_4                     12717.872991
x_0                     12597.182922
x_2                     12127.014135
BZip2                   11385.902749
x_10                    11301.191385
PPMd                     8977.506659
x_6                      5774.126184
LZMA2                    3271.252323
LZMA                     2344.892739
Deflate                  1412.235249
tmOff                     980.734212
HeaderCompressionOff      634.716104
Files_20                  622.542028
#yes                      303.207037
BlockSize_64              296.553744
BlockSize_4               251.039852
filterOff                 242.543650
Files_0                   216.798270
Files_90                   93.027062
mtOff                      39.053162
Files_40                   31.162378
BlockSize_1                 6.500752
dtype: float64","count    819.000000
mean      88.177166
std       93.007668
min        1.407346
25%       30.818461
50%       45.052850
75%      130.781256
max      388.613355
Name: % error, dtype: float64"
8,LinearRegression,False,None,"Index(['filterOff', 'HeaderCompressionOff', 'mtOff', 'LZMA', 'LZMA2', 'PPMd',
       'BZip2', 'Deflate', 'tmOff', 'Files_0', 'Files_10', 'Files_20',
       'Files_30', 'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80',
       'Files_90', 'Files_100', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x_0', 'x_2', 'x_4', 'x_6', 'x_8',
       'x_10', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.3,"BZip2                   4.767240e+15
Deflate                 4.767240e+15
LZMA                    4.767240e+15
LZMA2                   4.767240e+15
PPMd                    4.767240e+15
x_10                    4.299911e+14
x_8                     4.299911e+14
x_6                     4.299911e+14
x_2                     4.299911e+14
x_4                     4.299911e+14
x_0                     4.299911e+14
tmOff                   2.320535e+14
HeaderCompressionOff    2.320535e+14
#yes                    2.320535e+14
mtOff                   2.320535e+14
filterOff               2.320535e+14
BlockSize_1024          2.156233e+14
BlockSize_4096          2.156233e+14
BlockSize_64            2.156233e+14
BlockSize_1             2.156233e+14
BlockSize_2048          2.156233e+14
BlockSize_8             2.156233e+14
BlockSize_256           2.156233e+14
BlockSize_128           2.156233e+14
BlockSize_2             2.156233e+14
BlockSize_512           2.156233e+14
BlockSize_32            2.156233e+14
BlockSize_16            2.156233e+14
BlockSize_4             2.156233e+14
Files_20                2.322171e+13
Files_60                2.322171e+13
Files_90                2.322171e+13
Files_0                 2.322171e+13
Files_50                2.322171e+13
Files_80                2.322171e+13
Files_10                2.322171e+13
Files_70                2.322171e+13
Files_100               2.322171e+13
Files_30                2.322171e+13
Files_40                2.322171e+13
dtype: float64","count    1228.000000
mean       92.093511
std        93.240055
min         0.058263
25%        32.516652
50%        50.259750
75%       135.722114
max       417.160494
Name: % error, dtype: float64"
9,Lasso,False,None,"Index(['filterOff', 'HeaderCompressionOff', 'mtOff', 'LZMA', 'LZMA2', 'PPMd',
       'BZip2', 'Deflate', 'tmOff', 'Files_0', 'Files_10', 'Files_20',
       'Files_30', 'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80',
       'Files_90', 'Files_100', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x_0', 'x_2', 'x_4', 'x_6', 'x_8',
       'x_10', '#yes'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.3,"x_0                     12634.462429
x_4                     12575.335418
x_2                     12114.961260
BZip2                   11604.140260
x_10                    11316.078020
PPMd                     8927.736003
x_6                      5556.440863
LZMA2                    3293.288921
LZMA                     2298.572990
Deflate                  1390.072377
tmOff                     947.976924
HeaderCompressionOff      593.183836
Files_20                  489.287913
BlockSize_64              462.903236
BlockSize_4096            332.963338
#yes                      300.439931
Files_40                  221.065514
Files_30                  213.828769
filterOff                 142.785689
Files_60                   85.435576
BlockSize_1                85.073914
BlockSize_4                38.712119
dtype: float64","count    1228.000000
mean       88.374783
std        91.412020
min         0.138064
25%        31.914229
50%        44.820075
75%       133.093264
max       393.793865
Name: % error, dtype: float64"
