,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['gvn', 'instcombine', 'licm', 'inline'], dtype='object')",LinearRegression(),Performance,0.1,"gvn            28.546014
instcombine    17.217002
licm           14.109718
inline          9.685088
dtype: float64","count    149.000000
mean       2.083032
std        2.620873
min        0.007494
25%        0.509186
50%        1.221007
75%        2.249557
max       15.044799
Name: % error, dtype: float64",4
1,Lasso,False,DecisionTree,"Index(['gvn', 'instcombine', 'licm', 'inline'], dtype='object')","Lasso(alpha=0.01, max_iter=1)",Performance,0.1,"gvn            25.016333
instcombine    14.997880
licm            9.583989
inline          7.963076
dtype: float64","count    149.000000
mean       2.150193
std        2.679869
min        0.034117
25%        0.639755
50%        1.301446
75%        2.353926
max       16.135980
Name: % error, dtype: float64",4
2,Ridge,False,DecisionTree,"Index(['gvn', 'instcombine', 'licm', 'inline'], dtype='object')",Ridge(alpha=0.2),Performance,0.1,"gvn            26.639268
instcombine    15.030086
licm           12.804430
inline          8.878219
dtype: float64","count    149.000000
mean       2.044147
std        2.585522
min        0.009220
25%        0.548811
50%        1.212863
75%        2.137621
max       15.190987
Name: % error, dtype: float64",4
3,ElasticNet,False,DecisionTree,"Index(['gvn', 'instcombine', 'licm', 'inline'], dtype='object')","ElasticNet(alpha=0.01, l1_ratio=1.0, max_iter=1)",Performance,0.1,"gvn            25.016333
instcombine    14.997880
licm            9.583989
inline          7.963076
dtype: float64","count    149.000000
mean       2.150193
std        2.679869
min        0.034117
25%        0.639755
50%        1.301446
75%        2.353926
max       16.135980
Name: % error, dtype: float64",4
4,PolynomialRegression,False,DecisionTree,"Index(['gvn', 'instcombine', 'licm', 'inline'], dtype='object')",LinearRegression(),Performance,0.1,"gvn            11.351944
instcombine    10.139444
licm            5.236111
inline          3.772222
dtype: float64","count    149.000000
mean       2.268894
std        2.856085
min        0.017435
25%        0.703380
50%        1.353488
75%        2.410996
max       16.674802
Name: % error, dtype: float64",4
5,RandomForest,False,DecisionTree,"Index(['gvn', 'instcombine', 'licm', 'inline'], dtype='object')",RandomForestRegressor(),Performance,0.1,"gvn           NaN
instcombine   NaN
licm          NaN
inline        NaN
Name: % error, dtype: float64","count    149.000000
mean       2.713764
std        3.405845
min        0.022534
25%        0.781596
50%        1.629642
75%        3.115531
max       19.938551
Name: % error, dtype: float64",4
6,GradientBoostingTree,False,DecisionTree,"Index(['gvn', 'instcombine', 'licm', 'inline'], dtype='object')",GradientBoostingRegressor(),Performance,0.1,"gvn           NaN
instcombine   NaN
licm          NaN
inline        NaN
Name: % error, dtype: float64","count    149.000000
mean       2.453174
std        3.036006
min        0.005974
25%        0.760962
50%        1.532678
75%        2.675115
max       17.913058
Name: % error, dtype: float64",4
7,DecisionTree,False,DecisionTree,"Index(['gvn', 'instcombine', 'licm', 'inline'], dtype='object')",DecisionTreeRegressor(),Performance,0.1,"gvn           NaN
instcombine   NaN
licm          NaN
inline        NaN
Name: % error, dtype: float64","count    149.000000
mean       2.674069
std        3.525943
min        0.013660
25%        0.783755
50%        1.532605
75%        2.844471
max       20.606948
Name: % error, dtype: float64",4
8,LinearRegression,False,DecisionTree,"Index(['gvn', 'instcombine', 'licm', 'inline'], dtype='object')",LinearRegression(),Performance,0.2,"gvn            26.430679
instcombine    17.065821
licm           15.291715
inline         10.142202
dtype: float64","count    132.000000
mean       2.083640
std        2.582875
min        0.049470
25%        0.543825
50%        1.142433
75%        2.384433
max       14.368549
Name: % error, dtype: float64",4
9,Lasso,False,DecisionTree,"Index(['gvn', 'instcombine', 'licm', 'inline'], dtype='object')","Lasso(alpha=0.1, max_iter=5)",Performance,0.2,"gvn            25.596897
instcombine    16.351379
licm           14.281389
inline          9.208805
dtype: float64","count    132.000000
mean       2.077331
std        2.603259
min        0.007591
25%        0.638707
50%        1.128296
75%        2.156328
max       14.731923
Name: % error, dtype: float64",4
10,Ridge,False,DecisionTree,"Index(['gvn', 'instcombine', 'licm', 'inline'], dtype='object')",Ridge(alpha=0.2),Performance,0.2,"gvn            25.357667
instcombine    16.310160
licm           14.460851
inline          9.412896
dtype: float64","count    132.000000
mean       2.066946
std        2.577317
min        0.001372
25%        0.633157
50%        1.154299
75%        2.154922
max       14.601347
Name: % error, dtype: float64",4
11,ElasticNet,False,DecisionTree,"Index(['gvn', 'instcombine', 'licm', 'inline'], dtype='object')","ElasticNet(alpha=0.01, l1_ratio=0.1, max_iter=5)",Performance,0.2,"gvn            24.859535
instcombine    15.959928
licm           14.076080
inline          9.078237
dtype: float64","count    132.000000
mean       2.076617
std        2.572035
min        0.000103
25%        0.590861
50%        1.222567
75%        2.153936
max       14.708264
Name: % error, dtype: float64",4
12,PolynomialRegression,False,DecisionTree,"Index(['gvn', 'instcombine', 'licm', 'inline'], dtype='object')",LinearRegression(),Performance,0.2,"gvn            10.998889
instcombine     8.505278
licm            5.936389
inline          3.972341
dtype: float64","count    132.000000
mean       2.261068
std        2.877299
min        0.014569
25%        0.650439
50%        1.311504
75%        2.194681
max       15.913733
Name: % error, dtype: float64",4
13,RandomForest,False,DecisionTree,"Index(['gvn', 'instcombine', 'licm', 'inline'], dtype='object')",RandomForestRegressor(),Performance,0.2,"gvn           NaN
instcombine   NaN
licm          NaN
inline        NaN
Name: % error, dtype: float64","count    132.000000
mean       2.239897
std        3.239706
min        0.037576
25%        0.608626
50%        1.253504
75%        2.087075
max       19.240329
Name: % error, dtype: float64",4
14,GradientBoostingTree,False,DecisionTree,"Index(['gvn', 'instcombine', 'licm', 'inline'], dtype='object')",GradientBoostingRegressor(),Performance,0.2,"gvn           NaN
instcombine   NaN
licm          NaN
inline        NaN
Name: % error, dtype: float64","count    132.000000
mean       2.233595
std        2.951564
min        0.023112
25%        0.648472
50%        1.313218
75%        2.196214
max       17.614537
Name: % error, dtype: float64",4
15,DecisionTree,False,DecisionTree,"Index(['gvn', 'instcombine', 'licm', 'inline'], dtype='object')",DecisionTreeRegressor(),Performance,0.2,"gvn           NaN
instcombine   NaN
licm          NaN
inline        NaN
Name: % error, dtype: float64","count    132.000000
mean       2.253146
std        3.172307
min        0.013660
25%        0.640430
50%        1.301779
75%        2.194681
max       18.896830
Name: % error, dtype: float64",4
16,LinearRegression,False,DecisionTree,"Index(['gvn', 'instcombine', 'licm', 'inline'], dtype='object')",LinearRegression(),Performance,0.3,"gvn            25.277322
licm           17.449412
instcombine    16.065416
inline         14.004078
dtype: float64","count    116.000000
mean       2.147947
std        2.241890
min        0.001269
25%        0.644661
50%        1.489273
75%        2.666011
max       12.394222
Name: % error, dtype: float64",4
