,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['#yes', 'gvn', 'licm', 'inline'], dtype='object')",LinearRegression(),Performance,0.1,"gvn       15.944871
inline    11.454098
licm       9.027994
#yes       1.499776
dtype: float64","count    158.000000
mean       3.620756
std        2.615244
min        0.007057
25%        1.853827
50%        3.251418
75%        4.653337
max       14.995954
Name: % error, dtype: float64",4
1,Lasso,False,DecisionTree,"Index(['#yes', 'gvn', 'licm', 'inline'], dtype='object')","Lasso(alpha=0.3, max_iter=100)",Performance,0.1,"gvn       13.828138
inline    10.233752
licm       6.191801
#yes       2.050243
dtype: float64","count    158.000000
mean       3.765345
std        2.837075
min        0.009445
25%        1.754723
50%        3.426205
75%        4.897857
max       16.069216
Name: % error, dtype: float64",4
2,Ridge,False,DecisionTree,"Index(['#yes', 'gvn', 'licm', 'inline'], dtype='object')",Ridge(alpha=0.3),Performance,0.1,"gvn       14.102378
inline    10.674677
licm       7.511230
#yes       1.926522
dtype: float64","count    158.000000
mean       3.680491
std        2.717234
min        0.056751
25%        1.791756
50%        3.319062
75%        4.783430
max       15.600084
Name: % error, dtype: float64",4
3,ElasticNet,False,DecisionTree,"Index(['#yes', 'gvn', 'licm', 'inline'], dtype='object')","ElasticNet(alpha=0.05, max_iter=100)",Performance,0.1,"gvn       13.324834
inline    10.284871
licm       6.825632
#yes       2.110876
dtype: float64","count    158.000000
mean       3.721399
std        2.771462
min        0.022532
25%        1.787066
50%        3.286627
75%        4.862810
max       15.864841
Name: % error, dtype: float64",4
4,PolynomialRegression,False,DecisionTree,"Index(['#yes', 'gvn', 'licm', 'inline'], dtype='object')",LinearRegression(),Performance,0.1,"licm      28.074276
gvn       21.170737
#yes       9.967081
inline     8.876193
dtype: float64","count    158.000000
mean       5.783831
std        5.311393
min        0.007010
25%        1.716937
50%        4.614404
75%        7.665906
max       23.189925
Name: % error, dtype: float64",4
5,RandomForest,False,DecisionTree,"Index(['#yes', 'gvn', 'licm', 'inline'], dtype='object')",RandomForestRegressor(),Performance,0.1,"#yes     NaN
gvn      NaN
licm     NaN
inline   NaN
Name: % error, dtype: float64","count    158.000000
mean       4.352600
std        3.507686
min        0.036649
25%        1.686582
50%        3.398389
75%        6.232761
max       16.422679
Name: % error, dtype: float64",4
6,GradientBoostingTree,False,DecisionTree,"Index(['#yes', 'gvn', 'licm', 'inline'], dtype='object')",GradientBoostingRegressor(),Performance,0.1,"#yes     NaN
gvn      NaN
licm     NaN
inline   NaN
Name: % error, dtype: float64","count    158.000000
mean       4.350428
std        3.667108
min        0.064397
25%        1.267989
50%        3.603454
75%        5.998459
max       19.072452
Name: % error, dtype: float64",4
7,DecisionTree,False,DecisionTree,"Index(['#yes', 'gvn', 'licm', 'inline'], dtype='object')",DecisionTreeRegressor(),Performance,0.1,"#yes     NaN
gvn      NaN
licm     NaN
inline   NaN
Name: % error, dtype: float64","count    158.000000
mean       4.372089
std        3.840048
min        0.057103
25%        1.359470
50%        3.118478
75%        6.197792
max       20.188140
Name: % error, dtype: float64",4
8,LinearRegression,False,DecisionTree,"Index(['#yes', 'gvn', 'licm', 'inline'], dtype='object')",LinearRegression(),Performance,0.2,"inline    14.719792
gvn       13.307561
licm      13.119823
#yes       2.338134
dtype: float64","count    140.000000
mean       3.344202
std        2.581269
min        0.011054
25%        1.332781
50%        2.994560
75%        4.561405
max       15.741360
Name: % error, dtype: float64",4
9,Lasso,False,DecisionTree,"Index(['#yes', 'gvn', 'licm', 'inline'], dtype='object')","Lasso(alpha=0.01, max_iter=100)",Performance,0.2,"inline    14.654457
gvn       13.221347
licm      13.026728
#yes       2.362599
dtype: float64","count    140.000000
mean       3.347698
std        2.583267
min        0.006078
25%        1.345656
50%        3.023610
75%        4.559102
max       15.773386
Name: % error, dtype: float64",4
10,Ridge,False,DecisionTree,"Index(['#yes', 'gvn', 'licm', 'inline'], dtype='object')",Ridge(alpha=0.2),Performance,0.2,"inline    14.167658
gvn       12.635536
licm      12.399479
#yes       2.541101
dtype: float64","count    140.000000
mean       3.372858
std        2.602136
min        0.013841
25%        1.439929
50%        3.003696
75%        4.615651
max       15.999954
Name: % error, dtype: float64",4
11,ElasticNet,False,DecisionTree,"Index(['#yes', 'gvn', 'licm', 'inline'], dtype='object')","ElasticNet(alpha=0.01, l1_ratio=0.0, max_iter=100)",Performance,0.2,"inline    13.783448
gvn       12.176310
licm      11.909469
#yes       2.679859
dtype: float64","count    140.000000
mean       3.396273
std        2.619569
min        0.003404
25%        1.498554
50%        3.027896
75%        4.695372
max       16.174768
Name: % error, dtype: float64",4
12,PolynomialRegression,False,DecisionTree,"Index(['#yes', 'gvn', 'licm', 'inline'], dtype='object')",LinearRegression(),Performance,0.2,"licm      13.984983
#yes       9.033755
inline     7.220227
gvn        6.582263
dtype: float64","count    140.000000
mean       3.569360
std        2.832827
min        0.029244
25%        1.508720
50%        3.045490
75%        5.044532
max       16.224173
Name: % error, dtype: float64",4
13,RandomForest,False,DecisionTree,"Index(['#yes', 'gvn', 'licm', 'inline'], dtype='object')",RandomForestRegressor(),Performance,0.2,"#yes     NaN
gvn      NaN
licm     NaN
inline   NaN
Name: % error, dtype: float64","count    140.000000
mean       3.710516
std        3.117979
min        0.012532
25%        1.537894
50%        3.370556
75%        5.036998
max       17.833932
Name: % error, dtype: float64",4
