,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'pixelPerThread_1', 'bs_1024x1', 'bs_32x2',
       'Array2D', 'OpenCL', 'CUDA', 'bs_512x2', 'bs_512x1', 'bs_32x32',
       'bs_256x4', 'pixelPerThread_2', 'bs_128x8', 'bs_64x16',
       'pixelPerThread_4'],
      dtype='object')",LinearRegression(),Performance,0.1,"CUDA                6.138536e+14
OpenCL              6.138536e+14
LocalMemory         2.539911e+01
bs_32x1             2.289722e+01
bs_1024x1           1.014522e+01
bs_64x16            9.095925e+00
bs_512x2            9.042870e+00
bs_256x4            8.241290e+00
bs_32x32            7.192450e+00
pixelPerThread_1    6.329552e+00
bs_128x8            5.949880e+00
Array2D             4.941134e+00
bs_512x1            4.559868e+00
pixelPerThread_2    5.417167e-01
bs_32x2             4.532832e-01
pixelPerThread_4    2.610903e-01
dtype: float64","count    4141.000000
mean       13.555789
std        11.352161
min         0.008939
25%         5.368022
50%         9.830118
75%        19.159657
max        75.222031
Name: % error, dtype: float64",16
1,Lasso,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'pixelPerThread_1', 'bs_1024x1', 'bs_32x2',
       'Array2D', 'OpenCL', 'CUDA', 'bs_512x2', 'bs_512x1', 'bs_32x32',
       'bs_256x4', 'pixelPerThread_2', 'bs_128x8', 'bs_64x16',
       'pixelPerThread_4'],
      dtype='object')","Lasso(alpha=0.05, max_iter=5)",Performance,0.1,"LocalMemory         25.019102
bs_32x1             21.467209
bs_1024x1            8.194883
bs_64x16             7.555645
bs_512x2             6.818936
pixelPerThread_1     6.281403
bs_256x4             6.131136
bs_32x32             5.917264
bs_128x8             3.987495
Array2D              3.362087
bs_512x1             2.999073
OpenCL               0.911342
pixelPerThread_2     0.073295
bs_32x2              0.057565
dtype: float64","count    4141.000000
mean       12.058337
std        11.570488
min         0.001390
25%         3.451496
50%         8.090726
75%        19.030204
max        76.281843
Name: % error, dtype: float64",16
2,Ridge,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'pixelPerThread_1', 'bs_1024x1', 'bs_32x2',
       'Array2D', 'OpenCL', 'CUDA', 'bs_512x2', 'bs_512x1', 'bs_32x32',
       'bs_256x4', 'pixelPerThread_2', 'bs_128x8', 'bs_64x16',
       'pixelPerThread_4'],
      dtype='object')",Ridge(alpha=2),Performance,0.1,"LocalMemory         24.522723
bs_32x1             20.812348
bs_1024x1            8.547809
bs_64x16             8.059960
bs_512x2             7.638460
bs_256x4             6.879007
pixelPerThread_1     6.554148
bs_32x32             6.363528
bs_128x8             4.963513
Array2D              4.008281
bs_512x1             3.757521
bs_32x2              0.880309
CUDA                 0.634247
OpenCL               0.634247
pixelPerThread_4     0.486562
pixelPerThread_2     0.383067
dtype: float64","count    4141.000000
mean       12.640004
std        11.320590
min         0.010023
25%         4.131796
50%         8.891163
75%        19.394630
max        74.760319
Name: % error, dtype: float64",16
3,ElasticNet,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'pixelPerThread_1', 'bs_1024x1', 'bs_32x2',
       'Array2D', 'OpenCL', 'CUDA', 'bs_512x2', 'bs_512x1', 'bs_32x32',
       'bs_256x4', 'pixelPerThread_2', 'bs_128x8', 'bs_64x16',
       'pixelPerThread_4'],
      dtype='object')","ElasticNet(alpha=0.01, l1_ratio=0.1, max_iter=5)",Performance,0.1,"LocalMemory         23.611549
bs_32x1             18.912488
bs_1024x1            7.231963
bs_64x16             7.183343
pixelPerThread_1     6.746038
bs_512x2             6.432735
bs_256x4             5.826058
bs_32x32             5.553673
bs_128x8             4.152336
Array2D              3.381574
bs_512x1             3.031050
OpenCL               1.047546
bs_32x2              0.992528
pixelPerThread_4     0.562952
pixelPerThread_2     0.285771
CUDA                 0.262899
dtype: float64","count    4141.000000
mean       12.151087
std        11.221645
min         0.001088
25%         3.319561
50%         8.412897
75%        19.032916
max        74.054217
Name: % error, dtype: float64",16
4,PolynomialRegression,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'pixelPerThread_1', 'bs_1024x1', 'bs_32x2',
       'Array2D', 'OpenCL', 'CUDA', 'bs_512x2', 'bs_512x1', 'bs_32x32',
       'bs_256x4', 'pixelPerThread_2', 'bs_128x8', 'bs_64x16',
       'pixelPerThread_4'],
      dtype='object')",LinearRegression(),Performance,0.1,"bs_32x2             5.981067e+14
pixelPerThread_1    4.320772e+14
pixelPerThread_2    4.235747e+14
bs_1024x1           4.229882e+14
CUDA                3.878949e+14
pixelPerThread_4    3.141732e+14
bs_32x1             2.729108e+14
bs_512x2            1.295039e+14
Array2D             1.226499e+14
bs_32x32            1.131096e+14
bs_128x8            1.087228e+14
bs_256x4            9.826961e+13
OpenCL              6.002322e+13
bs_64x16            5.047588e+13
bs_512x1            2.044467e+13
LocalMemory         2.299438e+11
dtype: float64","count    4.141000e+03
mean     8.874929e+11
std      1.049932e+13
min      1.054007e-03
25%      2.495151e+00
50%      5.707340e+00
75%      1.083708e+01
max      2.101875e+14
Name: % error, dtype: float64",16
5,RandomForest,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'pixelPerThread_1', 'bs_1024x1', 'bs_32x2',
       'Array2D', 'OpenCL', 'CUDA', 'bs_512x2', 'bs_512x1', 'bs_32x32',
       'bs_256x4', 'pixelPerThread_2', 'bs_128x8', 'bs_64x16',
       'pixelPerThread_4'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"LocalMemory        NaN
bs_32x1            NaN
pixelPerThread_1   NaN
bs_1024x1          NaN
bs_32x2            NaN
Array2D            NaN
OpenCL             NaN
CUDA               NaN
bs_512x2           NaN
bs_512x1           NaN
bs_32x32           NaN
bs_256x4           NaN
pixelPerThread_2   NaN
bs_128x8           NaN
bs_64x16           NaN
pixelPerThread_4   NaN
Name: % error, dtype: float64","count    4141.000000
mean        7.499480
std         7.931761
min         0.007613
25%         2.184833
50%         4.679924
75%         9.494877
max        58.114140
Name: % error, dtype: float64",16
6,GradientBoostingTree,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'pixelPerThread_1', 'bs_1024x1', 'bs_32x2',
       'Array2D', 'OpenCL', 'CUDA', 'bs_512x2', 'bs_512x1', 'bs_32x32',
       'bs_256x4', 'pixelPerThread_2', 'bs_128x8', 'bs_64x16',
       'pixelPerThread_4'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"LocalMemory        NaN
bs_32x1            NaN
pixelPerThread_1   NaN
bs_1024x1          NaN
bs_32x2            NaN
Array2D            NaN
OpenCL             NaN
CUDA               NaN
bs_512x2           NaN
bs_512x1           NaN
bs_32x32           NaN
bs_256x4           NaN
pixelPerThread_2   NaN
bs_128x8           NaN
bs_64x16           NaN
pixelPerThread_4   NaN
Name: % error, dtype: float64","count    4141.000000
mean        8.539229
std         7.658693
min         0.012389
25%         3.591580
50%         6.501766
75%        10.633173
max        53.478392
Name: % error, dtype: float64",16
7,DecisionTree,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'pixelPerThread_1', 'bs_1024x1', 'bs_32x2',
       'Array2D', 'OpenCL', 'CUDA', 'bs_512x2', 'bs_512x1', 'bs_32x32',
       'bs_256x4', 'pixelPerThread_2', 'bs_128x8', 'bs_64x16',
       'pixelPerThread_4'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"LocalMemory        NaN
bs_32x1            NaN
pixelPerThread_1   NaN
bs_1024x1          NaN
bs_32x2            NaN
Array2D            NaN
OpenCL             NaN
CUDA               NaN
bs_512x2           NaN
bs_512x1           NaN
bs_32x32           NaN
bs_256x4           NaN
pixelPerThread_2   NaN
bs_128x8           NaN
bs_64x16           NaN
pixelPerThread_4   NaN
Name: % error, dtype: float64","count    4141.000000
mean        7.423737
std         8.256510
min         0.000000
25%         2.029619
50%         4.646298
75%         9.184696
max        64.690939
Name: % error, dtype: float64",16
8,LinearRegression,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'pixelPerThread_1', 'bs_1024x1', 'bs_32x2',
       'Array2D', 'OpenCL', 'CUDA', 'bs_512x2', 'bs_512x1', 'bs_32x32',
       'bs_256x4', 'pixelPerThread_2', 'bs_128x8', 'bs_64x16',
       'pixelPerThread_4'],
      dtype='object')",LinearRegression(),Performance,0.2,"OpenCL              1.112091e+14
CUDA                1.112091e+14
LocalMemory         2.514310e+01
bs_32x1             2.060052e+01
bs_1024x1           1.032267e+01
bs_64x16            8.339430e+00
bs_256x4            7.753876e+00
bs_32x32            7.739638e+00
bs_512x2            7.058682e+00
bs_128x8            6.037297e+00
pixelPerThread_1    5.350151e+00
bs_512x1            5.236223e+00
Array2D             3.391802e+00
bs_32x2             1.686088e+00
pixelPerThread_2    8.681345e-01
pixelPerThread_4    3.464381e-01
dtype: float64","count    3681.000000
mean       12.792870
std        11.198111
min         0.003404
25%         4.079538
50%         9.935631
75%        19.303315
max        74.082880
Name: % error, dtype: float64",16
9,Lasso,False,DecisionTree,"Index(['LocalMemory', 'bs_32x1', 'pixelPerThread_1', 'bs_1024x1', 'bs_32x2',
       'Array2D', 'OpenCL', 'CUDA', 'bs_512x2', 'bs_512x1', 'bs_32x32',
       'bs_256x4', 'pixelPerThread_2', 'bs_128x8', 'bs_64x16',
       'pixelPerThread_4'],
      dtype='object')","Lasso(alpha=0.02, max_iter=5)",Performance,0.2,"LocalMemory         2.482340e+01
bs_32x1             1.990929e+01
bs_1024x1           9.228689e+00
bs_64x16            7.637051e+00
bs_256x4            7.028745e+00
bs_32x32            7.020783e+00
bs_512x2            6.270897e+00
pixelPerThread_1    5.474110e+00
bs_128x8            5.343363e+00
bs_512x1            4.606204e+00
Array2D             2.377267e+00
bs_32x2             1.510812e+00
pixelPerThread_2    5.186817e-01
OpenCL              3.824716e-01
pixelPerThread_4    1.253992e-01
CUDA                5.110220e-16
dtype: float64","count    3681.000000
mean       12.214900
std        11.230848
min         0.019133
25%         3.126771
50%         9.016719
75%        18.539279
max        73.749164
Name: % error, dtype: float64",16
