,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['LocalMemory', 'bs_1024x1', 'bs_32x1', 'pixelPerThread_1', 'bs_512x1',
       '#yes', 'bs_64x2', 'bs_512x2', 'bs_32x32', 'bs_32x4', 'bs_256x4',
       'Linear1D', 'bs_64x16', 'bs_128x8', 'bs_128x2', 'bs_64x4'],
      dtype='object')",LinearRegression(),Performance,0.1,"LocalMemory         25.311963
bs_32x1             24.550102
bs_1024x1           23.922140
bs_32x32            14.146451
bs_512x2            14.099760
bs_256x4            12.823762
bs_512x1            12.327592
bs_128x8            11.111862
bs_64x16             8.982607
bs_64x2              7.179462
bs_128x2             6.984318
bs_32x4              6.504391
Linear1D             6.004011
pixelPerThread_1     5.507734
bs_64x4              3.792397
#yes                 0.524950
dtype: float64","count    4141.000000
mean       20.073386
std        15.030310
min         0.015712
25%         7.646543
50%        16.991849
75%        29.935336
max        87.306490
Name: % error, dtype: float64",16
1,Lasso,False,DecisionTree,"Index(['LocalMemory', 'bs_1024x1', 'bs_32x1', 'pixelPerThread_1', 'bs_512x1',
       '#yes', 'bs_64x2', 'bs_512x2', 'bs_32x32', 'bs_32x4', 'bs_256x4',
       'Linear1D', 'bs_64x16', 'bs_128x8', 'bs_128x2', 'bs_64x4'],
      dtype='object')","Lasso(alpha=0.01, max_iter=10)",Performance,0.1,"LocalMemory         25.222973
bs_32x1             24.193894
bs_1024x1           23.681006
bs_32x32            13.804437
bs_512x2            13.781526
bs_256x4            12.521619
bs_512x1            12.025167
bs_128x8            10.724862
bs_64x16             8.653065
bs_64x2              6.994675
bs_128x2             6.908200
bs_32x4              6.391987
Linear1D             5.955460
pixelPerThread_1     5.511058
bs_64x4              3.694255
#yes                 0.492554
dtype: float64","count    4141.000000
mean       19.887792
std        14.911227
min         0.003864
25%         7.570339
50%        16.768216
75%        29.659385
max        86.690551
Name: % error, dtype: float64",16
2,Ridge,False,DecisionTree,"Index(['LocalMemory', 'bs_1024x1', 'bs_32x1', 'pixelPerThread_1', 'bs_512x1',
       '#yes', 'bs_64x2', 'bs_512x2', 'bs_32x32', 'bs_32x4', 'bs_256x4',
       'Linear1D', 'bs_64x16', 'bs_128x8', 'bs_128x2', 'bs_64x4'],
      dtype='object')",Ridge(alpha=0.1),Performance,0.1,"LocalMemory         25.266417
bs_32x1             24.364509
bs_1024x1           23.793501
bs_32x32            14.022291
bs_512x2            13.983348
bs_256x4            12.714932
bs_512x1            12.222627
bs_128x8            10.983207
bs_64x16             8.881640
bs_64x2              7.183982
bs_128x2             7.006709
bs_32x4              6.526692
Linear1D             6.001887
pixelPerThread_1     5.522997
bs_64x4              3.832522
#yes                 0.513625
dtype: float64","count    4141.000000
mean       20.008864
std        14.998973
min         0.013092
25%         7.602010
50%        16.950271
75%        29.744184
max        86.996228
Name: % error, dtype: float64",16
3,ElasticNet,False,DecisionTree,"Index(['LocalMemory', 'bs_1024x1', 'bs_32x1', 'pixelPerThread_1', 'bs_512x1',
       '#yes', 'bs_64x2', 'bs_512x2', 'bs_32x32', 'bs_32x4', 'bs_256x4',
       'Linear1D', 'bs_64x16', 'bs_128x8', 'bs_128x2', 'bs_64x4'],
      dtype='object')","ElasticNet(alpha=0.01, l1_ratio=1.0, max_iter=10)",Performance,0.1,"LocalMemory         25.222973
bs_32x1             24.193894
bs_1024x1           23.681006
bs_32x32            13.804437
bs_512x2            13.781526
bs_256x4            12.521619
bs_512x1            12.025167
bs_128x8            10.724862
bs_64x16             8.653065
bs_64x2              6.994675
bs_128x2             6.908200
bs_32x4              6.391987
Linear1D             5.955460
pixelPerThread_1     5.511058
bs_64x4              3.694255
#yes                 0.492554
dtype: float64","count    4141.000000
mean       19.887792
std        14.911227
min         0.003864
25%         7.570339
50%        16.768216
75%        29.659385
max        86.690551
Name: % error, dtype: float64",16
4,PolynomialRegression,False,DecisionTree,"Index(['LocalMemory', 'bs_1024x1', 'bs_32x1', 'pixelPerThread_1', 'bs_512x1',
       '#yes', 'bs_64x2', 'bs_512x2', 'bs_32x32', 'bs_32x4', 'bs_256x4',
       'Linear1D', 'bs_64x16', 'bs_128x8', 'bs_128x2', 'bs_64x4'],
      dtype='object')",LinearRegression(),Performance,0.1,"bs_512x1            19.515028
#yes                16.262139
LocalMemory         15.442492
bs_512x2            14.088293
bs_32x1             11.014337
bs_1024x1           10.108796
bs_64x16             9.977740
bs_128x8             7.823634
bs_32x32             5.924336
bs_256x4             3.941302
bs_32x4              2.888436
bs_128x2             1.561446
bs_64x2              0.739290
pixelPerThread_1     0.338549
Linear1D             0.252996
bs_64x4              0.108670
dtype: float64","count    4141.000000
mean       11.112159
std        10.858625
min         0.020048
25%         3.444245
50%         7.939024
75%        14.926301
max        76.618484
Name: % error, dtype: float64",16
5,RandomForest,False,DecisionTree,"Index(['LocalMemory', 'bs_1024x1', 'bs_32x1', 'pixelPerThread_1', 'bs_512x1',
       '#yes', 'bs_64x2', 'bs_512x2', 'bs_32x32', 'bs_32x4', 'bs_256x4',
       'Linear1D', 'bs_64x16', 'bs_128x8', 'bs_128x2', 'bs_64x4'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"LocalMemory        NaN
bs_1024x1          NaN
bs_32x1            NaN
pixelPerThread_1   NaN
bs_512x1           NaN
#yes               NaN
bs_64x2            NaN
bs_512x2           NaN
bs_32x32           NaN
bs_32x4            NaN
bs_256x4           NaN
Linear1D           NaN
bs_64x16           NaN
bs_128x8           NaN
bs_128x2           NaN
bs_64x4            NaN
Name: % error, dtype: float64","count    4141.000000
mean       10.150352
std        10.824364
min         0.000827
25%         2.508131
50%         6.491145
75%        13.969003
max        79.816547
Name: % error, dtype: float64",16
6,GradientBoostingTree,False,DecisionTree,"Index(['LocalMemory', 'bs_1024x1', 'bs_32x1', 'pixelPerThread_1', 'bs_512x1',
       '#yes', 'bs_64x2', 'bs_512x2', 'bs_32x32', 'bs_32x4', 'bs_256x4',
       'Linear1D', 'bs_64x16', 'bs_128x8', 'bs_128x2', 'bs_64x4'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"LocalMemory        NaN
bs_1024x1          NaN
bs_32x1            NaN
pixelPerThread_1   NaN
bs_512x1           NaN
#yes               NaN
bs_64x2            NaN
bs_512x2           NaN
bs_32x32           NaN
bs_32x4            NaN
bs_256x4           NaN
Linear1D           NaN
bs_64x16           NaN
bs_128x8           NaN
bs_128x2           NaN
bs_64x4            NaN
Name: % error, dtype: float64","count    4141.000000
mean       11.400509
std         9.812723
min         0.004142
25%         4.102451
50%         8.874401
75%        15.765308
max        73.166957
Name: % error, dtype: float64",16
7,DecisionTree,False,DecisionTree,"Index(['LocalMemory', 'bs_1024x1', 'bs_32x1', 'pixelPerThread_1', 'bs_512x1',
       '#yes', 'bs_64x2', 'bs_512x2', 'bs_32x32', 'bs_32x4', 'bs_256x4',
       'Linear1D', 'bs_64x16', 'bs_128x8', 'bs_128x2', 'bs_64x4'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"LocalMemory        NaN
bs_1024x1          NaN
bs_32x1            NaN
pixelPerThread_1   NaN
bs_512x1           NaN
#yes               NaN
bs_64x2            NaN
bs_512x2           NaN
bs_32x32           NaN
bs_32x4            NaN
bs_256x4           NaN
Linear1D           NaN
bs_64x16           NaN
bs_128x8           NaN
bs_128x2           NaN
bs_64x4            NaN
Name: % error, dtype: float64","count    4141.000000
mean       10.048372
std        10.971397
min         0.002590
25%         2.413506
50%         6.327954
75%        14.047181
max        81.250204
Name: % error, dtype: float64",16
8,LinearRegression,False,DecisionTree,"Index(['LocalMemory', 'bs_1024x1', 'bs_32x1', 'pixelPerThread_1', 'bs_512x1',
       '#yes', 'bs_64x2', 'bs_512x2', 'bs_32x32', 'bs_32x4', 'bs_256x4',
       'Linear1D', 'bs_64x16', 'bs_128x8', 'bs_128x2', 'bs_64x4'],
      dtype='object')",LinearRegression(),Performance,0.2,"bs_32x1             25.292702
LocalMemory         25.115902
bs_1024x1           19.867922
bs_32x32            12.820918
bs_256x4            12.574878
bs_512x2            11.746007
bs_128x8            11.470669
bs_512x1            11.066915
bs_64x16             9.429957
bs_64x2              8.131412
bs_128x2             7.613383
Linear1D             5.889989
bs_64x4              4.623314
pixelPerThread_1     4.596278
bs_32x4              4.211245
#yes                 0.662349
dtype: float64","count    3681.000000
mean       19.284814
std        14.270782
min         0.002586
25%         7.385756
50%        16.980448
75%        28.474380
max        78.594282
Name: % error, dtype: float64",16
9,Lasso,False,DecisionTree,"Index(['LocalMemory', 'bs_1024x1', 'bs_32x1', 'pixelPerThread_1', 'bs_512x1',
       '#yes', 'bs_64x2', 'bs_512x2', 'bs_32x32', 'bs_32x4', 'bs_256x4',
       'Linear1D', 'bs_64x16', 'bs_128x8', 'bs_128x2', 'bs_64x4'],
      dtype='object')","Lasso(alpha=0.01, max_iter=5)",Performance,0.2,"LocalMemory         25.008062
bs_32x1             24.922806
bs_1024x1           19.564876
bs_32x32            12.485033
bs_256x4            12.278622
bs_512x2            11.388034
bs_128x8            11.104186
bs_512x1            10.743753
bs_64x16             9.052373
bs_64x2              8.044765
bs_128x2             7.507547
Linear1D             5.841706
pixelPerThread_1     4.607982
bs_64x4              4.487734
bs_32x4              4.109383
#yes                 0.630744
dtype: float64","count    3681.000000
mean       19.103037
std        14.150747
min         0.004605
25%         7.346926
50%        16.745282
75%        28.316968
max        77.947549
Name: % error, dtype: float64",16
