,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')",LinearRegression(),Performance,0.1,"ref_9            203.590035
ref_1            188.123282
no_fast_pskip     34.210627
ref_5             15.466752
dtype: float64","count    191.000000
mean       7.805074
std        6.647792
min        0.020626
25%        2.552375
50%        5.485806
75%       11.158041
max       30.288477
Name: % error, dtype: float64",4
1,Lasso,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')","Lasso(alpha=4, max_iter=10)",Performance,0.1,"ref_9            204.278035
ref_1            141.723615
no_fast_pskip      8.501982
dtype: float64","count    191.000000
mean       8.506744
std        6.872355
min        0.015589
25%        3.055971
50%        6.845340
75%       12.766376
max       29.185060
Name: % error, dtype: float64",4
2,Ridge,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')",Ridge(alpha=0.3),Performance,0.1,"ref_9            191.704657
ref_1            174.602426
no_fast_pskip     27.668661
ref_5             17.102231
dtype: float64","count    191.000000
mean       7.426573
std        6.497008
min        0.040641
25%        2.407791
50%        5.719684
75%       10.859814
max       28.783879
Name: % error, dtype: float64",4
3,ElasticNet,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')","ElasticNet(alpha=0.05, max_iter=100)",Performance,0.1,"ref_9            183.997088
ref_1            165.250778
no_fast_pskip     23.508634
ref_5             17.662397
dtype: float64","count    191.000000
mean       7.781779
std        6.544671
min        0.053796
25%        2.587506
50%        6.559027
75%       11.974702
max       27.725137
Name: % error, dtype: float64",4
4,PolynomialRegression,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')",LinearRegression(),Performance,0.1,"ref_9            88.111349
ref_1            76.379484
no_fast_pskip    11.826791
ref_5            11.731865
dtype: float64","count    191.000000
mean       7.995207
std        6.235430
min        0.033832
25%        3.146756
50%        6.525476
75%       11.191865
max       26.930215
Name: % error, dtype: float64",4
5,RandomForest,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')",RandomForestRegressor(),Performance,0.1,"ref_9           NaN
ref_1           NaN
ref_5           NaN
no_fast_pskip   NaN
Name: % error, dtype: float64","count    191.000000
mean       8.099583
std        6.307077
min        0.155720
25%        3.400358
50%        6.693206
75%       11.157060
max       26.277325
Name: % error, dtype: float64",4
6,GradientBoostingTree,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')",GradientBoostingRegressor(),Performance,0.1,"ref_9           NaN
ref_1           NaN
ref_5           NaN
no_fast_pskip   NaN
Name: % error, dtype: float64","count    191.000000
mean       7.995154
std        6.235442
min        0.035367
25%        3.145270
50%        6.525393
75%       11.191635
max       26.929361
Name: % error, dtype: float64",4
7,DecisionTree,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')",DecisionTreeRegressor(),Performance,0.1,"ref_9           NaN
ref_1           NaN
ref_5           NaN
no_fast_pskip   NaN
Name: % error, dtype: float64","count    191.000000
mean       7.995207
std        6.235430
min        0.033832
25%        3.146756
50%        6.525476
75%       11.191865
max       26.930215
Name: % error, dtype: float64",4
8,LinearRegression,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')",LinearRegression(),Performance,0.2,"ref_9            188.518276
ref_1            174.671551
no_fast_pskip     52.294225
ref_5             13.846725
dtype: float64","count    170.000000
mean       7.476016
std        6.023943
min        0.132275
25%        2.748512
50%        5.679882
75%       10.157019
max       25.624671
Name: % error, dtype: float64",4
9,Lasso,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')","Lasso(alpha=0.2, max_iter=100)",Performance,0.2,"ref_9            201.829704
ref_1            160.046896
no_fast_pskip     51.496147
dtype: float64","count    170.000000
mean       7.448986
std        6.038373
min        0.039047
25%        2.667124
50%        5.679773
75%       10.250093
max       25.586708
Name: % error, dtype: float64",4
