,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')",LinearRegression(),Performance,0.1,"ref_1            193.065636
ref_9            189.035501
no_fast_pskip     75.992980
ref_5              4.030135
dtype: float64","count    191.000000
mean       8.290502
std        5.814540
min        0.820711
25%        4.022909
50%        7.204861
75%       11.852350
max       25.268269
Name: % error, dtype: float64",4
1,Lasso,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')",Lasso(max_iter=100),Performance,0.1,"ref_1            193.356059
ref_9            182.541704
no_fast_pskip     71.856220
dtype: float64","count    191.000000
mean       7.948526
std        5.780966
min        0.587533
25%        3.555082
50%        6.503229
75%       11.196077
max       25.523396
Name: % error, dtype: float64",4
2,Ridge,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')",Ridge(alpha=0.1),Performance,0.1,"ref_1            190.156635
ref_9            186.218396
no_fast_pskip     74.676171
ref_5              3.938239
dtype: float64","count    191.000000
mean       8.094834
std        5.885529
min        0.422104
25%        3.387808
50%        6.647399
75%       11.619835
max       26.055899
Name: % error, dtype: float64",4
3,ElasticNet,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')","ElasticNet(l1_ratio=1.0, max_iter=100)",Performance,0.1,"ref_1            193.356059
ref_9            182.541704
no_fast_pskip     71.856220
dtype: float64","count    191.000000
mean       7.948526
std        5.780966
min        0.587533
25%        3.555082
50%        6.503229
75%       11.196077
max       25.523396
Name: % error, dtype: float64",4
4,PolynomialRegression,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')",LinearRegression(),Performance,0.1,"ref_9            83.683287
ref_1            83.239074
no_fast_pskip    33.791151
ref_5             0.444213
dtype: float64","count    191.000000
mean       5.311559
std        5.146021
min        0.021567
25%        1.554046
50%        2.859979
75%        7.801010
max       23.391327
Name: % error, dtype: float64",4
5,RandomForest,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')",RandomForestRegressor(),Performance,0.1,"ref_9           NaN
ref_1           NaN
ref_5           NaN
no_fast_pskip   NaN
Name: % error, dtype: float64","count    191.000000
mean       5.212771
std        4.744084
min        0.046368
25%        1.493023
50%        3.531926
75%        7.994054
max       18.493056
Name: % error, dtype: float64",4
6,GradientBoostingTree,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')",GradientBoostingRegressor(),Performance,0.1,"ref_9           NaN
ref_1           NaN
ref_5           NaN
no_fast_pskip   NaN
Name: % error, dtype: float64","count    191.000000
mean       5.311298
std        5.146135
min        0.019931
25%        1.553612
50%        2.860612
75%        7.800266
max       23.390846
Name: % error, dtype: float64",4
7,DecisionTree,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')",DecisionTreeRegressor(),Performance,0.1,"ref_9           NaN
ref_1           NaN
ref_5           NaN
no_fast_pskip   NaN
Name: % error, dtype: float64","count    191.000000
mean       5.311559
std        5.146021
min        0.021567
25%        1.554046
50%        2.859979
75%        7.801010
max       23.391327
Name: % error, dtype: float64",4
8,LinearRegression,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')",LinearRegression(),Performance,0.2,"ref_1            188.429775
ref_9            182.548433
no_fast_pskip     90.898960
ref_5              5.881343
dtype: float64","count    170.000000
mean       9.186813
std        7.491014
min        0.099277
25%        3.257778
50%        7.955952
75%       13.445956
max       32.480367
Name: % error, dtype: float64",4
9,Lasso,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')","Lasso(alpha=0.5, max_iter=100)",Performance,0.2,"ref_1            192.707128
ref_9            175.876566
no_fast_pskip     88.881903
dtype: float64","count    170.000000
mean       9.031059
std        7.461054
min        0.174021
25%        2.804213
50%        7.341806
75%       13.418737
max       32.448581
Name: % error, dtype: float64",4
10,Ridge,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')",Ridge(alpha=0.2),Performance,0.2,"ref_1            185.986975
ref_9            180.366155
no_fast_pskip     89.600808
ref_5              5.620821
dtype: float64","count    170.000000
mean       9.042575
std        7.632423
min        0.154292
25%        2.748783
50%        7.446027
75%       13.820350
max       33.093067
Name: % error, dtype: float64",4
11,ElasticNet,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')","ElasticNet(alpha=0.01, l1_ratio=0.0, max_iter=5)",Performance,0.2,"ref_9            222.636082
ref_1            140.289754
no_fast_pskip     87.577866
ref_5             47.016313
dtype: float64","count    170.000000
mean       8.841345
std        7.740169
min        0.097019
25%        3.033192
50%        6.779909
75%       13.588226
max       33.516668
Name: % error, dtype: float64",4
12,PolynomialRegression,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')",LinearRegression(),Performance,0.2,"ref_5            1.435384e+16
ref_1            1.239057e+16
ref_9            1.783423e+15
no_fast_pskip    2.658065e+14
dtype: float64","count    170.000000
mean       6.653800
std        5.568970
min        0.058228
25%        1.530804
50%        5.213075
75%        9.856918
max       26.445933
Name: % error, dtype: float64",4
13,RandomForest,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')",RandomForestRegressor(),Performance,0.2,"ref_9           NaN
ref_1           NaN
ref_5           NaN
no_fast_pskip   NaN
Name: % error, dtype: float64","count    170.000000
mean       5.318535
std        4.814003
min        0.025853
25%        1.267263
50%        4.262614
75%        7.300967
max       19.926377
Name: % error, dtype: float64",4
14,GradientBoostingTree,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_fast_pskip'], dtype='object')",GradientBoostingRegressor(),Performance,0.2,"ref_9           NaN
ref_1           NaN
ref_5           NaN
no_fast_pskip   NaN
Name: % error, dtype: float64","count    170.000000
mean       5.553609
std        5.236552
min        0.012767
25%        1.467216
50%        3.801805
75%        8.445358
max       23.390883
Name: % error, dtype: float64",4
