,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_mixed_refs'], dtype='object')",LinearRegression(),Performance,0.1,"ref_9            184.891490
ref_1            166.471485
no_mixed_refs     31.315097
ref_5             18.420005
dtype: float64","count    191.000000
mean       9.475571
std        6.287580
min        0.099247
25%        4.630976
50%        8.189938
75%       12.340231
max       27.303011
Name: % error, dtype: float64",4
1,Lasso,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_mixed_refs'], dtype='object')","Lasso(alpha=4, max_iter=10)",Performance,0.1,"ref_9            191.256251
ref_1            128.558974
no_mixed_refs     27.172020
dtype: float64","count    191.000000
mean      10.475467
std        7.234418
min        0.187070
25%        5.350639
50%        8.509813
75%       15.096536
max       32.377251
Name: % error, dtype: float64",4
2,Ridge,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_mixed_refs'], dtype='object')",Ridge(alpha=0.5),Performance,0.1,"ref_9            163.942192
ref_1            145.053240
no_mixed_refs     44.003943
ref_5             18.888952
dtype: float64","count    191.000000
mean      11.314292
std        8.007829
min        0.569834
25%        5.761632
50%        9.517279
75%       14.812349
max       38.094801
Name: % error, dtype: float64",4
3,ElasticNet,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_mixed_refs'], dtype='object')","ElasticNet(alpha=0.05, l1_ratio=0.1, max_iter=100)",Performance,0.1,"ref_9            150.062789
ref_1            130.897738
no_mixed_refs     50.274560
ref_5             19.046209
dtype: float64","count    191.000000
mean      12.883318
std        9.832553
min        0.908535
25%        6.234449
50%        9.941329
75%       15.159623
max       45.911343
Name: % error, dtype: float64",4
4,PolynomialRegression,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_mixed_refs'], dtype='object')",LinearRegression(),Performance,0.1,"ref_9            81.310577
ref_1            56.663487
no_mixed_refs    26.945193
ref_5            24.647090
dtype: float64","count    191.000000
mean      13.772215
std       13.777317
min        0.099247
25%        5.664539
50%        8.344677
75%       15.414569
max       57.919668
Name: % error, dtype: float64",4
5,RandomForest,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_mixed_refs'], dtype='object')",RandomForestRegressor(),Performance,0.1,"ref_9           NaN
ref_1           NaN
ref_5           NaN
no_mixed_refs   NaN
Name: % error, dtype: float64","count    191.000000
mean       9.432715
std        6.551755
min        0.057824
25%        4.469870
50%        8.087418
75%       12.161994
max       26.772611
Name: % error, dtype: float64",4
6,GradientBoostingTree,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_mixed_refs'], dtype='object')",GradientBoostingRegressor(),Performance,0.1,"ref_9           NaN
ref_1           NaN
ref_5           NaN
no_mixed_refs   NaN
Name: % error, dtype: float64","count    191.000000
mean       9.206081
std        5.833507
min        0.097402
25%        5.447673
50%        8.205600
75%       12.451384
max       24.677657
Name: % error, dtype: float64",4
7,DecisionTree,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_mixed_refs'], dtype='object')",DecisionTreeRegressor(),Performance,0.1,"ref_9           NaN
ref_1           NaN
ref_5           NaN
no_mixed_refs   NaN
Name: % error, dtype: float64","count    191.000000
mean       7.991112
std        5.378127
min        0.091992
25%        4.157546
50%        7.443716
75%       11.029467
max       23.417932
Name: % error, dtype: float64",4
8,LinearRegression,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_mixed_refs'], dtype='object')",LinearRegression(),Performance,0.2,"ref_9            178.766361
ref_1            166.441121
no_mixed_refs     56.882879
ref_5             12.325241
dtype: float64","count    170.000000
mean      10.769815
std        6.344215
min        0.027775
25%        6.558913
50%        9.565006
75%       13.776271
max       31.100330
Name: % error, dtype: float64",4
9,Lasso,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_mixed_refs'], dtype='object')","Lasso(alpha=4, max_iter=10)",Performance,0.2,"ref_9            182.560062
ref_1            140.055728
no_mixed_refs     45.025789
dtype: float64","count    170.000000
mean      10.594362
std        7.144467
min        0.698961
25%        5.557435
50%        9.144004
75%       12.901661
max       33.822858
Name: % error, dtype: float64",4
10,Ridge,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_mixed_refs'], dtype='object')",Ridge(),Performance,0.2,"ref_9            166.505953
ref_1            153.739642
no_mixed_refs     56.531974
ref_5             12.766311
dtype: float64","count    170.000000
mean      11.155794
std        7.679507
min        0.651106
25%        6.457154
50%        9.464103
75%       13.318486
max       36.718447
Name: % error, dtype: float64",4
11,ElasticNet,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_mixed_refs'], dtype='object')","ElasticNet(alpha=0.05, l1_ratio=0.1, max_iter=100)",Performance,0.2,"ref_9            157.049343
ref_1            143.973544
no_mixed_refs     55.741398
ref_5             12.954432
dtype: float64","count    170.000000
mean      11.705979
std        8.808552
min        0.447592
25%        5.372606
50%        9.719497
75%       13.357208
max       40.897123
Name: % error, dtype: float64",4
12,PolynomialRegression,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_mixed_refs'], dtype='object')",LinearRegression(),Performance,0.2,"ref_9            107.440123
ref_1             97.738951
no_mixed_refs     21.462061
ref_5              9.701173
dtype: float64","count    170.000000
mean       8.316473
std        5.323580
min        0.005605
25%        3.747789
50%        7.595511
75%       12.147084
max       20.142089
Name: % error, dtype: float64",4
13,RandomForest,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_mixed_refs'], dtype='object')",RandomForestRegressor(),Performance,0.2,"ref_9           NaN
ref_1           NaN
ref_5           NaN
no_mixed_refs   NaN
Name: % error, dtype: float64","count    170.000000
mean       8.294866
std        5.307609
min        0.067129
25%        3.763095
50%        7.598617
75%       12.213903
max       20.305874
Name: % error, dtype: float64",4
14,GradientBoostingTree,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_mixed_refs'], dtype='object')",GradientBoostingRegressor(),Performance,0.2,"ref_9           NaN
ref_1           NaN
ref_5           NaN
no_mixed_refs   NaN
Name: % error, dtype: float64","count    170.000000
mean       8.316561
std        5.323492
min        0.005863
25%        3.746959
50%        7.595356
75%       12.147105
max       20.142027
Name: % error, dtype: float64",4
15,DecisionTree,False,DecisionTree,"Index(['ref_9', 'ref_1', 'ref_5', 'no_mixed_refs'], dtype='object')",DecisionTreeRegressor(),Performance,0.2,"ref_9           NaN
ref_1           NaN
ref_5           NaN
no_mixed_refs   NaN
Name: % error, dtype: float64","count    170.000000
mean       8.316473
std        5.323580
min        0.005605
25%        3.747789
50%        7.595511
75%       12.147084
max       20.142089
Name: % error, dtype: float64",4
