,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'Files_0', 'tmOff', '#yes', 'HeaderCompressionOff'],
      dtype='object')",LinearRegression(),Performance,0.1,"x_10                    39937.585091
x_8                     12841.198648
BZip2                    5427.388955
PPMd                     3193.925846
x_6                      2464.726712
#yes                     1758.171767
Deflate                  1154.358052
HeaderCompressionOff      970.606566
Files_0                   854.948193
x_4                       669.927149
mtOff                     638.349735
tmOff                     119.805267
dtype: float64","count    3682.000000
mean       57.046536
std        69.267802
min         0.014906
25%        15.983402
50%        29.984130
75%        76.637172
max       519.543619
Name: % error, dtype: float64",12
1,Lasso,False,DecisionTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'Files_0', 'tmOff', '#yes', 'HeaderCompressionOff'],
      dtype='object')","Lasso(alpha=4, max_iter=5)",Performance,0.1,"x_10                    39814.737891
x_8                     12740.351289
BZip2                    5588.884582
PPMd                     3084.024996
x_6                      2327.514719
#yes                     1473.433674
Deflate                  1210.995290
Files_0                   829.451627
HeaderCompressionOff      654.455112
x_4                       621.300848
tmOff                     407.441583
mtOff                     279.257338
dtype: float64","count    3682.000000
mean       56.935355
std        68.198690
min         0.007548
25%        17.840173
50%        31.120247
75%        76.668038
max       518.140127
Name: % error, dtype: float64",12
2,Ridge,False,DecisionTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'Files_0', 'tmOff', '#yes', 'HeaderCompressionOff'],
      dtype='object')",Ridge(alpha=0.5),Performance,0.1,"x_10                    39129.196715
x_8                     12421.436693
BZip2                    5385.911439
PPMd                     3193.589669
x_6                      2219.169701
#yes                     1781.841546
Deflate                  1152.104641
HeaderCompressionOff      950.914364
Files_0                   861.023116
mtOff                     578.770926
x_4                       403.901935
tmOff                     110.626998
dtype: float64","count    3682.000000
mean       56.599747
std        67.988741
min         0.052639
25%        15.144887
50%        32.336130
75%        77.067159
max       511.706989
Name: % error, dtype: float64",12
3,ElasticNet,False,DecisionTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'Files_0', 'tmOff', '#yes', 'HeaderCompressionOff'],
      dtype='object')","ElasticNet(alpha=4, l1_ratio=1.0, max_iter=5)",Performance,0.1,"x_10                    39814.737891
x_8                     12740.351289
BZip2                    5588.884582
PPMd                     3084.024996
x_6                      2327.514719
#yes                     1473.433674
Deflate                  1210.995290
Files_0                   829.451627
HeaderCompressionOff      654.455112
x_4                       621.300848
tmOff                     407.441583
mtOff                     279.257338
dtype: float64","count    3682.000000
mean       56.935355
std        68.198690
min         0.007548
25%        17.840173
50%        31.120247
75%        76.668038
max       518.140127
Name: % error, dtype: float64",12
4,PolynomialRegression,False,DecisionTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'Files_0', 'tmOff', '#yes', 'HeaderCompressionOff'],
      dtype='object')",LinearRegression(),Performance,0.1,"x_10                    1.695137e+14
x_8                     8.814179e+03
x_6                     7.871400e+03
Files_0                 5.033439e+03
Deflate                 3.554187e+03
tmOff                   2.595363e+03
BZip2                   2.470746e+03
#yes                    2.336213e+03
x_4                     1.977650e+03
PPMd                    7.452319e+02
HeaderCompressionOff    4.252451e+02
mtOff                   5.190430e+00
dtype: float64","count    3682.000000
mean        6.249082
std         9.809083
min         0.001137
25%         1.188845
50%         3.222767
75%         7.747297
max       170.997982
Name: % error, dtype: float64",12
5,RandomForest,False,DecisionTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'Files_0', 'tmOff', '#yes', 'HeaderCompressionOff'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"x_10                   NaN
BZip2                  NaN
Deflate                NaN
x_8                    NaN
PPMd                   NaN
x_6                    NaN
x_4                    NaN
mtOff                  NaN
Files_0                NaN
tmOff                  NaN
#yes                   NaN
HeaderCompressionOff   NaN
Name: % error, dtype: float64","count    3682.000000
mean        5.226355
std         6.205668
min         0.000065
25%         1.206149
50%         3.053817
75%         6.680859
max        39.619013
Name: % error, dtype: float64",12
6,GradientBoostingTree,False,DecisionTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'Files_0', 'tmOff', '#yes', 'HeaderCompressionOff'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"x_10                   NaN
BZip2                  NaN
Deflate                NaN
x_8                    NaN
PPMd                   NaN
x_6                    NaN
x_4                    NaN
mtOff                  NaN
Files_0                NaN
tmOff                  NaN
#yes                   NaN
HeaderCompressionOff   NaN
Name: % error, dtype: float64","count    3682.000000
mean        9.471603
std        12.016375
min         0.003492
25%         1.790093
50%         5.534990
75%        12.215142
max        75.398857
Name: % error, dtype: float64",12
7,DecisionTree,False,DecisionTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'Files_0', 'tmOff', '#yes', 'HeaderCompressionOff'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"x_10                   NaN
BZip2                  NaN
Deflate                NaN
x_8                    NaN
PPMd                   NaN
x_6                    NaN
x_4                    NaN
mtOff                  NaN
Files_0                NaN
tmOff                  NaN
#yes                   NaN
HeaderCompressionOff   NaN
Name: % error, dtype: float64","count    3682.000000
mean        5.137802
std         6.144935
min         0.000000
25%         1.164629
50%         2.995073
75%         6.665733
max        51.704545
Name: % error, dtype: float64",12
8,LinearRegression,False,DecisionTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'Files_0', 'tmOff', '#yes', 'HeaderCompressionOff'],
      dtype='object')",LinearRegression(),Performance,0.2,"x_10                    37124.483172
x_8                     12730.539083
BZip2                    5386.611295
PPMd                     4112.208292
x_6                      2394.158975
Files_0                  1461.936663
#yes                     1406.735949
Deflate                  1310.456885
HeaderCompressionOff      606.428710
x_4                       551.295586
tmOff                     313.547728
mtOff                     138.819123
dtype: float64","count    3273.000000
mean       63.550041
std        72.517281
min         0.119902
25%        18.538935
50%        33.106240
75%        79.894419
max       473.645302
Name: % error, dtype: float64",12
9,Lasso,False,DecisionTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'Files_0', 'tmOff', '#yes', 'HeaderCompressionOff'],
      dtype='object')","Lasso(alpha=25, max_iter=100)",Performance,0.2,"x_10                    36451.714614
x_8                     12053.254294
BZip2                    5194.188045
PPMd                     4165.670305
x_6                      1899.729860
#yes                     1355.402896
Files_0                  1188.878169
Deflate                  1044.167020
HeaderCompressionOff      440.652421
tmOff                     146.031515
x_4                        42.363869
dtype: float64","count    3273.000000
mean       61.037880
std        69.036578
min         0.001796
25%        18.055722
50%        34.227685
75%        79.942927
max       466.346122
Name: % error, dtype: float64",12
