,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,GradientBoostingTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA', 'mtOff',
       '#yes', 'LZMA2', 'tmOff', 'x_2'],
      dtype='object')",LinearRegression(),Performance,0.1,"x_10       25337.482976
BZip2      14128.042556
x_8        12766.484048
PPMd        9133.902176
x_6         6975.060167
LZMA2       4270.474151
LZMA        2702.789023
Deflate     1979.122795
x_2         1302.493263
mtOff       1148.019828
tmOff        321.111163
#yes         123.303351
dtype: float64","count    3682.000000
mean      102.791981
std        97.593218
min         0.015432
25%        34.867689
50%        58.905295
75%       152.940142
max       424.039730
Name: % error, dtype: float64",12
1,Lasso,False,GradientBoostingTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA', 'mtOff',
       '#yes', 'LZMA2', 'tmOff', 'x_2'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.1,"x_10       24898.600246
BZip2      18059.964991
x_8        12093.583340
x_6         6340.880019
Deflate     6035.060987
PPMd        4768.814564
LZMA        1293.203021
x_2          885.954428
mtOff        856.292450
LZMA2         20.197806
tmOff         15.857075
#yes           2.589225
dtype: float64","count    3682.000000
mean      100.653557
std        93.187346
min         0.824348
25%        35.043082
50%        57.602750
75%       156.651300
max       386.185562
Name: % error, dtype: float64",12
2,Ridge,False,GradientBoostingTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA', 'mtOff',
       '#yes', 'LZMA2', 'tmOff', 'x_2'],
      dtype='object')",Ridge(alpha=0.8),Performance,0.1,"x_10       24889.870562
BZip2      13908.623036
x_8        12198.415239
PPMd        8948.554434
x_6         6540.633032
LZMA2       4225.304220
LZMA        2725.157094
Deflate     1990.392712
mtOff       1103.027896
x_2         1021.721948
tmOff        275.469983
#yes         103.163410
dtype: float64","count    3682.000000
mean      100.581748
std        94.897787
min         0.167527
25%        35.170050
50%        56.746588
75%       155.993570
max       398.838904
Name: % error, dtype: float64",12
3,ElasticNet,False,GradientBoostingTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA', 'mtOff',
       '#yes', 'LZMA2', 'tmOff', 'x_2'],
      dtype='object')","ElasticNet(alpha=25, l1_ratio=1.0, max_iter=5)",Performance,0.1,"x_10       24898.600246
BZip2      18059.964991
x_8        12093.583340
x_6         6340.880019
Deflate     6035.060987
PPMd        4768.814564
LZMA        1293.203021
x_2          885.954428
mtOff        856.292450
LZMA2         20.197806
tmOff         15.857075
#yes           2.589225
dtype: float64","count    3682.000000
mean      100.653557
std        93.187346
min         0.824348
25%        35.043082
50%        57.602750
75%       156.651300
max       386.185562
Name: % error, dtype: float64",12
4,PolynomialRegression,False,GradientBoostingTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA', 'mtOff',
       '#yes', 'LZMA2', 'tmOff', 'x_2'],
      dtype='object')",LinearRegression(),Performance,0.1,"x_10       12806.230860
x_8        11921.450800
x_6         4868.960577
Deflate     2223.710401
BZip2       1851.270392
PPMd        1626.092481
tmOff       1406.828493
LZMA2       1202.024146
LZMA         796.508344
#yes         420.515466
x_2          112.420156
mtOff         11.271017
dtype: float64","count    3682.000000
mean        7.851180
std         9.841693
min         0.002704
25%         1.921191
50%         4.343244
75%         9.554135
max        58.606649
Name: % error, dtype: float64",12
5,RandomForest,False,GradientBoostingTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA', 'mtOff',
       '#yes', 'LZMA2', 'tmOff', 'x_2'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"x_10      NaN
BZip2     NaN
Deflate   NaN
x_8       NaN
PPMd      NaN
x_6       NaN
LZMA      NaN
mtOff     NaN
#yes      NaN
LZMA2     NaN
tmOff     NaN
x_2       NaN
Name: % error, dtype: float64","count    3682.000000
mean        5.816771
std         6.368094
min         0.004888
25%         1.409833
50%         3.598967
75%         7.925461
max        47.370592
Name: % error, dtype: float64",12
6,GradientBoostingTree,False,GradientBoostingTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA', 'mtOff',
       '#yes', 'LZMA2', 'tmOff', 'x_2'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"x_10      NaN
BZip2     NaN
Deflate   NaN
x_8       NaN
PPMd      NaN
x_6       NaN
LZMA      NaN
mtOff     NaN
#yes      NaN
LZMA2     NaN
tmOff     NaN
x_2       NaN
Name: % error, dtype: float64","count    3682.000000
mean        8.807856
std        10.733571
min         0.000130
25%         2.021221
50%         5.218827
75%        11.068873
max        67.011399
Name: % error, dtype: float64",12
7,DecisionTree,False,GradientBoostingTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA', 'mtOff',
       '#yes', 'LZMA2', 'tmOff', 'x_2'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"x_10      NaN
BZip2     NaN
Deflate   NaN
x_8       NaN
PPMd      NaN
x_6       NaN
LZMA      NaN
mtOff     NaN
#yes      NaN
LZMA2     NaN
tmOff     NaN
x_2       NaN
Name: % error, dtype: float64","count    3682.000000
mean        5.696444
std         6.532603
min         0.000000
25%         1.290414
50%         3.256164
75%         7.637948
max        49.184783
Name: % error, dtype: float64",12
8,LinearRegression,False,GradientBoostingTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA', 'mtOff',
       '#yes', 'LZMA2', 'tmOff', 'x_2'],
      dtype='object')",LinearRegression(),Performance,0.2,"BZip2      1.421996e+17
Deflate    1.421996e+17
LZMA       1.421996e+17
LZMA2      1.421996e+17
PPMd       1.421996e+17
x_10       2.580376e+04
x_8        1.300800e+04
x_6        8.504000e+03
mtOff      1.328000e+03
x_2        6.240000e+02
#yes       3.840000e+02
tmOff      3.040000e+02
dtype: float64","count    3273.000000
mean      102.299329
std        99.644092
min         0.084388
25%        34.552684
50%        60.376176
75%       150.954357
max       456.129032
Name: % error, dtype: float64",12
9,Lasso,False,GradientBoostingTree,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA', 'mtOff',
       '#yes', 'LZMA2', 'tmOff', 'x_2'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.2,"x_10       25497.670016
BZip2      17121.820694
x_8        12202.576023
x_6         7772.797067
Deflate     5437.492006
PPMd        5315.020653
LZMA        1410.665584
mtOff        894.280688
#yes         241.938695
x_2          207.022037
LZMA2         10.329770
dtype: float64","count    3273.000000
mean       97.924181
std        94.953472
min         0.036058
25%        34.080928
50%        51.774503
75%       151.129260
max       410.804852
Name: % error, dtype: float64",12
