,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['polly_parallel', 'memory_based', 'value_based', 'parallel',
       'parallel_force', 'pollydefaulttilesize_4', 'pollydefaulttilesize_16',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_1024'],
      dtype='object')",LinearRegression(),Performance,0.1,"polly_parallel               1.812363e+14
parallel_force               1.812363e+14
parallel                     1.812363e+14
memory_based                 5.030073e+13
value_based                  5.030073e+13
pollydefaulttilesize_256     4.082138e+13
pollydefaulttilesize_1024    4.082138e+13
pollydefaulttilesize_4       4.082138e+13
pollydefaulttilesize_64      4.082138e+13
pollydefaulttilesize_16      4.082138e+13
dtype: float64","count    1955.000000
mean       30.376088
std        68.424960
min         0.004285
25%         4.444827
50%         8.580655
75%        18.797318
max       497.624043
Name: % error, dtype: float64",10
1,Lasso,False,DecisionTree,"Index(['polly_parallel', 'memory_based', 'value_based', 'parallel',
       'parallel_force', 'pollydefaulttilesize_4', 'pollydefaulttilesize_16',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_1024'],
      dtype='object')","Lasso(alpha=0.1, max_iter=5)",Performance,0.1,"memory_based                3.729376e+00
parallel                    2.462804e+00
polly_parallel              2.118458e+00
pollydefaulttilesize_16     9.566490e-01
pollydefaulttilesize_256    3.158212e-01
value_based                 1.916056e-15
dtype: float64","count    1955.000000
mean       30.153579
std        69.313802
min         0.012453
25%         4.320397
50%         8.603783
75%        17.946349
max       500.021823
Name: % error, dtype: float64",10
2,Ridge,False,DecisionTree,"Index(['polly_parallel', 'memory_based', 'value_based', 'parallel',
       'parallel_force', 'pollydefaulttilesize_4', 'pollydefaulttilesize_16',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_1024'],
      dtype='object')",Ridge(alpha=10),Performance,0.1,"parallel                     2.344228
polly_parallel               2.171011
memory_based                 1.935986
value_based                  1.935986
pollydefaulttilesize_16      1.060900
pollydefaulttilesize_256     0.807850
pollydefaulttilesize_1024    0.234562
parallel_force               0.173217
pollydefaulttilesize_4       0.119760
pollydefaulttilesize_64      0.101272
dtype: float64","count    1955.000000
mean       30.135981
std        69.314222
min         0.009707
25%         4.054565
50%         8.511216
75%        17.405734
max       502.277797
Name: % error, dtype: float64",10
3,ElasticNet,False,DecisionTree,"Index(['polly_parallel', 'memory_based', 'value_based', 'parallel',
       'parallel_force', 'pollydefaulttilesize_4', 'pollydefaulttilesize_16',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_1024'],
      dtype='object')","ElasticNet(alpha=0.2, max_iter=1)",Performance,0.1,"polly_parallel              2.551040
memory_based                2.322198
parallel                    1.324207
value_based                 0.684511
pollydefaulttilesize_16     0.675933
pollydefaulttilesize_256    0.129788
parallel_force              0.066526
dtype: float64","count    1955.000000
mean       30.265361
std        69.904952
min         0.000979
25%         4.434590
50%         8.613426
75%        16.702149
max       517.280966
Name: % error, dtype: float64",10
4,PolynomialRegression,False,DecisionTree,"Index(['polly_parallel', 'memory_based', 'value_based', 'parallel',
       'parallel_force', 'pollydefaulttilesize_4', 'pollydefaulttilesize_16',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_1024'],
      dtype='object')",LinearRegression(),Performance,0.1,"value_based                  9.256518e+13
parallel_force               8.260645e+13
pollydefaulttilesize_4       5.547182e+13
pollydefaulttilesize_64      3.504573e+13
pollydefaulttilesize_256     3.077682e+13
parallel                     2.162559e+13
memory_based                 1.768246e+13
pollydefaulttilesize_1024    9.997843e+12
pollydefaulttilesize_16      1.827483e+12
polly_parallel               3.351496e+11
dtype: float64","count    1955.000000
mean       29.908055
std        68.093268
min         0.004278
25%         2.910337
50%         6.139101
75%        20.705952
max       521.319199
Name: % error, dtype: float64",10
5,RandomForest,False,DecisionTree,"Index(['polly_parallel', 'memory_based', 'value_based', 'parallel',
       'parallel_force', 'pollydefaulttilesize_4', 'pollydefaulttilesize_16',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_1024'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"polly_parallel              NaN
memory_based                NaN
value_based                 NaN
parallel                    NaN
parallel_force              NaN
pollydefaulttilesize_4      NaN
pollydefaulttilesize_16     NaN
pollydefaulttilesize_256    NaN
pollydefaulttilesize_64     NaN
pollydefaulttilesize_1024   NaN
Name: % error, dtype: float64","count    1955.000000
mean       29.148091
std        68.324918
min         0.006809
25%         0.802430
50%         3.643926
75%        21.224065
max       546.852012
Name: % error, dtype: float64",10
6,GradientBoostingTree,False,DecisionTree,"Index(['polly_parallel', 'memory_based', 'value_based', 'parallel',
       'parallel_force', 'pollydefaulttilesize_4', 'pollydefaulttilesize_16',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_1024'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"polly_parallel              NaN
memory_based                NaN
value_based                 NaN
parallel                    NaN
parallel_force              NaN
pollydefaulttilesize_4      NaN
pollydefaulttilesize_16     NaN
pollydefaulttilesize_256    NaN
pollydefaulttilesize_64     NaN
pollydefaulttilesize_1024   NaN
Name: % error, dtype: float64","count    1955.000000
mean       29.227776
std        67.943553
min         0.000580
25%         0.913053
50%         3.623686
75%        21.186000
max       548.075297
Name: % error, dtype: float64",10
7,DecisionTree,False,DecisionTree,"Index(['polly_parallel', 'memory_based', 'value_based', 'parallel',
       'parallel_force', 'pollydefaulttilesize_4', 'pollydefaulttilesize_16',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_1024'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"polly_parallel              NaN
memory_based                NaN
value_based                 NaN
parallel                    NaN
parallel_force              NaN
pollydefaulttilesize_4      NaN
pollydefaulttilesize_16     NaN
pollydefaulttilesize_256    NaN
pollydefaulttilesize_64     NaN
pollydefaulttilesize_1024   NaN
Name: % error, dtype: float64","count    1955.000000
mean       29.267431
std        67.925741
min         0.000000
25%         0.845357
50%         3.569759
75%        21.482781
max       548.017275
Name: % error, dtype: float64",10
8,LinearRegression,False,DecisionTree,"Index(['polly_parallel', 'memory_based', 'value_based', 'parallel',
       'parallel_force', 'pollydefaulttilesize_4', 'pollydefaulttilesize_16',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_1024'],
      dtype='object')",LinearRegression(),Performance,0.2,"memory_based                 2.167994e+14
value_based                  2.167994e+14
pollydefaulttilesize_16      1.934517e+14
pollydefaulttilesize_4       1.934517e+14
pollydefaulttilesize_64      1.934517e+14
pollydefaulttilesize_256     1.934517e+14
pollydefaulttilesize_1024    1.934517e+14
parallel                     1.626089e+14
parallel_force               1.626089e+14
polly_parallel               1.626089e+14
dtype: float64","count    1738.000000
mean       29.776558
std        68.021534
min         0.011301
25%         3.451106
50%         8.778551
75%        18.411509
max       481.566549
Name: % error, dtype: float64",10
9,Lasso,False,DecisionTree,"Index(['polly_parallel', 'memory_based', 'value_based', 'parallel',
       'parallel_force', 'pollydefaulttilesize_4', 'pollydefaulttilesize_16',
       'pollydefaulttilesize_256', 'pollydefaulttilesize_64',
       'pollydefaulttilesize_1024'],
      dtype='object')","Lasso(alpha=0.05, max_iter=100)",Performance,0.2,"memory_based                 4.268483e+00
parallel                     2.669596e+00
polly_parallel               1.620152e+00
pollydefaulttilesize_16      9.203529e-01
pollydefaulttilesize_1024    5.064810e-01
value_based                  1.329205e-15
dtype: float64","count    1738.000000
mean       29.652619
std        68.473510
min         0.012519
25%         3.282471
50%         8.267180
75%        17.877000
max       489.503010
Name: % error, dtype: float64",10
