,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')",LinearRegression(),Performance,0.1,"none                         1.385938e+15
polly                        1.385938e+15
min                          4.277342e+14
max                          4.277342e+14
value_based                  1.537475e+14
memory_based                 1.537475e+14
polly_no_tiling              5.312500e+00
parallel                     3.736145e+00
pollydefaulttilesize_1024    9.765625e-02
pollydefaulttilesize_4       7.031250e-02
dtype: float64","count    1955.000000
mean       23.896361
std        42.113266
min         0.023183
25%         5.889227
50%        10.667211
75%        19.608527
max       294.581861
Name: % error, dtype: float64",10
1,Lasso,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')","Lasso(alpha=0.05, max_iter=10)",Performance,0.1,"memory_based       5.515126e+00
polly_no_tiling    5.170108e+00
max                4.354319e+00
parallel           3.454086e+00
none               2.358820e+00
min                1.139216e+00
value_based        6.603551e-15
dtype: float64","count    1955.000000
mean       24.203957
std        46.156770
min         0.022278
25%         6.350364
50%        10.554646
75%        17.680736
max       324.300097
Name: % error, dtype: float64",10
2,Ridge,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')",Ridge(alpha=2),Performance,0.1,"polly_no_tiling              5.220918
parallel                     3.564319
value_based                  2.824019
memory_based                 2.824019
min                          2.799166
max                          2.799166
polly                        1.258461
none                         1.258461
pollydefaulttilesize_4       0.127903
pollydefaulttilesize_1024    0.097239
dtype: float64","count    1955.000000
mean       24.114350
std        45.419612
min         0.002547
25%         6.135987
50%        10.515814
75%        18.036110
max       318.883518
Name: % error, dtype: float64",10
3,ElasticNet,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')","ElasticNet(alpha=0.05, l1_ratio=1.0, max_iter=10)",Performance,0.1,"memory_based       5.515126e+00
polly_no_tiling    5.170108e+00
max                4.354319e+00
parallel           3.454086e+00
none               2.358820e+00
min                1.139216e+00
value_based        6.603551e-15
dtype: float64","count    1955.000000
mean       24.203957
std        46.156770
min         0.022278
25%         6.350364
50%        10.554646
75%        17.680736
max       324.300097
Name: % error, dtype: float64",10
4,PolynomialRegression,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')",LinearRegression(),Performance,0.1,"none                         2.276498e+14
polly                        1.914883e+14
pollydefaulttilesize_4       9.184378e+13
memory_based                 6.185575e+13
pollydefaulttilesize_1024    1.646087e+13
value_based                  1.584954e+13
parallel                     1.237755e+13
polly_no_tiling              7.168562e+12
min                          4.854751e+12
max                          2.206084e+11
dtype: float64","count    1955.000000
mean        8.764441
std        11.141861
min         0.002694
25%         2.611243
50%         6.192792
75%        10.622751
max        91.401649
Name: % error, dtype: float64",10
5,RandomForest,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"max                          37.322547
min                           0.001861
polly_no_tiling                    NaN
memory_based                       NaN
value_based                        NaN
parallel                           NaN
none                               NaN
polly                              NaN
pollydefaulttilesize_4             NaN
pollydefaulttilesize_1024          NaN
Name: % error, dtype: float64","count    1955.000000
mean        2.362358
std         4.481868
min         0.001861
25%         0.534261
50%         1.093147
75%         2.286271
max        37.322547
Name: % error, dtype: float64",10
6,GradientBoostingTree,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"max                          51.526540
min                           0.002518
polly_no_tiling                    NaN
memory_based                       NaN
value_based                        NaN
parallel                           NaN
none                               NaN
polly                              NaN
pollydefaulttilesize_4             NaN
pollydefaulttilesize_1024          NaN
Name: % error, dtype: float64","count    1955.000000
mean        2.402635
std         4.802676
min         0.002518
25%         0.562888
50%         1.142745
75%         2.356963
max        51.526540
Name: % error, dtype: float64",10
7,DecisionTree,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"max                          38.460695
polly_no_tiling                    NaN
memory_based                       NaN
value_based                        NaN
parallel                           NaN
none                               NaN
polly                              NaN
pollydefaulttilesize_4             NaN
pollydefaulttilesize_1024          NaN
Name: % error, dtype: float64","count    1955.000000
mean        2.033581
std         3.951078
min         0.000000
25%         0.443988
50%         1.020108
75%         2.068856
max        38.460695
Name: % error, dtype: float64",10
8,LinearRegression,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')",LinearRegression(),Performance,0.2,"none                         2.169116e+15
polly                        2.169116e+15
value_based                  6.314789e+14
memory_based                 6.314789e+14
max                          2.839933e+14
min                          2.839933e+14
polly_no_tiling              5.062500e+00
parallel                     2.878906e+00
pollydefaulttilesize_1024    2.101562e+00
pollydefaulttilesize_4       1.404297e+00
dtype: float64","count    1738.000000
mean       24.311072
std        44.692498
min         0.033625
25%         5.908214
50%        11.801149
75%        17.202526
max       329.917550
Name: % error, dtype: float64",10
9,Lasso,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')","Lasso(alpha=0.05, max_iter=5)",Performance,0.2,"memory_based                 5.741026e+00
polly_no_tiling              5.635482e+00
max                          4.437748e+00
parallel                     3.023328e+00
none                         2.940200e+00
min                          1.238902e+00
pollydefaulttilesize_1024    5.071445e-01
value_based                  4.567012e-15
dtype: float64","count    1738.000000
mean       23.807671
std        43.067693
min         0.013015
25%         6.607447
50%        10.429197
75%        18.996690
max       311.392591
Name: % error, dtype: float64",10
10,Ridge,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')",Ridge(alpha=4),Performance,0.2,"polly_no_tiling              5.643107
parallel                     3.159383
value_based                  2.929245
memory_based                 2.929245
min                          2.896885
max                          2.896885
polly                        1.546477
none                         1.546477
pollydefaulttilesize_1024    0.745991
pollydefaulttilesize_4       0.020626
dtype: float64","count    1738.000000
mean       23.773200
std        42.519426
min         0.061144
25%         6.564690
50%        10.626820
75%        19.142000
max       307.647403
Name: % error, dtype: float64",10
11,ElasticNet,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')","ElasticNet(alpha=0.05, l1_ratio=1.0, max_iter=5)",Performance,0.2,"memory_based                 5.741026e+00
polly_no_tiling              5.635482e+00
max                          4.437748e+00
parallel                     3.023328e+00
none                         2.940200e+00
min                          1.238902e+00
pollydefaulttilesize_1024    5.071445e-01
value_based                  4.567012e-15
dtype: float64","count    1738.000000
mean       23.807671
std        43.067693
min         0.013015
25%         6.607447
50%        10.429197
75%        18.996690
max       311.392591
Name: % error, dtype: float64",10
12,PolynomialRegression,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')",LinearRegression(),Performance,0.2,"max                          1.636025e+14
memory_based                 7.437075e+13
none                         7.289785e+13
min                          6.020429e+13
pollydefaulttilesize_1024    3.152356e+13
parallel                     1.655398e+13
polly                        1.495622e+13
value_based                  1.452095e+13
pollydefaulttilesize_4       1.095408e+13
polly_no_tiling              9.437611e+11
dtype: float64","count    1738.000000
mean        7.741358
std         9.012165
min         0.007176
25%         1.913706
50%         5.708823
75%        10.683760
max        89.009128
Name: % error, dtype: float64",10
13,RandomForest,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')",RandomForestRegressor(),Performance,0.2,"max                          33.994978
min                           0.000100
polly_no_tiling                    NaN
memory_based                       NaN
value_based                        NaN
parallel                           NaN
none                               NaN
polly                              NaN
pollydefaulttilesize_4             NaN
pollydefaulttilesize_1024          NaN
Name: % error, dtype: float64","count    1738.000000
mean        1.896020
std         3.417146
min         0.000100
25%         0.483857
50%         1.104569
75%         1.950619
max        33.994978
Name: % error, dtype: float64",10
14,GradientBoostingTree,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.2,"max                          56.730527
min                           0.001228
polly_no_tiling                    NaN
memory_based                       NaN
value_based                        NaN
parallel                           NaN
none                               NaN
polly                              NaN
pollydefaulttilesize_4             NaN
pollydefaulttilesize_1024          NaN
Name: % error, dtype: float64","count    1738.000000
mean        2.354237
std         4.826828
min         0.001228
25%         0.520204
50%         1.174325
75%         2.333659
max        56.730527
Name: % error, dtype: float64",10
15,DecisionTree,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.2,"max                          33.352964
polly_no_tiling                    NaN
memory_based                       NaN
value_based                        NaN
parallel                           NaN
none                               NaN
polly                              NaN
pollydefaulttilesize_4             NaN
pollydefaulttilesize_1024          NaN
Name: % error, dtype: float64","count    1738.000000
mean        1.864604
std         3.439901
min         0.000000
25%         0.438720
50%         1.059693
75%         1.941917
max        33.352964
Name: % error, dtype: float64",10
16,LinearRegression,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')",LinearRegression(),Performance,0.3,"polly                        1.883044e+14
none                         1.883044e+14
min                          1.475875e+14
max                          1.475875e+14
value_based                  4.079028e+13
memory_based                 4.079028e+13
polly_no_tiling              5.687500e+00
parallel                     2.595703e+00
pollydefaulttilesize_1024    1.296875e+00
pollydefaulttilesize_4       2.197266e-01
dtype: float64","count    1521.000000
mean       24.316437
std        44.771876
min         0.014037
25%         6.572165
50%        10.651751
75%        18.432560
max       322.555948
Name: % error, dtype: float64",10
17,Lasso,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')","Lasso(alpha=0.01, max_iter=10)",Performance,0.3,"memory_based                 5.980920e+00
polly_no_tiling              5.601384e+00
max                          4.397839e+00
none                         2.762830e+00
parallel                     2.500003e+00
pollydefaulttilesize_1024    1.217168e+00
min                          1.062693e+00
pollydefaulttilesize_4       1.535703e-01
value_based                  5.590832e-15
polly                        5.169510e-16
dtype: float64","count    1521.000000
mean       24.304944
std        44.753285
min         0.049836
25%         6.787283
50%        10.766131
75%        18.082466
max       322.360210
Name: % error, dtype: float64",10
18,Ridge,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')",Ridge(alpha=4),Performance,0.3,"polly_no_tiling              5.487361
value_based                  2.956812
memory_based                 2.956812
min                          2.701164
max                          2.701164
parallel                     2.472201
none                         1.385149
polly                        1.385149
pollydefaulttilesize_1024    1.228820
pollydefaulttilesize_4       0.205675
dtype: float64","count    1521.000000
mean       24.350552
std        45.139409
min         0.033369
25%         6.736840
50%        10.667857
75%        17.956655
max       324.655463
Name: % error, dtype: float64",10
19,ElasticNet,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')","ElasticNet(alpha=0.01, l1_ratio=0.0, max_iter=5)",Performance,0.3,"polly_no_tiling              5.392239
memory_based                 4.983595
max                          3.812384
parallel                     2.444340
none                         2.343547
min                          1.578964
pollydefaulttilesize_1024    1.197968
value_based                  0.941784
polly                        0.451626
pollydefaulttilesize_4       0.201040
dtype: float64","count    1521.000000
mean       24.369841
std        45.248501
min         0.207599
25%         6.795567
50%        10.555086
75%        17.844043
max       325.346171
Name: % error, dtype: float64",10
20,PolynomialRegression,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')",LinearRegression(),Performance,0.3,"min                          1.545947e+14
pollydefaulttilesize_4       1.545722e+14
memory_based                 7.699779e+13
parallel                     4.166831e+13
none                         2.479917e+13
pollydefaulttilesize_1024    2.465143e+13
polly_no_tiling              1.515839e+13
value_based                  1.105808e+13
polly                        2.428003e+12
max                          1.191808e+11
dtype: float64","count    1521.000000
mean        8.992395
std        14.378839
min         0.000000
25%         1.826185
50%         5.621708
75%         9.703157
max       134.098940
Name: % error, dtype: float64",10
21,RandomForest,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')",RandomForestRegressor(),Performance,0.3,"max                          34.389121
min                           0.000991
polly_no_tiling                    NaN
memory_based                       NaN
value_based                        NaN
parallel                           NaN
none                               NaN
polly                              NaN
pollydefaulttilesize_4             NaN
pollydefaulttilesize_1024          NaN
Name: % error, dtype: float64","count    1521.000000
mean        2.027336
std         3.850743
min         0.000991
25%         0.453607
50%         1.080286
75%         1.977530
max        34.389121
Name: % error, dtype: float64",10
22,GradientBoostingTree,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.3,"max                          58.917460
min                           0.000286
polly_no_tiling                    NaN
memory_based                       NaN
value_based                        NaN
parallel                           NaN
none                               NaN
polly                              NaN
pollydefaulttilesize_4             NaN
pollydefaulttilesize_1024          NaN
Name: % error, dtype: float64","count    1521.000000
mean        2.374470
std         5.356887
min         0.000286
25%         0.526975
50%         1.115281
75%         2.237016
max        58.917460
Name: % error, dtype: float64",10
23,DecisionTree,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.3,"max                          33.602558
polly_no_tiling                    NaN
memory_based                       NaN
value_based                        NaN
parallel                           NaN
none                               NaN
polly                              NaN
pollydefaulttilesize_4             NaN
pollydefaulttilesize_1024          NaN
Name: % error, dtype: float64","count    1521.000000
mean        1.912389
std         3.647629
min         0.000000
25%         0.428814
50%         1.035152
75%         1.911163
max        33.602558
Name: % error, dtype: float64",10
24,LinearRegression,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')",LinearRegression(),Performance,0.4,"polly                        1.912477e+15
none                         1.912477e+15
memory_based                 7.261420e+13
value_based                  7.261420e+13
min                          3.873385e+13
max                          3.873385e+13
polly_no_tiling              6.500000e+00
parallel                     1.713379e+00
pollydefaulttilesize_1024    5.427246e-01
pollydefaulttilesize_4       7.104492e-02
dtype: float64","count    1304.000000
mean       25.136632
std        47.071296
min         0.163532
25%         7.033632
50%        10.087341
75%        16.833380
max       335.806832
Name: % error, dtype: float64",10
25,Lasso,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')","Lasso(alpha=0.01, max_iter=5)",Performance,0.4,"memory_based                 6.000776e+00
polly_no_tiling              5.629081e+00
max                          4.585406e+00
none                         2.847755e+00
parallel                     2.284605e+00
min                          1.128334e+00
pollydefaulttilesize_1024    8.001002e-01
value_based                  5.111660e-16
dtype: float64","count    1304.000000
mean       24.659924
std        45.289328
min         0.013410
25%         7.363887
50%        10.391886
75%        18.198158
max       320.215646
Name: % error, dtype: float64",10
26,Ridge,False,DecisionTree,"Index(['max', 'polly_no_tiling', 'min', 'memory_based', 'value_based',
       'parallel', 'none', 'polly', 'pollydefaulttilesize_4',
       'pollydefaulttilesize_1024'],
      dtype='object')",Ridge(alpha=0.8),Performance,0.4,"polly_no_tiling              5.661170
value_based                  3.024884
memory_based                 3.024884
min                          2.880979
max                          2.880979
parallel                     2.339302
none                         1.442090
polly                        1.442090
pollydefaulttilesize_1024    0.835189
pollydefaulttilesize_4       0.050881
dtype: float64","count    1304.000000
mean       24.629762
std        45.010496
min         0.020287
25%         7.294980
50%        10.496480
75%        18.315219
max       318.161049
Name: % error, dtype: float64",10
