,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'value_based', 'min', 'polly',
       'parallel', 'none', 'parallel_force', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"max                1.591800e+13
min                1.591800e+13
value_based        1.542542e+12
memory_based       1.542542e+12
polly              1.130147e+12
none               1.130147e+12
polly_no_tiling    3.293939e+00
parallel           2.438477e+00
parallel_force     3.920898e-01
#yes               3.398438e-01
dtype: float64","count    1955.000000
mean       17.513875
std        30.594418
min         0.001820
25%         3.946822
50%        10.213192
75%        14.103067
max       199.772351
Name: % error, dtype: float64",10
1,Lasso,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'value_based', 'min', 'polly',
       'parallel', 'none', 'parallel_force', '#yes'],
      dtype='object')","Lasso(alpha=0.05, max_iter=5)",Performance,0.1,"max                4.550437e+00
memory_based       3.824927e+00
polly_no_tiling    2.673450e+00
parallel           1.819209e+00
polly              9.427503e-01
min                8.978789e-04
none               3.098636e-04
value_based        9.828389e-17
dtype: float64","count    1955.000000
mean       17.589239
std        31.312115
min         0.004155
25%         3.697477
50%        10.211615
75%        13.642100
max       201.544267
Name: % error, dtype: float64",10
2,Ridge,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'value_based', 'min', 'polly',
       'parallel', 'none', 'parallel_force', '#yes'],
      dtype='object')",Ridge(alpha=4),Performance,0.1,"polly_no_tiling    2.665736
max                2.294269
min                2.294269
memory_based       1.934065
value_based        1.934065
parallel           1.447693
polly              0.561641
none               0.561641
parallel_force     0.498531
#yes               0.032793
dtype: float64","count    1955.000000
mean       17.615144
std        31.178407
min         0.002479
25%         4.030176
50%        10.164888
75%        13.828971
max       200.092560
Name: % error, dtype: float64",10
3,ElasticNet,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'value_based', 'min', 'polly',
       'parallel', 'none', 'parallel_force', '#yes'],
      dtype='object')","ElasticNet(alpha=0.01, l1_ratio=0.0, max_iter=1)",Performance,0.1,"max                4.812872
memory_based       4.002186
polly_no_tiling    2.516779
parallel           1.885751
polly              1.040886
min                0.161069
value_based        0.154009
parallel_force     0.094943
none               0.040442
#yes               0.031118
dtype: float64","count    1955.000000
mean       17.673963
std        30.323536
min         0.001013
25%         4.944592
50%        10.279340
75%        14.053286
max       197.093206
Name: % error, dtype: float64",10
4,PolynomialRegression,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'value_based', 'min', 'polly',
       'parallel', 'none', 'parallel_force', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"polly_no_tiling    3.382489e+12
none               3.101885e+12
parallel           1.144967e+12
parallel_force     8.600877e+11
polly              4.820764e+11
value_based        4.595640e+11
#yes               1.898361e+11
max                1.784142e+11
min                1.495505e+11
memory_based       1.439878e+11
dtype: float64","count    1955.000000
mean       10.642303
std        12.875234
min         0.013481
25%         3.904820
50%         6.913617
75%        10.742930
max        97.019868
Name: % error, dtype: float64",10
5,RandomForest,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'value_based', 'min', 'polly',
       'parallel', 'none', 'parallel_force', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"max                63.813751
min                 0.000974
polly_no_tiling          NaN
memory_based             NaN
value_based              NaN
polly                    NaN
parallel                 NaN
none                     NaN
parallel_force           NaN
#yes                     NaN
Name: % error, dtype: float64","count    1955.000000
mean        1.587654
std         5.279445
min         0.000974
25%         0.249700
50%         0.584146
75%         1.449338
max        63.813751
Name: % error, dtype: float64",10
6,GradientBoostingTree,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'value_based', 'min', 'polly',
       'parallel', 'none', 'parallel_force', '#yes'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"max                65.227496
min                 0.000011
polly_no_tiling          NaN
memory_based             NaN
value_based              NaN
polly                    NaN
parallel                 NaN
none                     NaN
parallel_force           NaN
#yes                     NaN
Name: % error, dtype: float64","count    1955.000000
mean        1.722896
std         5.412763
min         0.000011
25%         0.308641
50%         0.785979
75%         1.840663
max        65.227496
Name: % error, dtype: float64",10
7,DecisionTree,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'value_based', 'min', 'polly',
       'parallel', 'none', 'parallel_force', '#yes'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"max                68.247516
polly_no_tiling          NaN
memory_based             NaN
value_based              NaN
polly                    NaN
parallel                 NaN
none                     NaN
parallel_force           NaN
#yes                     NaN
Name: % error, dtype: float64","count    1955.000000
mean        1.427616
std         5.607588
min         0.000000
25%         0.231224
50%         0.522705
75%         1.206081
max        68.247516
Name: % error, dtype: float64",10
8,LinearRegression,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'value_based', 'min', 'polly',
       'parallel', 'none', 'parallel_force', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"value_based        3.377966e+14
memory_based       3.377966e+14
max                3.279701e+14
min                3.279701e+14
none               8.246028e+11
polly              8.246028e+11
polly_no_tiling    2.868582e+00
parallel           2.817383e+00
parallel_force     7.675781e-01
#yes               6.250000e-02
dtype: float64","count    1738.000000
mean       17.881593
std        32.090104
min         0.012524
25%         3.224745
50%         9.836243
75%        14.066607
max       204.816846
Name: % error, dtype: float64",10
9,Lasso,False,DecisionTree,"Index(['polly_no_tiling', 'max', 'memory_based', 'value_based', 'min', 'polly',
       'parallel', 'none', 'parallel_force', '#yes'],
      dtype='object')","Lasso(alpha=0.02, max_iter=1)",Performance,0.2,"max                4.479080
memory_based       4.392502
polly_no_tiling    2.708346
parallel           1.986373
polly              0.595084
min                0.140369
#yes               0.139798
none               0.027461
dtype: float64","count    1738.000000
mean       17.791389
std        31.579661
min         0.001389
25%         3.318188
50%        10.178797
75%        14.118916
max       201.375196
Name: % error, dtype: float64",10
