,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['min', 'polly_no_tiling', 'memory_based', 'value_based', 'max',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"polly                     1.618278e+15
none                      1.618278e+15
max                       2.845381e+14
min                       2.845381e+14
memory_based              2.722785e+14
value_based               2.722785e+14
polly_no_tiling           9.750000e+00
parallel                  1.945312e+00
pollydefaulttilesize_4    5.751953e-01
#yes                      3.906250e-01
dtype: float64","count    1955.000000
mean       25.457474
std        29.609232
min         0.021685
25%         4.120125
50%        14.503163
75%        32.043538
max       172.570773
Name: % error, dtype: float64",10
1,Lasso,False,DecisionTree,"Index(['min', 'polly_no_tiling', 'memory_based', 'value_based', 'max',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')","Lasso(alpha=0.05, max_iter=5)",Performance,0.1,"memory_based       9.722920e+00
polly_no_tiling    8.373136e+00
min                8.101921e+00
none               4.240002e+00
parallel           1.403033e+00
#yes               5.735792e-01
max                5.948333e-02
value_based        5.123286e-15
polly              3.071768e-15
dtype: float64","count    1955.000000
mean       27.903856
std        34.604199
min         0.007910
25%         6.623945
50%        14.721617
75%        28.018290
max       204.537293
Name: % error, dtype: float64",10
2,Ridge,False,DecisionTree,"Index(['min', 'polly_no_tiling', 'memory_based', 'value_based', 'max',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",Ridge(alpha=2),Performance,0.1,"polly_no_tiling           8.199190
value_based               4.814048
memory_based              4.814048
max                       4.144813
min                       4.144813
polly                     2.178428
none                      2.178428
parallel                  1.628491
#yes                      0.586731
pollydefaulttilesize_4    0.184640
dtype: float64","count    1955.000000
mean       27.861293
std        34.587684
min         0.002673
25%         6.517192
50%        15.291576
75%        27.774851
max       202.666790
Name: % error, dtype: float64",10
3,ElasticNet,False,DecisionTree,"Index(['min', 'polly_no_tiling', 'memory_based', 'value_based', 'max',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')","ElasticNet(alpha=0.01, l1_ratio=0.0)",Performance,0.1,"polly_no_tiling           8.122142
memory_based              4.802843
value_based               4.802843
min                       4.135843
max                       4.135843
polly                     2.173251
none                      2.173251
parallel                  1.596741
#yes                      0.598561
pollydefaulttilesize_4    0.179531
dtype: float64","count    1955.000000
mean       27.919549
std        34.755642
min         0.095822
25%         6.482745
50%        15.353619
75%        27.723917
max       203.638033
Name: % error, dtype: float64",10
4,PolynomialRegression,False,DecisionTree,"Index(['min', 'polly_no_tiling', 'memory_based', 'value_based', 'max',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"min                       1.386594e+12
max                       2.773187e+11
#yes                      1.340527e+01
parallel                  1.159515e+01
pollydefaulttilesize_4    3.391891e+00
polly_no_tiling           2.750290e+00
polly                     1.897186e+00
none                      1.896622e+00
value_based               6.478157e-01
memory_based              6.412125e-01
dtype: float64","count    1955.000000
mean        7.265677
std        10.519243
min         0.008605
25%         1.311656
50%         2.915673
75%         8.277537
max        74.254670
Name: % error, dtype: float64",10
5,RandomForest,False,DecisionTree,"Index(['min', 'polly_no_tiling', 'memory_based', 'value_based', 'max',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"max                       50.820536
min                        0.000256
polly_no_tiling                 NaN
memory_based                    NaN
value_based                     NaN
pollydefaulttilesize_4          NaN
none                            NaN
polly                           NaN
parallel                        NaN
#yes                            NaN
Name: % error, dtype: float64","count    1955.000000
mean        3.576985
std         6.949105
min         0.000256
25%         0.643253
50%         1.336703
75%         3.097232
max        50.820536
Name: % error, dtype: float64",10
6,GradientBoostingTree,False,DecisionTree,"Index(['min', 'polly_no_tiling', 'memory_based', 'value_based', 'max',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"max                       55.621110
min                        0.000266
polly_no_tiling                 NaN
memory_based                    NaN
value_based                     NaN
pollydefaulttilesize_4          NaN
none                            NaN
polly                           NaN
parallel                        NaN
#yes                            NaN
Name: % error, dtype: float64","count    1955.000000
mean        3.401805
std         6.609394
min         0.000266
25%         0.698289
50%         1.315804
75%         2.953968
max        55.621110
Name: % error, dtype: float64",10
7,DecisionTree,False,DecisionTree,"Index(['min', 'polly_no_tiling', 'memory_based', 'value_based', 'max',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"max                       5.137931e+01
min                       1.038355e-13
polly_no_tiling                    NaN
memory_based                       NaN
value_based                        NaN
pollydefaulttilesize_4             NaN
none                               NaN
polly                              NaN
parallel                           NaN
#yes                               NaN
Name: % error, dtype: float64","count    1.955000e+03
mean     3.212291e+00
std      6.369361e+00
min      1.038355e-13
25%      5.458733e-01
50%      1.254307e+00
75%      2.644886e+00
max      5.137931e+01
Name: % error, dtype: float64",10
8,LinearRegression,False,DecisionTree,"Index(['min', 'polly_no_tiling', 'memory_based', 'value_based', 'max',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"value_based               1.128596e+14
memory_based              1.128596e+14
min                       4.236446e+13
max                       4.236446e+13
polly                     3.768148e+12
none                      3.768148e+12
polly_no_tiling           8.054688e+00
parallel                  1.505859e+00
pollydefaulttilesize_4    1.386719e-01
#yes                      7.617188e-02
dtype: float64","count    1738.000000
mean       27.310381
std        32.053580
min         0.342051
25%         7.331306
50%        16.692418
75%        27.817516
max       193.372226
Name: % error, dtype: float64",10
9,Lasso,False,DecisionTree,"Index(['min', 'polly_no_tiling', 'memory_based', 'value_based', 'max',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')","Lasso(alpha=0.02, max_iter=100)",Performance,0.2,"memory_based       9.561576e+00
min                7.751392e+00
polly_no_tiling    7.746921e+00
none               3.954631e+00
parallel           1.241581e+00
#yes               1.486497e-01
max                2.582074e-03
value_based        1.318831e-16
dtype: float64","count    1738.000000
mean       27.842562
std        33.756271
min         0.063648
25%         7.280779
50%        16.234001
75%        27.650940
max       202.197241
Name: % error, dtype: float64",10
10,Ridge,False,DecisionTree,"Index(['min', 'polly_no_tiling', 'memory_based', 'value_based', 'max',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",Ridge(alpha=0.3),Performance,0.2,"polly_no_tiling           7.930611
memory_based              4.799947
value_based               4.799947
min                       3.931878
max                       3.931878
none                      2.020755
polly                     2.020755
parallel                  1.446261
pollydefaulttilesize_4    0.112030
#yes                      0.098857
dtype: float64","count    1738.000000
mean       27.597879
std        33.083383
min         0.083283
25%         7.191729
50%        16.445474
75%        27.638921
max       197.791582
Name: % error, dtype: float64",10
11,ElasticNet,False,DecisionTree,"Index(['min', 'polly_no_tiling', 'memory_based', 'value_based', 'max',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')","ElasticNet(alpha=0.02, l1_ratio=1.0, max_iter=100)",Performance,0.2,"memory_based       9.561576e+00
min                7.751392e+00
polly_no_tiling    7.746921e+00
none               3.954631e+00
parallel           1.241581e+00
#yes               1.486497e-01
max                2.582074e-03
value_based        1.318831e-16
dtype: float64","count    1738.000000
mean       27.842562
std        33.756271
min         0.063648
25%         7.280779
50%        16.234001
75%        27.650940
max       202.197241
Name: % error, dtype: float64",10
12,PolynomialRegression,False,DecisionTree,"Index(['min', 'polly_no_tiling', 'memory_based', 'value_based', 'max',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"min                       3.276230e+12
max                       6.552460e+11
polly_no_tiling           8.677948e+00
pollydefaulttilesize_4    7.537964e+00
#yes                      7.376160e+00
parallel                  5.821625e+00
memory_based              2.815521e+00
value_based               2.805786e+00
none                      1.284607e+00
polly                     1.279572e+00
dtype: float64","count    1738.000000
mean        6.750127
std        10.496711
min         0.007724
25%         1.624800
50%         2.973391
75%         7.482738
max        75.237678
Name: % error, dtype: float64",10
13,RandomForest,False,DecisionTree,"Index(['min', 'polly_no_tiling', 'memory_based', 'value_based', 'max',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.2,"max                       53.378218
min                        0.000242
polly_no_tiling                 NaN
memory_based                    NaN
value_based                     NaN
pollydefaulttilesize_4          NaN
none                            NaN
polly                           NaN
parallel                        NaN
#yes                            NaN
Name: % error, dtype: float64","count    1738.000000
mean        3.149739
std         6.543163
min         0.000242
25%         0.661520
50%         1.277781
75%         2.370753
max        53.378218
Name: % error, dtype: float64",10
14,GradientBoostingTree,False,DecisionTree,"Index(['min', 'polly_no_tiling', 'memory_based', 'value_based', 'max',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.2,"max                       57.514371
min                        0.000916
polly_no_tiling                 NaN
memory_based                    NaN
value_based                     NaN
pollydefaulttilesize_4          NaN
none                            NaN
polly                           NaN
parallel                        NaN
#yes                            NaN
Name: % error, dtype: float64","count    1738.000000
mean        3.188889
std         6.738917
min         0.000916
25%         0.801661
50%         1.316339
75%         2.809059
max        57.514371
Name: % error, dtype: float64",10
15,DecisionTree,False,DecisionTree,"Index(['min', 'polly_no_tiling', 'memory_based', 'value_based', 'max',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.2,"max                       5.319816e+01
min                       3.905512e-14
polly_no_tiling                    NaN
memory_based                       NaN
value_based                        NaN
pollydefaulttilesize_4             NaN
none                               NaN
polly                              NaN
parallel                           NaN
#yes                               NaN
Name: % error, dtype: float64","count    1.738000e+03
mean     3.178911e+00
std      6.622883e+00
min      3.905512e-14
25%      6.664045e-01
50%      1.265065e+00
75%      2.451842e+00
max      5.319816e+01
Name: % error, dtype: float64",10
16,LinearRegression,False,DecisionTree,"Index(['min', 'polly_no_tiling', 'memory_based', 'value_based', 'max',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.3,"value_based               6.304872e+14
memory_based              6.304872e+14
max                       1.802227e+14
min                       1.802227e+14
polly                     1.589878e+14
none                      1.589878e+14
polly_no_tiling           7.140625e+00
parallel                  1.140625e+00
pollydefaulttilesize_4    7.260742e-01
#yes                      1.562500e-02
dtype: float64","count    1521.000000
mean       29.580405
std        39.452174
min         0.022414
25%         7.736707
50%        14.275917
75%        26.146789
max       224.712644
Name: % error, dtype: float64",10
17,Lasso,False,DecisionTree,"Index(['min', 'polly_no_tiling', 'memory_based', 'value_based', 'max',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')","Lasso(alpha=0.05, max_iter=5)",Performance,0.3,"memory_based              9.080150
min                       7.246649
polly_no_tiling           6.621909
none                      3.780623
pollydefaulttilesize_4    0.451657
parallel                  0.426065
#yes                      0.204907
max                       0.007795
dtype: float64","count    1521.000000
mean       29.184526
std        37.837562
min         0.039639
25%         6.594301
50%        14.993007
75%        26.337443
max       222.265934
Name: % error, dtype: float64",10
18,Ridge,False,DecisionTree,"Index(['min', 'polly_no_tiling', 'memory_based', 'value_based', 'max',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",Ridge(alpha=4),Performance,0.3,"polly_no_tiling           6.804820
memory_based              4.539941
value_based               4.539941
max                       3.727213
min                       3.727213
polly                     1.983706
none                      1.983706
parallel                  0.886315
pollydefaulttilesize_4    0.787542
#yes                      0.118941
dtype: float64","count    1521.000000
mean       28.759292
std        36.737077
min         0.361008
25%         6.631547
50%        14.883170
75%        26.453350
max       214.434351
Name: % error, dtype: float64",10
19,ElasticNet,False,DecisionTree,"Index(['min', 'polly_no_tiling', 'memory_based', 'value_based', 'max',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')","ElasticNet(alpha=0.01, l1_ratio=0.0, max_iter=10)",Performance,0.3,"memory_based              6.621635
polly_no_tiling           6.565118
min                       5.803651
none                      2.858876
value_based               2.463617
max                       1.670635
polly                     1.096432
pollydefaulttilesize_4    0.772917
parallel                  0.771809
#yes                      0.176508
dtype: float64","count    1521.000000
mean       28.824072
std        36.877513
min         0.265286
25%         6.624134
50%        15.271236
75%        26.413852
max       215.840664
Name: % error, dtype: float64",10
20,PolynomialRegression,False,DecisionTree,"Index(['min', 'polly_no_tiling', 'memory_based', 'value_based', 'max',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.3,"min                       7.222045e+12
max                       1.444409e+12
polly_no_tiling           7.269470e+00
#yes                      4.813110e+00
pollydefaulttilesize_4    3.780838e+00
memory_based              3.734039e+00
value_based               3.722900e+00
parallel                  2.158752e+00
polly                     1.584473e+00
none                      1.572937e+00
dtype: float64","count    1521.000000
mean        7.017515
std        11.332560
min         0.009884
25%         1.424229
50%         2.973983
75%         6.547238
max        86.238015
Name: % error, dtype: float64",10
21,RandomForest,False,DecisionTree,"Index(['min', 'polly_no_tiling', 'memory_based', 'value_based', 'max',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.3,"max                       55.271716
min                        0.002616
polly_no_tiling                 NaN
memory_based                    NaN
value_based                     NaN
pollydefaulttilesize_4          NaN
none                            NaN
polly                           NaN
parallel                        NaN
#yes                            NaN
Name: % error, dtype: float64","count    1521.000000
mean        3.181423
std         6.693257
min         0.002616
25%         0.661701
50%         1.307796
75%         2.569907
max        55.271716
Name: % error, dtype: float64",10
