,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['compression', 'encryption', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'compressionZpaq'],
      dtype='object')",LinearRegression(),Performance,0.1,"compressionZpaq                  3.480721e+06
encryption                       2.694730e+05
compression                      1.288461e+05
#yes                             9.931327e+04
disableCompressibilityTesting    6.053609e+04
unlimitedWindowSize              2.699628e+04
dtype: float64","count    225.000000
mean     219.513469
std      191.102921
min        1.353655
25%       65.344027
50%      127.642108
75%      376.982247
max      716.300660
Name: % error, dtype: float64",6
1,Lasso,False,DecisionTree,"Index(['compression', 'encryption', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'compressionZpaq'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.1,"compressionZpaq                  3.476406e+06
encryption                       3.607281e+05
disableCompressibilityTesting    1.613901e+05
unlimitedWindowSize              1.232571e+05
compression                      6.430739e+04
#yes                             3.517761e+03
dtype: float64","count    225.000000
mean     217.869569
std      191.688706
min        0.827574
25%       65.842195
50%      126.809352
75%      377.369095
max      717.017528
Name: % error, dtype: float64",6
2,Ridge,False,DecisionTree,"Index(['compression', 'encryption', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'compressionZpaq'],
      dtype='object')",Ridge(alpha=0.8),Performance,0.1,"compressionZpaq                  2.660773e+06
disableCompressibilityTesting    1.762922e+05
#yes                             1.423222e+05
encryption                       5.114967e+04
compression                      4.364417e+04
unlimitedWindowSize              2.168676e+03
dtype: float64","count     225.000000
mean      222.116463
std       237.494908
min         0.193210
25%        53.512993
50%       108.188635
75%       342.945931
max      1011.270391
Name: % error, dtype: float64",6
3,ElasticNet,False,DecisionTree,"Index(['compression', 'encryption', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'compressionZpaq'],
      dtype='object')","ElasticNet(alpha=0.1, max_iter=100)",Performance,0.1,"compressionZpaq                  2.358838e+06
disableCompressibilityTesting    2.074091e+05
#yes                             1.573415e+05
encryption                       1.470264e+04
compression                      1.399827e+04
unlimitedWindowSize              7.364393e+03
dtype: float64","count     225.000000
mean      247.636165
std       271.397702
min         1.229137
25%        53.782533
50%       154.547763
75%       325.824117
max      1131.408790
Name: % error, dtype: float64",6
4,PolynomialRegression,False,DecisionTree,"Index(['compression', 'encryption', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'compressionZpaq'],
      dtype='object')",LinearRegression(),Performance,0.1,"compressionZpaq                  352434.170038
encryption                        51748.774721
#yes                              36816.382656
unlimitedWindowSize               26440.741326
compression                       22562.419733
disableCompressibilityTesting      3751.706075
dtype: float64","count    225.000000
mean     102.587245
std      125.662377
min        0.362737
25%       19.892017
50%       64.371085
75%      130.367404
max      744.945483
Name: % error, dtype: float64",6
5,RandomForest,False,DecisionTree,"Index(['compression', 'encryption', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'compressionZpaq'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"compression                     NaN
encryption                      NaN
disableCompressibilityTesting   NaN
#yes                            NaN
unlimitedWindowSize             NaN
compressionZpaq                 NaN
Name: % error, dtype: float64","count    225.000000
mean      89.687266
std      118.481067
min        0.288629
25%       15.294508
50%       39.633814
75%      114.601404
max      617.334032
Name: % error, dtype: float64",6
6,GradientBoostingTree,False,DecisionTree,"Index(['compression', 'encryption', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'compressionZpaq'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"compression                     NaN
encryption                      NaN
disableCompressibilityTesting   NaN
#yes                            NaN
unlimitedWindowSize             NaN
compressionZpaq                 NaN
Name: % error, dtype: float64","count    225.000000
mean      88.483074
std      124.987614
min        0.341809
25%       11.504053
50%       39.825594
75%       83.730361
max      744.914799
Name: % error, dtype: float64",6
7,DecisionTree,False,DecisionTree,"Index(['compression', 'encryption', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'compressionZpaq'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"compression                     NaN
encryption                      NaN
disableCompressibilityTesting   NaN
#yes                            NaN
unlimitedWindowSize             NaN
compressionZpaq                 NaN
Name: % error, dtype: float64","count    225.000000
mean      86.691988
std      122.728315
min        0.049769
25%        8.291342
50%       37.983446
75%       84.241837
max      744.945483
Name: % error, dtype: float64",6
8,LinearRegression,False,DecisionTree,"Index(['compression', 'encryption', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'compressionZpaq'],
      dtype='object')",LinearRegression(),Performance,0.2,"compressionZpaq                  2.092446e+06
unlimitedWindowSize              1.366966e+05
encryption                       1.221584e+05
disableCompressibilityTesting    9.957412e+04
#yes                             8.962443e+04
compression                      2.294259e+03
dtype: float64","count    200.000000
mean     141.684948
std      162.834132
min        1.091219
25%       25.865229
50%       69.914091
75%      222.568787
max      704.284014
Name: % error, dtype: float64",6
9,Lasso,False,DecisionTree,"Index(['compression', 'encryption', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'compressionZpaq'],
      dtype='object')","Lasso(alpha=25, max_iter=100)",Performance,0.2,"compressionZpaq                  2.092182e+06
encryption                       2.352455e+05
compression                      2.287553e+05
disableCompressibilityTesting    2.127835e+05
#yes                             2.357425e+04
unlimitedWindowSize              2.336874e+04
dtype: float64","count    200.000000
mean     141.671899
std      162.838493
min        1.126496
25%       25.988233
50%       69.884689
75%      222.544233
max      704.216808
Name: % error, dtype: float64",6
10,Ridge,False,DecisionTree,"Index(['compression', 'encryption', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'compressionZpaq'],
      dtype='object')",Ridge(alpha=2),Performance,0.2,"compressionZpaq                  1.529860e+06
disableCompressibilityTesting    1.213814e+05
#yes                             1.210371e+05
unlimitedWindowSize              1.054567e+05
compression                      7.247959e+04
encryption                       3.984686e+04
dtype: float64","count    200.000000
mean     200.301663
std      210.605417
min        1.288868
25%       42.172415
50%      124.865611
75%      302.459432
max      865.526739
Name: % error, dtype: float64",6
11,ElasticNet,False,DecisionTree,"Index(['compression', 'encryption', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'compressionZpaq'],
      dtype='object')","ElasticNet(alpha=0.1, max_iter=5)",Performance,0.2,"compressionZpaq                  1.438243e+06
compression                      1.725916e+05
disableCompressibilityTesting    1.721236e+05
#yes                             7.944780e+04
unlimitedWindowSize              6.168243e+04
encryption                       1.031331e+04
dtype: float64","count    200.000000
mean     212.069789
std      221.826237
min        2.328300
25%       45.659898
50%      136.396366
75%      305.962021
max      930.688683
Name: % error, dtype: float64",6
12,PolynomialRegression,False,DecisionTree,"Index(['compression', 'encryption', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'compressionZpaq'],
      dtype='object')",LinearRegression(),Performance,0.2,"compressionZpaq                  230893.922510
encryption                        91728.195563
disableCompressibilityTesting     61350.780170
unlimitedWindowSize               41050.299333
compression                        8098.317762
#yes                               5523.751585
dtype: float64","count    200.000000
mean     110.328108
std      127.246978
min        0.571769
25%       38.834472
50%       68.154761
75%      114.143762
max      605.367389
Name: % error, dtype: float64",6
