,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level2'],
      dtype='object')",LinearRegression(),Performance,0.1,"compressionZpaq     2.180205e+06
compressionLrzip    3.838817e+05
level8              3.273694e+05
level1              9.450861e+04
level9              5.460128e+04
dtype: float64","count    161.000000
mean      98.449474
std      122.246860
min        0.097278
25%       42.152150
50%       70.233890
75%       98.575144
max      824.960292
Name: % error, dtype: float64",6
1,Lasso,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level2'],
      dtype='object')","Lasso(alpha=0.01, max_iter=100)",Performance,0.1,"compressionZpaq     2.180205e+06
compressionLrzip    3.838816e+05
level8              3.273695e+05
level1              9.450854e+04
level9              5.460124e+04
dtype: float64","count    161.000000
mean      98.449466
std      122.246870
min        0.097282
25%       42.152156
50%       70.233860
75%       98.575187
max      824.960370
Name: % error, dtype: float64",6
2,Ridge,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level2'],
      dtype='object')",Ridge(alpha=25),Performance,0.1,"compressionZpaq     74789.041715
level9              30181.485900
compressionLrzip    24280.757130
level1              22535.553690
level8              20109.607855
dtype: float64","count    161.000000
mean     231.993172
std      225.139979
min        2.682485
25%       46.254961
50%       90.353158
75%      473.584600
max      795.049147
Name: % error, dtype: float64",6
3,ElasticNet,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level2'],
      dtype='object')","ElasticNet(alpha=25, l1_ratio=0.0, max_iter=5)",Performance,0.1,"compressionZpaq     4568.458309
level9              2086.520469
compressionLrzip    1594.525778
level1              1409.730857
level8              1332.416753
dtype: float64","count    161.000000
mean     234.934042
std      226.385951
min        1.055979
25%       50.536576
50%       85.216050
75%      476.882905
max      790.650548
Name: % error, dtype: float64",6
4,PolynomialRegression,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level2'],
      dtype='object')",LinearRegression(),Performance,0.1,"compressionZpaq     1.070131e+06
compressionLrzip    7.211100e+04
level8              4.028400e+04
level1              2.515650e+04
level9              7.329000e+03
level2              4.656613e-10
dtype: float64","count    161.000000
mean      83.261686
std       77.144342
min        0.020057
25%       21.913909
50%       57.076605
75%      145.219529
max      272.639445
Name: % error, dtype: float64",6
5,RandomForest,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level2'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"compressionZpaq    NaN
level8             NaN
level9             NaN
level1             NaN
compressionLrzip   NaN
level2             NaN
Name: % error, dtype: float64","count    161.000000
mean      85.147812
std       75.880419
min        2.330908
25%       25.726200
50%       55.375832
75%      144.233080
max      423.058795
Name: % error, dtype: float64",6
6,GradientBoostingTree,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level2'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"compressionZpaq    NaN
level8             NaN
level9             NaN
level1             NaN
compressionLrzip   NaN
level2             NaN
Name: % error, dtype: float64","count    161.000000
mean      83.515192
std       77.514636
min        0.023056
25%       21.949923
50%       57.041747
75%      145.291969
max      272.749526
Name: % error, dtype: float64",6
7,DecisionTree,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level2'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"compressionZpaq    NaN
level8             NaN
level9             NaN
level1             NaN
compressionLrzip   NaN
level2             NaN
Name: % error, dtype: float64","count    161.000000
mean      83.549773
std       77.679835
min        0.020057
25%       21.913909
50%       57.076605
75%      145.219529
max      272.639445
Name: % error, dtype: float64",6
8,LinearRegression,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level2'],
      dtype='object')",LinearRegression(),Performance,0.2,"compressionZpaq     3.778141e+06
level2              1.654399e+06
level8              6.497238e+05
compressionLrzip    5.878285e+05
level9              5.036755e+05
level1              4.127606e+04
dtype: float64","count     143.000000
mean      408.129351
std       744.062370
min         1.361298
25%       115.757587
50%       165.542332
75%       259.668228
max      4201.172636
Name: % error, dtype: float64",6
9,Lasso,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level2'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.2,"compressionZpaq     3.776408e+06
level2              1.652871e+06
level8              6.503625e+05
compressionLrzip    5.871048e+05
level9              5.037692e+05
level1              4.143090e+04
dtype: float64","count     143.000000
mean      407.854969
std       743.431204
min         1.356818
25%       115.621108
50%       165.421999
75%       259.375086
max      4197.223313
Name: % error, dtype: float64",6
10,Ridge,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level2'],
      dtype='object')",Ridge(alpha=10),Performance,0.2,"compressionZpaq     866539.628281
level8              276273.141713
level9              174015.528525
level1              127565.325553
level2               69884.743054
compressionLrzip     20553.350073
dtype: float64","count     143.000000
mean      341.717664
std       345.604016
min         8.643224
25%        65.191817
50%       176.349557
75%       631.573665
max      1272.087039
Name: % error, dtype: float64",6
11,ElasticNet,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level2'],
      dtype='object')","ElasticNet(alpha=0.3, l1_ratio=0.0, max_iter=100)",Performance,0.2,"compressionZpaq     835799.579371
level8              267690.438172
level9              168611.930547
level1              125910.598550
level2               65365.314003
compressionLrzip     22327.676533
dtype: float64","count     143.000000
mean      346.267968
std       348.404746
min         9.581552
25%        65.317740
50%       175.169438
75%       640.489026
max      1266.227701
Name: % error, dtype: float64",6
12,PolynomialRegression,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level2'],
      dtype='object')",LinearRegression(),Performance,0.2,"compressionZpaq     1.071067e+06
level2              3.418710e+05
compressionLrzip    9.937450e+04
level8              2.021467e+04
level1              1.823300e+04
level9              8.265000e+03
dtype: float64","count     143.000000
mean      144.322336
std       252.390252
min         0.033941
25%        12.955891
50%        54.100106
75%       167.027222
max      1394.726109
Name: % error, dtype: float64",6
13,RandomForest,False,DecisionTree,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level2'],
      dtype='object')",RandomForestRegressor(),Performance,0.2,"compressionZpaq    NaN
level8             NaN
level9             NaN
level1             NaN
compressionLrzip   NaN
level2             NaN
Name: % error, dtype: float64","count    143.000000
mean      89.442821
std       81.077800
min        1.819156
25%       25.533571
50%       54.488844
75%      145.777178
max      288.896767
Name: % error, dtype: float64",6
