,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['compression', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'encryption', 'compressionLzo'],
      dtype='object')",LinearRegression(),Performance,0.1,"disableCompressibilityTesting    754826.246024
compressionLzo                   742838.567538
compression                      406325.373747
unlimitedWindowSize              216097.613453
#yes                             179225.309641
encryption                        94696.805283
dtype: float64","count     225.000000
mean      401.219477
std       393.851871
min         2.095449
25%        87.646557
50%       238.806825
75%       668.922076
max      1575.919886
Name: % error, dtype: float64",6
1,Lasso,False,DecisionTree,"Index(['compression', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'encryption', 'compressionLzo'],
      dtype='object')","Lasso(alpha=25, max_iter=10)",Performance,0.1,"compressionLzo                   742713.700533
disableCompressibilityTesting    670160.422429
compression                      575240.425330
unlimitedWindowSize              300617.139589
#yes                              94627.234096
encryption                         9960.936366
dtype: float64","count     225.000000
mean      401.192410
std       393.808099
min         2.323319
25%        87.693078
50%       238.753728
75%       668.528006
max      1575.686177
Name: % error, dtype: float64",6
2,Ridge,False,DecisionTree,"Index(['compression', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'encryption', 'compressionLzo'],
      dtype='object')",Ridge(alpha=10),Performance,0.1,"disableCompressibilityTesting    297623.979816
compressionLzo                   259450.633495
unlimitedWindowSize              189583.100174
#yes                             108343.614766
compression                       97643.609168
encryption                        21097.276072
dtype: float64","count     225.000000
mean      388.259851
std       353.414851
min         0.058607
25%        87.774815
50%       257.598733
75%       623.947047
max      1272.135344
Name: % error, dtype: float64",6
3,ElasticNet,False,DecisionTree,"Index(['compression', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'encryption', 'compressionLzo'],
      dtype='object')","ElasticNet(alpha=0.5, l1_ratio=0.1, max_iter=1)",Performance,0.1,"disableCompressibilityTesting    277582.907126
compressionLzo                   240701.431729
unlimitedWindowSize              202825.517832
#yes                             131899.813737
compression                      120405.142549
encryption                         9189.137006
dtype: float64","count     225.000000
mean      367.495265
std       338.537141
min         0.187888
25%        93.141727
50%       230.712000
75%       590.810667
max      1213.672825
Name: % error, dtype: float64",6
4,PolynomialRegression,False,DecisionTree,"Index(['compression', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'encryption', 'compressionLzo'],
      dtype='object')",LinearRegression(),Performance,0.1,"#yes                             545606.070856
disableCompressibilityTesting    466499.619500
encryption                       157758.017870
unlimitedWindowSize               41526.303218
compression                       18562.631648
compressionLzo                    12501.193656
dtype: float64","count     225.000000
mean      395.514560
std       566.429078
min         0.290933
25%        78.989599
50%       119.898204
75%       518.063299
max      2383.784426
Name: % error, dtype: float64",6
5,RandomForest,False,DecisionTree,"Index(['compression', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'encryption', 'compressionLzo'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"compression                     NaN
disableCompressibilityTesting   NaN
#yes                            NaN
unlimitedWindowSize             NaN
encryption                      NaN
compressionLzo                  NaN
Name: % error, dtype: float64","count     225.000000
mean      295.272780
std       411.399161
min         0.555286
25%        53.639293
50%       109.558424
75%       415.331682
max      2430.978512
Name: % error, dtype: float64",6
6,GradientBoostingTree,False,DecisionTree,"Index(['compression', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'encryption', 'compressionLzo'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"compression                     NaN
disableCompressibilityTesting   NaN
#yes                            NaN
unlimitedWindowSize             NaN
encryption                      NaN
compressionLzo                  NaN
Name: % error, dtype: float64","count     225.000000
mean      169.841414
std       397.804669
min         0.076064
25%        12.159256
50%        40.918166
75%        93.903471
max      2576.556323
Name: % error, dtype: float64",6
7,DecisionTree,False,DecisionTree,"Index(['compression', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'encryption', 'compressionLzo'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"compression                     NaN
disableCompressibilityTesting   NaN
#yes                            NaN
unlimitedWindowSize             NaN
encryption                      NaN
compressionLzo                  NaN
Name: % error, dtype: float64","count     225.000000
mean      161.682186
std       399.340147
min         0.178147
25%         6.443914
50%        32.391492
75%        85.618807
max      2577.386935
Name: % error, dtype: float64",6
8,LinearRegression,False,DecisionTree,"Index(['compression', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'encryption', 'compressionLzo'],
      dtype='object')",LinearRegression(),Performance,0.2,"compressionLzo                   798560.099722
disableCompressibilityTesting    778243.208173
compression                      415232.894636
encryption                       140120.741209
#yes                             113720.302182
unlimitedWindowSize               78623.020126
dtype: float64","count     200.000000
mean      451.360268
std       380.016011
min         1.602690
25%        91.911591
50%       373.860323
75%       766.118194
max      1427.091919
Name: % error, dtype: float64",6
9,Lasso,False,DecisionTree,"Index(['compression', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'encryption', 'compressionLzo'],
      dtype='object')","Lasso(alpha=25, max_iter=100)",Performance,0.2,"compressionLzo                   798430.068759
disableCompressibilityTesting    686149.959676
compression                      599088.104921
encryption                       232021.399320
#yes                              21742.204336
unlimitedWindowSize               13258.731920
dtype: float64","count     200.000000
mean      451.311723
std       379.978377
min         1.637014
25%        91.922407
50%       373.817385
75%       765.915473
max      1426.872494
Name: % error, dtype: float64",6
10,Ridge,False,DecisionTree,"Index(['compression', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'encryption', 'compressionLzo'],
      dtype='object')",Ridge(alpha=4),Performance,0.2,"disableCompressibilityTesting    588843.210289
compressionLzo                   533554.168891
compression                      264919.441661
encryption                       167274.617744
#yes                              86659.450869
unlimitedWindowSize               21610.839908
dtype: float64","count     200.000000
mean      385.033587
std       362.564957
min         4.481792
25%        84.656076
50%       256.848729
75%       605.142065
max      1322.695895
Name: % error, dtype: float64",6
11,ElasticNet,False,DecisionTree,"Index(['compression', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'encryption', 'compressionLzo'],
      dtype='object')","ElasticNet(alpha=0.3, max_iter=1)",Performance,0.2,"disableCompressibilityTesting    454446.138297
compressionLzo                   421412.702675
compression                      274765.509142
encryption                       188146.200008
#yes                              71621.041895
unlimitedWindowSize                9941.941604
dtype: float64","count     200.000000
mean      345.900118
std       325.738959
min         1.494023
25%        80.018181
50%       205.122630
75%       606.047731
max      1196.827573
Name: % error, dtype: float64",6
12,PolynomialRegression,False,DecisionTree,"Index(['compression', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'encryption', 'compressionLzo'],
      dtype='object')",LinearRegression(),Performance,0.2,"#yes                             272158.390468
disableCompressibilityTesting    205713.633928
compressionLzo                   180167.369932
encryption                        89007.629236
unlimitedWindowSize               36339.127531
compression                        6888.127417
dtype: float64","count     200.000000
mean      309.860783
std       339.371748
min         1.330958
25%        89.716608
50%       200.552122
75%       367.108788
max      1881.589564
Name: % error, dtype: float64",6
13,RandomForest,False,DecisionTree,"Index(['compression', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'encryption', 'compressionLzo'],
      dtype='object')",RandomForestRegressor(),Performance,0.2,"compression                     NaN
disableCompressibilityTesting   NaN
#yes                            NaN
unlimitedWindowSize             NaN
encryption                      NaN
compressionLzo                  NaN
Name: % error, dtype: float64","count     200.000000
mean      205.488043
std       335.669550
min         0.021647
25%        23.137228
50%        85.963234
75%       210.513435
max      1937.154984
Name: % error, dtype: float64",6
14,GradientBoostingTree,False,DecisionTree,"Index(['compression', 'disableCompressibilityTesting', '#yes',
       'unlimitedWindowSize', 'encryption', 'compressionLzo'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.2,"compression                     NaN
disableCompressibilityTesting   NaN
#yes                            NaN
unlimitedWindowSize             NaN
encryption                      NaN
compressionLzo                  NaN
Name: % error, dtype: float64","count     200.000000
mean      183.176704
std       376.749996
min         0.026923
25%         9.290135
50%        42.588499
75%       108.695355
max      2267.531286
Name: % error, dtype: float64",6
