,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"compressionZpaq                  2.876016e+06
compressionBzip2                 9.374560e+05
level9                           8.965184e+05
disableCompressibilityTesting    8.790862e+05
compressionLzo                   8.534511e+05
level1                           8.011385e+05
level4                           5.641970e+05
compression                      4.814643e+05
compressionGzip                  3.864327e+05
level7                           3.739908e+05
level6                           2.341494e+05
compressionLrzip                 2.172114e+05
level3                           1.654924e+05
#yes                             1.044784e+05
level5                           1.035315e+05
unlimitedWindowSize              6.105739e+04
encryption                       4.042135e+04
level2                           1.052426e+04
level                            1.164153e-10
level8                           3.308722e-24
dtype: float64","count     225.000000
mean      617.288307
std       685.724654
min         2.680189
25%       112.761476
50%       366.860046
75%       891.427116
max      3365.301194
Name: % error, dtype: float64",22
1,Lasso,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')","Lasso(alpha=25, max_iter=1)",Performance,0.1,"compressionZpaq                  3.288769e+06
level1                           1.187223e+06
compressionLzo                   1.143131e+06
compressionGzip                  7.219443e+05
compressionLrzip                 6.783161e+05
compression                      6.253619e+05
compressionBzip2                 5.036313e+05
disableCompressibilityTesting    4.921135e+05
level7                           4.751215e+05
level3                           2.722784e+05
encryption                       2.606038e+05
level9                           2.563027e+05
level5                           2.238233e+05
level2                           1.949040e+05
level4                           1.105271e+05
level6                           6.012167e+04
#yes                             4.367281e+04
unlimitedWindowSize              1.621449e+04
dtype: float64","count     225.000000
mean      491.505985
std       582.689111
min         0.189856
25%        97.079698
50%       293.276914
75%       626.984474
max      3169.517597
Name: % error, dtype: float64",22
2,Ridge,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",Ridge(alpha=4),Performance,0.1,"compressionZpaq                  1.246797e+06
level9                           7.309777e+05
disableCompressibilityTesting    4.936468e+05
compressionLzo                   4.009150e+05
compressionBzip2                 3.471146e+05
level1                           2.766569e+05
compression                      2.134342e+05
unlimitedWindowSize              1.915051e+05
compressionGzip                  1.574758e+05
level6                           1.546410e+05
compressionLrzip                 1.278578e+05
#yes                             9.899977e+04
level3                           9.819153e+04
level7                           8.512154e+04
level2                           5.808660e+04
level5                           5.009429e+04
encryption                       2.572682e+04
level4                           8.185869e+03
dtype: float64","count     225.000000
mean      326.701045
std       432.818873
min         2.705254
25%        55.349940
50%       140.411648
75%       433.058992
max      2517.910903
Name: % error, dtype: float64",22
3,ElasticNet,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')","ElasticNet(alpha=0.3, l1_ratio=0.0, max_iter=100)",Performance,0.1,"compressionZpaq                  860540.509489
level9                           562806.734515
disableCompressibilityTesting    361563.207562
compressionLzo                   297369.014183
compressionBzip2                 205594.471322
level1                           175745.426932
unlimitedWindowSize              173448.244620
compression                      139745.908344
compressionGzip                  115427.556792
level6                           106269.076941
compressionLrzip                 102403.558848
#yes                              93120.192880
level5                            71892.828389
level3                            71201.490686
level2                            63019.981647
level7                            51478.714064
level4                            23199.215856
encryption                         1743.339135
dtype: float64","count     225.000000
mean      293.397115
std       385.122935
min         0.269972
25%        45.146302
50%       150.798513
75%       350.656702
max      2178.177042
Name: % error, dtype: float64",22
4,RandomForest,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"root                            NaN
encryption                      NaN
compression                     NaN
compressionBzip2                NaN
compressionGzip                 NaN
compressionLzo                  NaN
compressionZpaq                 NaN
compressionLrzip                NaN
level                           NaN
level1                          NaN
level2                          NaN
level3                          NaN
level4                          NaN
level5                          NaN
level6                          NaN
level7                          NaN
level8                          NaN
level9                          NaN
unlimitedWindowSize             NaN
disableCompressibilityTesting   NaN
#yes                            NaN
Name: % error, dtype: float64","count    225.000000
mean      33.715072
std       56.318454
min        0.003248
25%        8.963645
50%       19.910588
75%       36.885015
max      402.998003
Name: % error, dtype: float64",22
5,GradientBoostingTree,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"root                            NaN
encryption                      NaN
compression                     NaN
compressionBzip2                NaN
compressionGzip                 NaN
compressionLzo                  NaN
compressionZpaq                 NaN
compressionLrzip                NaN
level                           NaN
level1                          NaN
level2                          NaN
level3                          NaN
level4                          NaN
level5                          NaN
level6                          NaN
level7                          NaN
level8                          NaN
level9                          NaN
unlimitedWindowSize             NaN
disableCompressibilityTesting   NaN
#yes                            NaN
Name: % error, dtype: float64","count    225.000000
mean      20.485612
std       22.572313
min        0.014202
25%        3.998758
50%       10.705514
75%       35.392081
max       88.745465
Name: % error, dtype: float64",22
6,DecisionTree,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"root                            NaN
encryption                      NaN
compression                     NaN
compressionBzip2                NaN
compressionGzip                 NaN
compressionLzo                  NaN
compressionZpaq                 NaN
compressionLrzip                NaN
level                           NaN
level1                          NaN
level2                          NaN
level3                          NaN
level4                          NaN
level5                          NaN
level6                          NaN
level7                          NaN
level8                          NaN
level9                          NaN
unlimitedWindowSize             NaN
disableCompressibilityTesting   NaN
#yes                            NaN
Name: % error, dtype: float64","count    225.000000
mean      24.517646
std       40.289240
min        0.005679
25%        2.071713
50%        7.568879
75%       27.540771
max      156.079107
Name: % error, dtype: float64",22
7,LinearRegression,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"compressionZpaq                  2.613205e+06
compressionLzo                   7.944628e+05
level9                           7.444421e+05
compressionGzip                  6.726166e+05
level1                           6.341737e+05
compressionBzip2                 5.349279e+05
disableCompressibilityTesting    5.337778e+05
compression                      3.468358e+05
level7                           2.915403e+05
compressionLrzip                 2.643622e+05
level6                           2.219558e+05
level4                           1.857343e+05
level5                           1.557396e+05
#yes                             1.329626e+05
level3                           1.118168e+05
encryption                       1.062948e+05
level8                           7.939405e+04
unlimitedWindowSize              7.936369e+04
level2                           2.933105e+04
level                            2.619345e-10
dtype: float64","count     200.000000
mean      434.058656
std       490.772908
min         1.222745
25%        76.526698
50%       255.863220
75%       583.192317
max      2347.452201
Name: % error, dtype: float64",22
8,Lasso,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.2,"compressionZpaq                  2.491724e+06
level1                           9.433671e+05
compressionLzo                   9.144290e+05
compression                      8.165150e+05
compressionGzip                  7.940446e+05
compressionBzip2                 6.568458e+05
level7                           5.941205e+05
level6                           5.415577e+05
level9                           4.264858e+05
level8                           3.918988e+05
compressionLrzip                 3.897696e+05
disableCompressibilityTesting    3.626018e+05
level2                           2.817494e+05
unlimitedWindowSize              2.475606e+05
level3                           2.037000e+05
level5                           1.623722e+05
level4                           1.215343e+05
encryption                       7.208554e+04
#yes                             3.986867e+04
dtype: float64","count     200.000000
mean      432.160261
std       488.120931
min         1.174254
25%        78.460157
50%       253.410571
75%       576.580792
max      2341.167560
Name: % error, dtype: float64",22
9,Ridge,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",Ridge(alpha=4),Performance,0.2,"compressionZpaq                  1.546954e+06
level9                           6.476727e+05
compressionLzo                   5.333183e+05
disableCompressibilityTesting    4.359390e+05
compressionGzip                  3.405301e+05
level1                           3.378303e+05
compressionBzip2                 2.870521e+05
compression                      2.490480e+05
compressionLrzip                 1.370051e+05
#yes                             1.024745e+05
level6                           7.143001e+04
level7                           6.102927e+04
level5                           5.783999e+04
level2                           5.727352e+04
level3                           5.396097e+04
level8                           3.419827e+04
unlimitedWindowSize              3.186053e+04
level4                           2.588964e+04
encryption                       8.457050e+03
dtype: float64","count     200.000000
mean      270.972042
std       352.606533
min         0.443739
25%        49.541019
50%       164.927862
75%       349.785674
max      2074.747721
Name: % error, dtype: float64",22
10,ElasticNet,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')","ElasticNet(alpha=0.3, max_iter=100)",Performance,0.2,"compressionZpaq                  1.159566e+06
level9                           5.544556e+05
compressionLzo                   4.161883e+05
disableCompressibilityTesting    3.795541e+05
compressionGzip                  2.417590e+05
level1                           2.365860e+05
compressionBzip2                 2.029568e+05
compression                      1.953427e+05
compressionLrzip                 1.033152e+05
level5                           9.270156e+04
#yes                             8.691526e+04
level2                           6.350818e+04
level3                           5.622664e+04
encryption                       5.109078e+04
level7                           3.849386e+04
level6                           3.769766e+04
level8                           2.538485e+04
unlimitedWindowSize              2.469130e+04
level4                           3.849866e+03
dtype: float64","count     200.000000
mean      244.096198
std       329.155011
min         0.811091
25%        39.313265
50%       112.054335
75%       329.996081
max      1919.988882
Name: % error, dtype: float64",22
11,RandomForest,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.2,"root                            NaN
encryption                      NaN
compression                     NaN
compressionBzip2                NaN
compressionGzip                 NaN
compressionLzo                  NaN
compressionZpaq                 NaN
compressionLrzip                NaN
level                           NaN
level1                          NaN
level2                          NaN
level3                          NaN
level4                          NaN
level5                          NaN
level6                          NaN
level7                          NaN
level8                          NaN
level9                          NaN
unlimitedWindowSize             NaN
disableCompressibilityTesting   NaN
#yes                            NaN
Name: % error, dtype: float64","count    200.000000
mean      17.173938
std       31.424407
min        0.179580
25%        3.957371
50%        7.307769
75%       17.650574
max      219.618872
Name: % error, dtype: float64",22
12,GradientBoostingTree,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.2,"root                            NaN
encryption                      NaN
compression                     NaN
compressionBzip2                NaN
compressionGzip                 NaN
compressionLzo                  NaN
compressionZpaq                 NaN
compressionLrzip                NaN
level                           NaN
level1                          NaN
level2                          NaN
level3                          NaN
level4                          NaN
level5                          NaN
level6                          NaN
level7                          NaN
level8                          NaN
level9                          NaN
unlimitedWindowSize             NaN
disableCompressibilityTesting   NaN
#yes                            NaN
Name: % error, dtype: float64","count    200.000000
mean      15.781617
std       24.724659
min        0.086003
25%        3.615999
50%        7.474089
75%       15.678977
max      166.618211
Name: % error, dtype: float64",22
13,DecisionTree,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.2,"root                            NaN
encryption                      NaN
compression                     NaN
compressionBzip2                NaN
compressionGzip                 NaN
compressionLzo                  NaN
compressionZpaq                 NaN
compressionLrzip                NaN
level                           NaN
level1                          NaN
level2                          NaN
level3                          NaN
level4                          NaN
level5                          NaN
level6                          NaN
level7                          NaN
level8                          NaN
level9                          NaN
unlimitedWindowSize             NaN
disableCompressibilityTesting   NaN
#yes                            NaN
Name: % error, dtype: float64","count    200.000000
mean      17.509564
std       37.313827
min        0.031328
25%        1.068454
50%        4.280438
75%       14.127795
max      237.890248
Name: % error, dtype: float64",22
14,LinearRegression,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.3,"compressionZpaq                  2.186395e+06
compressionLzo                   7.410796e+05
level9                           6.722289e+05
level1                           6.380679e+05
compressionGzip                  6.047844e+05
disableCompressibilityTesting    4.884813e+05
compressionBzip2                 4.192538e+05
compression                      2.918447e+05
level4                           1.877002e+05
level7                           1.834508e+05
#yes                             1.347896e+05
level3                           1.298984e+05
compressionLrzip                 1.294326e+05
level6                           1.106093e+05
level8                           8.057739e+04
encryption                       7.131773e+04
level2                           3.586934e+04
unlimitedWindowSize              3.173618e+04
level5                           1.299140e+04
level                            6.984919e-10
dtype: float64","count     175.000000
mean      393.319356
std       466.211729
min         4.957423
25%        60.774114
50%       226.038886
75%       495.938456
max      2237.601069
Name: % error, dtype: float64",22
15,Lasso,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')","Lasso(alpha=25, max_iter=1)",Performance,0.3,"compressionZpaq                  2.247014e+06
compressionLzo                   8.521371e+05
level1                           7.499167e+05
compressionGzip                  6.390273e+05
compression                      4.941246e+05
compressionBzip2                 4.278632e+05
level9                           4.196542e+05
compressionLrzip                 4.002379e+05
level6                           3.398677e+05
disableCompressibilityTesting    3.167482e+05
level8                           3.153439e+05
level7                           3.109593e+05
encryption                       2.746994e+05
level5                           2.420943e+05
unlimitedWindowSize              5.791630e+04
level2                           3.204606e+04
#yes                             3.050300e+04
level3                           2.270502e+04
level4                           1.614148e+04
dtype: float64","count     175.000000
mean      362.946456
std       439.810960
min         1.172336
25%        54.721215
50%       180.457822
75%       548.570803
max      2151.061933
Name: % error, dtype: float64",22
