,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'cells_51'],
      dtype='object')",LinearRegression(),Performance,0.1,"post_0      8202.983677
pre_1       3713.201289
post_1      2627.331039
CGSolver    1731.992925
pre_0       1470.717992
cells_50    1237.163989
cells_51    1137.045893
cells_55     474.851272
dtype: float64","count    964.000000
mean      16.497533
std       14.606154
min        0.004073
25%        5.775717
50%       13.720428
75%       23.010268
max      129.079618
Name: % error, dtype: float64",8
1,Lasso,False,DecisionTree,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'cells_51'],
      dtype='object')","Lasso(alpha=25, max_iter=10)",Performance,0.1,"post_0      7951.947005
pre_1       3504.308377
post_1      2326.257185
CGSolver    1582.949133
pre_0       1168.721936
cells_50    1072.130179
cells_51     923.377137
cells_55     493.152300
dtype: float64","count    964.000000
mean      16.184351
std       14.365421
min        0.022076
25%        6.225989
50%       13.347540
75%       22.161839
max      129.814734
Name: % error, dtype: float64",8
2,Ridge,False,DecisionTree,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'cells_51'],
      dtype='object')",Ridge(alpha=4),Performance,0.1,"post_0      6058.249053
pre_1       3059.230442
post_1      1604.822922
CGSolver    1355.988753
cells_50    1203.583195
cells_55     953.366316
cells_51     748.989226
pre_0        584.048629
dtype: float64","count    964.000000
mean      14.870004
std       13.620881
min        0.021182
25%        6.095055
50%       11.250591
75%       18.964985
max      107.695613
Name: % error, dtype: float64",8
3,ElasticNet,False,DecisionTree,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'cells_51'],
      dtype='object')","ElasticNet(alpha=0.1, l1_ratio=0.1, max_iter=5)",Performance,0.1,"post_0      4541.642311
pre_1       2440.688370
CGSolver    1081.134379
cells_50    1069.209510
cells_55    1041.797115
post_1      1011.502907
cells_51     527.631505
pre_0        141.066158
dtype: float64","count    964.000000
mean      14.212947
std       14.174915
min        0.005051
25%        3.957634
50%       10.087509
75%       18.628743
max       94.378475
Name: % error, dtype: float64",8
4,PolynomialRegression,False,DecisionTree,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'cells_51'],
      dtype='object')",LinearRegression(),Performance,0.1,"CGSolver    6.585104e+17
pre_0       5.285858e+17
pre_1       1.529012e+17
cells_55    1.003274e+17
cells_51    2.718174e+16
post_0      1.915711e+16
cells_50    1.224178e+16
post_1      6.060860e+15
dtype: float64","count    9.640000e+02
mean     4.408586e+11
std      3.134140e+12
min      1.555709e-02
25%      6.091621e+00
50%      1.295808e+01
75%      2.040952e+01
max      3.769094e+13
Name: % error, dtype: float64",8
5,RandomForest,False,DecisionTree,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'cells_51'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"CGSolver   NaN
post_0     NaN
pre_1      NaN
pre_0      NaN
post_1     NaN
cells_55   NaN
cells_50   NaN
cells_51   NaN
Name: % error, dtype: float64","count    964.000000
mean      12.974878
std       11.609671
min        0.002097
25%        5.600898
50%       10.477675
75%       17.095475
max      120.287729
Name: % error, dtype: float64",8
6,GradientBoostingTree,False,DecisionTree,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'cells_51'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"CGSolver   NaN
post_0     NaN
pre_1      NaN
pre_0      NaN
post_1     NaN
cells_55   NaN
cells_50   NaN
cells_51   NaN
Name: % error, dtype: float64","count    964.000000
mean      12.853898
std       11.190520
min        0.012590
25%        5.504666
50%       10.561184
75%       17.089518
max      110.353388
Name: % error, dtype: float64",8
7,DecisionTree,False,DecisionTree,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'cells_51'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"CGSolver   NaN
post_0     NaN
pre_1      NaN
pre_0      NaN
post_1     NaN
cells_55   NaN
cells_50   NaN
cells_51   NaN
Name: % error, dtype: float64","count    964.000000
mean      12.866916
std       11.571027
min        0.018107
25%        5.344819
50%       10.454961
75%       17.051137
max      118.419610
Name: % error, dtype: float64",8
8,LinearRegression,False,DecisionTree,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'cells_51'],
      dtype='object')",LinearRegression(),Performance,0.2,"post_0      9282.359750
pre_1       3647.958235
post_1      3557.633054
pre_0       2589.806352
CGSolver    2566.733261
cells_55    2147.689081
cells_50    1481.866429
cells_51    1326.740718
dtype: float64","count    857.000000
mean      19.359227
std       15.382574
min        0.014868
25%        6.871339
50%       17.127680
75%       29.201319
max      132.250702
Name: % error, dtype: float64",8
9,Lasso,False,DecisionTree,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'cells_51'],
      dtype='object')","Lasso(alpha=25, max_iter=10)",Performance,0.2,"post_0      9017.181821
pre_1       3459.700270
post_1      3337.906645
CGSolver    2471.101828
pre_0       2308.616049
cells_55    2124.122417
cells_50    1282.215072
cells_51    1137.784628
dtype: float64","count    857.000000
mean      18.504278
std       15.254007
min        0.007690
25%        6.117540
50%       16.401325
75%       27.279934
max      133.036672
Name: % error, dtype: float64",8
10,Ridge,False,DecisionTree,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'cells_51'],
      dtype='object')",Ridge(alpha=4),Performance,0.2,"post_0      7758.590667
pre_1       3330.458352
post_1      2922.610059
CGSolver    2373.525044
cells_55    2220.100653
pre_0       1979.904893
cells_50    1357.163696
cells_51    1177.488684
dtype: float64","count    857.000000
mean      17.317390
std       14.385959
min        0.050413
25%        5.801387
50%       14.858374
75%       25.291094
max      118.100974
Name: % error, dtype: float64",8
11,ElasticNet,False,DecisionTree,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'cells_51'],
      dtype='object')","ElasticNet(alpha=0.05, l1_ratio=0.1, max_iter=10)",Performance,0.2,"post_0      6341.507084
pre_1       2954.201506
post_1      2332.399321
cells_55    2178.615672
CGSolver    2155.485114
pre_0       1448.980240
cells_50    1217.932939
cells_51    1034.793047
dtype: float64","count    857.000000
mean      16.136243
std       13.567364
min        0.013669
25%        6.373812
50%       12.623746
75%       22.470333
max      105.827783
Name: % error, dtype: float64",8
12,PolynomialRegression,False,DecisionTree,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'cells_51'],
      dtype='object')",LinearRegression(),Performance,0.2,"post_1      6.400297e+17
cells_50    3.310244e+17
pre_1       7.085285e+16
cells_51    7.029258e+16
post_0      6.923862e+16
pre_0       1.870207e+16
cells_55    1.236794e+15
CGSolver    5.945634e+02
dtype: float64","count    857.000000
mean      17.669349
std       14.415872
min        0.058764
25%        6.714735
50%       14.136078
75%       24.922716
max      108.726351
Name: % error, dtype: float64",8
13,RandomForest,False,DecisionTree,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'cells_51'],
      dtype='object')",RandomForestRegressor(),Performance,0.2,"CGSolver   NaN
post_0     NaN
pre_1      NaN
pre_0      NaN
post_1     NaN
cells_55   NaN
cells_50   NaN
cells_51   NaN
Name: % error, dtype: float64","count    857.000000
mean      11.046918
std        9.936068
min        0.017198
25%        4.208049
50%        8.413256
75%       14.893792
max       85.380391
Name: % error, dtype: float64",8
14,GradientBoostingTree,False,DecisionTree,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'cells_51'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.2,"CGSolver   NaN
post_0     NaN
pre_1      NaN
pre_0      NaN
post_1     NaN
cells_55   NaN
cells_50   NaN
cells_51   NaN
Name: % error, dtype: float64","count    857.000000
mean      10.880043
std        9.646447
min        0.018121
25%        3.825703
50%        8.136408
75%       14.877656
max       78.139921
Name: % error, dtype: float64",8
15,DecisionTree,False,DecisionTree,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'cells_51'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.2,"CGSolver   NaN
post_0     NaN
pre_1      NaN
pre_0      NaN
post_1     NaN
cells_55   NaN
cells_50   NaN
cells_51   NaN
Name: % error, dtype: float64","count    857.000000
mean      11.128661
std       10.180568
min        0.011924
25%        4.093734
50%        8.579551
75%       14.873164
max       89.941239
Name: % error, dtype: float64",8
16,LinearRegression,False,DecisionTree,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'cells_51'],
      dtype='object')",LinearRegression(),Performance,0.3,"post_0      7626.539300
pre_1       3244.932242
post_1      3085.600656
pre_0       2331.980993
CGSolver    2256.937143
cells_55    1596.771279
cells_51    1469.983200
cells_50    1372.959462
dtype: float64","count    750.000000
mean      16.693569
std       14.028232
min        0.003615
25%        5.186217
50%       13.917779
75%       25.089965
max      115.625073
Name: % error, dtype: float64",8
17,Lasso,False,DecisionTree,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'cells_51'],
      dtype='object')","Lasso(alpha=25, max_iter=10)",Performance,0.3,"post_0      7357.904113
pre_1       3034.574084
post_1      2855.033551
CGSolver    2152.606702
pre_0       2026.255876
cells_55    1583.554088
cells_51    1278.044150
cells_50    1163.293317
dtype: float64","count    750.000000
mean      16.080403
std       13.797755
min        0.027566
25%        5.274021
50%       13.555589
75%       23.447974
max      116.511585
Name: % error, dtype: float64",8
18,Ridge,False,DecisionTree,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'cells_51'],
      dtype='object')",Ridge(alpha=10),Performance,0.3,"post_0      5841.145472
pre_1       2659.379145
post_1      2258.675183
CGSolver    1930.972769
cells_55    1742.263442
pre_0       1496.842139
cells_51    1166.409162
cells_50    1157.733850
dtype: float64","count    750.000000
mean      15.014469
std       13.045889
min        0.011943
25%        5.456571
50%       12.063400
75%       20.291097
max      100.777372
Name: % error, dtype: float64",8
19,ElasticNet,False,DecisionTree,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_55',
       'cells_50', 'cells_51'],
      dtype='object')","ElasticNet(alpha=0.05, l1_ratio=0.0, max_iter=100)",Performance,0.3,"post_0      5136.974745
pre_1       2401.691864
post_1      1940.142503
CGSolver    1788.880990
cells_55    1728.301684
pre_0       1205.135011
cells_50    1064.407819
cells_51    1050.419027
dtype: float64","count    750.000000
mean      14.698260
std       12.928942
min        0.011273
25%        6.046916
50%       11.394684
75%       19.230318
max       95.258938
Name: % error, dtype: float64",8
