,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')",LinearRegression(),Performance,0.1,"HAVE_CRYPTO    14.607986
PS1K            7.124056
PS32K           6.780590
PS16K           4.641817
PS4K            2.938848
dtype: float64","count     327.000000
mean      470.897463
std       716.210796
min         7.115663
25%        39.752927
50%        80.444728
75%       663.948808
max      2868.039815
Name: % error, dtype: float64",5
1,Lasso,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')","Lasso(alpha=0.3, max_iter=5)",Performance,0.1,"HAVE_CRYPTO    10.209293
PS1K            5.429632
PS32K           2.332773
PS4K            1.865602
PS16K           0.794048
dtype: float64","count     327.000000
mean      192.710095
std       317.400933
min         0.017882
25%        41.348655
50%        64.877115
75%       219.680825
max      1401.093252
Name: % error, dtype: float64",5
2,Ridge,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')",Ridge(alpha=2),Performance,0.1,"HAVE_CRYPTO    9.785018
PS1K           4.833637
PS32K          3.327094
PS4K           2.114361
PS16K          2.036450
dtype: float64","count     327.000000
mean      219.827601
std       313.424312
min         5.602086
25%        39.023165
50%        65.033574
75%       285.895261
max      1343.295785
Name: % error, dtype: float64",5
3,ElasticNet,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')","ElasticNet(alpha=0.1, max_iter=100)",Performance,0.1,"HAVE_CRYPTO    9.659331
PS1K           4.740151
PS32K          3.134719
PS4K           1.973306
PS16K          1.839675
dtype: float64","count     327.000000
mean      206.759199
std       298.190221
min         5.756011
25%        40.092833
50%        65.878777
75%       274.508551
max      1287.263915
Name: % error, dtype: float64",5
4,PolynomialRegression,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')",LinearRegression(),Performance,0.1,"HAVE_CRYPTO    5.176898
PS32K          0.307285
PS16K          0.103760
PS4K           0.012226
PS1K           0.005489
dtype: float64","count    327.000000
mean      13.804699
std       14.618810
min        0.005436
25%        2.719229
50%        7.077055
75%       21.814063
max       52.903198
Name: % error, dtype: float64",5
5,RandomForest,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')",RandomForestRegressor(),Performance,0.1,"PS32K         NaN
HAVE_CRYPTO   NaN
PS16K         NaN
PS1K          NaN
PS4K          NaN
Name: % error, dtype: float64","count    327.000000
mean      17.456662
std       13.955203
min        0.050722
25%        6.691294
50%       12.112682
75%       25.049388
max       52.592888
Name: % error, dtype: float64",5
6,GradientBoostingTree,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')",GradientBoostingRegressor(),Performance,0.1,"PS32K         NaN
HAVE_CRYPTO   NaN
PS16K         NaN
PS1K          NaN
PS4K          NaN
Name: % error, dtype: float64","count    327.000000
mean      15.468555
std       15.471716
min        0.062514
25%        3.351992
50%        8.057502
75%       21.748711
max       53.122778
Name: % error, dtype: float64",5
7,DecisionTree,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')",DecisionTreeRegressor(),Performance,0.1,"PS32K         NaN
HAVE_CRYPTO   NaN
PS16K         NaN
PS1K          NaN
PS4K          NaN
Name: % error, dtype: float64","count    327.000000
mean      13.804699
std       14.618810
min        0.005436
25%        2.719229
50%        7.077055
75%       21.814063
max       52.903198
Name: % error, dtype: float64",5
8,LinearRegression,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')",LinearRegression(),Performance,0.2,"HAVE_CRYPTO    14.327026
PS32K          10.492805
PS1K            5.113136
PS16K           3.717356
PS4K            2.335561
dtype: float64","count     291.000000
mean      401.000037
std       509.572314
min        11.712279
25%        39.714334
50%       150.398952
75%       541.342282
max      2098.612684
Name: % error, dtype: float64",5
9,Lasso,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')","Lasso(alpha=0.05, max_iter=100)",Performance,0.2,"HAVE_CRYPTO    13.909943
PS32K          10.122080
PS1K            4.907997
PS16K           3.228299
PS4K            2.116742
dtype: float64","count     291.000000
mean      372.591588
std       473.721410
min         5.927677
25%        41.071589
50%       120.748320
75%       483.635028
max      1965.409627
Name: % error, dtype: float64",5
10,Ridge,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')",Ridge(alpha=2),Performance,0.2,"HAVE_CRYPTO    12.234639
PS32K           8.282782
PS1K            4.999598
PS4K            2.597401
PS16K           1.915952
dtype: float64","count     291.000000
mean      292.349780
std       377.831327
min         9.298574
25%        43.447080
50%       138.134822
75%       279.822955
max      1561.681340
Name: % error, dtype: float64",5
11,ElasticNet,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')","ElasticNet(alpha=0.05, l1_ratio=0.0, max_iter=100)",Performance,0.2,"HAVE_CRYPTO    11.014721
PS32K           7.258277
PS1K            4.626634
PS4K            2.449465
PS16K           1.245517
dtype: float64","count     291.000000
mean      234.741550
std       307.469627
min         1.496504
25%        36.197946
50%        55.433722
75%       269.536259
max      1235.188182
Name: % error, dtype: float64",5
12,PolynomialRegression,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')",LinearRegression(),Performance,0.2,"HAVE_CRYPTO    5.189859
PS32K          0.391138
PS16K          0.175488
PS1K           0.047756
PS4K           0.022633
dtype: float64","count    291.000000
mean      15.415118
std       15.622953
min        0.016683
25%        1.662422
50%        6.386598
75%       31.498595
max       45.901047
Name: % error, dtype: float64",5
13,RandomForest,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')",RandomForestRegressor(),Performance,0.2,"PS32K         NaN
HAVE_CRYPTO   NaN
PS16K         NaN
PS1K          NaN
PS4K          NaN
Name: % error, dtype: float64","count    291.000000
mean      15.849132
std       15.411665
min        0.013287
25%        2.637620
50%        9.175636
75%       31.608062
max       46.504780
Name: % error, dtype: float64",5
14,GradientBoostingTree,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')",GradientBoostingRegressor(),Performance,0.2,"PS32K         NaN
HAVE_CRYPTO   NaN
PS16K         NaN
PS1K          NaN
PS4K          NaN
Name: % error, dtype: float64","count    291.000000
mean      18.935565
std       20.215619
min        0.198838
25%        2.550188
50%        7.628475
75%       34.115188
max       77.073266
Name: % error, dtype: float64",5
15,DecisionTree,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')",DecisionTreeRegressor(),Performance,0.2,"PS32K         NaN
HAVE_CRYPTO   NaN
PS16K         NaN
PS1K          NaN
PS4K          NaN
Name: % error, dtype: float64","count    291.000000
mean      15.415118
std       15.622953
min        0.016683
25%        1.662422
50%        6.386598
75%       31.498595
max       45.901047
Name: % error, dtype: float64",5
16,LinearRegression,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')",LinearRegression(),Performance,0.3,"HAVE_CRYPTO    14.369150
PS32K           9.446335
PS1K            4.391171
PS16K           4.188700
PS4K            1.756948
dtype: float64","count     255.000000
mean      337.647176
std       394.336095
min        15.289466
25%        42.980737
50%       223.507838
75%       436.806169
max      1772.321572
Name: % error, dtype: float64",5
17,Lasso,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')","Lasso(alpha=0.01, max_iter=100)",Performance,0.3,"HAVE_CRYPTO    14.308872
PS32K           9.387183
PS1K            4.345585
PS16K           4.120879
PS4K            1.708008
dtype: float64","count     255.000000
mean      333.508100
std       388.696517
min        15.770994
25%        43.205519
50%       222.383861
75%       430.371688
max      1750.915918
Name: % error, dtype: float64",5
18,Ridge,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')",Ridge(),Performance,0.3,"HAVE_CRYPTO    13.706086
PS32K           8.630921
PS1K            4.493949
PS16K           3.560413
PS4K            2.007385
dtype: float64","count     255.000000
mean      307.131701
std       359.223850
min        15.915335
25%        45.117380
50%       216.579414
75%       309.392395
max      1621.927856
Name: % error, dtype: float64",5
19,ElasticNet,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')","ElasticNet(alpha=0.02, l1_ratio=0.1, max_iter=100)",Performance,0.3,"HAVE_CRYPTO    13.134075
PS32K           8.025436
PS1K            4.473187
PS16K           3.122684
PS4K            2.107910
dtype: float64","count     255.000000
mean      281.888614
std       329.279561
min        15.011830
25%        46.931847
50%       171.873022
75%       305.802384
max      1485.955796
Name: % error, dtype: float64",5
20,PolynomialRegression,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')",LinearRegression(),Performance,0.3,"PS1K           5.490690e+13
PS32K          1.904819e+13
PS4K           1.682658e+13
PS16K          3.483406e+12
HAVE_CRYPTO    2.885357e+12
dtype: float64","count    255.000000
mean      15.538620
std       15.777898
min        0.057924
25%        2.640582
50%        7.506982
75%       27.641079
max       51.219769
Name: % error, dtype: float64",5
21,RandomForest,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')",RandomForestRegressor(),Performance,0.3,"PS32K         NaN
HAVE_CRYPTO   NaN
PS16K         NaN
PS1K          NaN
PS4K          NaN
Name: % error, dtype: float64","count    255.000000
mean      14.927847
std       14.855670
min        0.068811
25%        2.918867
50%        7.159742
75%       28.677476
max       51.718126
Name: % error, dtype: float64",5
22,GradientBoostingTree,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')",GradientBoostingRegressor(),Performance,0.3,"PS32K         NaN
HAVE_CRYPTO   NaN
PS16K         NaN
PS1K          NaN
PS4K          NaN
Name: % error, dtype: float64","count    255.000000
mean      17.223649
std       18.822438
min        0.402621
25%        3.193054
50%        9.020047
75%       30.292591
max       74.825137
Name: % error, dtype: float64",5
23,DecisionTree,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')",DecisionTreeRegressor(),Performance,0.3,"PS32K         NaN
HAVE_CRYPTO   NaN
PS16K         NaN
PS1K          NaN
PS4K          NaN
Name: % error, dtype: float64","count    255.000000
mean      15.111513
std       15.103134
min        0.186233
25%        2.918930
50%        7.864534
75%       28.103419
max       51.292335
Name: % error, dtype: float64",5
24,LinearRegression,False,DecisionTree,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS1K', 'PS4K'], dtype='object')",LinearRegression(),Performance,0.4,"HAVE_CRYPTO    15.123854
PS32K           9.613849
PS1K            5.934979
PS16K           4.426202
PS4K            1.960143
dtype: float64","count     218.000000
mean      372.815223
std       475.665229
min        10.192292
25%        40.561532
50%       183.310462
75%       433.274093
max      2190.887787
Name: % error, dtype: float64",5
