,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['HAVE_CRYPTO', 'HAVE_SEQUENCE', 'HAVE_STATISTICS', '#yes',
       'HAVE_REPLICATION'],
      dtype='object')",LinearRegression(),Performance,0.1,"HAVE_CRYPTO         10.162724
HAVE_REPLICATION     2.278422
HAVE_SEQUENCE        2.254783
#yes                 0.991651
HAVE_STATISTICS      0.701720
dtype: float64","count     327.000000
mean      226.766285
std       215.382965
min         0.297847
25%        42.735483
50%       169.862908
75%       370.893438
max      1085.312721
Name: % error, dtype: float64",5
1,Lasso,False,DecisionTree,"Index(['HAVE_CRYPTO', 'HAVE_SEQUENCE', 'HAVE_STATISTICS', '#yes',
       'HAVE_REPLICATION'],
      dtype='object')","Lasso(alpha=0.3, max_iter=10)",Performance,0.1,"HAVE_CRYPTO         7.574826
HAVE_REPLICATION    2.064880
#yes                0.025104
dtype: float64","count    327.000000
mean     161.873986
std      113.186711
min       11.470145
25%       52.898622
50%      147.941450
75%      254.021789
max      418.548920
Name: % error, dtype: float64",5
2,Ridge,False,DecisionTree,"Index(['HAVE_CRYPTO', 'HAVE_SEQUENCE', 'HAVE_STATISTICS', '#yes',
       'HAVE_REPLICATION'],
      dtype='object')",Ridge(alpha=0.8),Performance,0.1,"HAVE_CRYPTO         8.689834
HAVE_REPLICATION    2.571957
HAVE_SEQUENCE       1.205903
#yes                0.519454
HAVE_STATISTICS     0.371737
dtype: float64","count    327.000000
mean     209.049342
std      165.218212
min        0.149167
25%       56.140383
50%      192.678911
75%      335.384657
max      684.708971
Name: % error, dtype: float64",5
3,ElasticNet,False,DecisionTree,"Index(['HAVE_CRYPTO', 'HAVE_SEQUENCE', 'HAVE_STATISTICS', '#yes',
       'HAVE_REPLICATION'],
      dtype='object')","ElasticNet(alpha=0.3, l1_ratio=1.0, max_iter=10)",Performance,0.1,"HAVE_CRYPTO         7.574826
HAVE_REPLICATION    2.064880
#yes                0.025104
dtype: float64","count    327.000000
mean     161.873986
std      113.186711
min       11.470145
25%       52.898622
50%      147.941450
75%      254.021789
max      418.548920
Name: % error, dtype: float64",5
4,PolynomialRegression,False,DecisionTree,"Index(['HAVE_CRYPTO', 'HAVE_SEQUENCE', 'HAVE_STATISTICS', '#yes',
       'HAVE_REPLICATION'],
      dtype='object')",LinearRegression(),Performance,0.1,"HAVE_SEQUENCE       18.925127
HAVE_CRYPTO         17.525718
#yes                17.430351
HAVE_REPLICATION    17.149122
HAVE_STATISTICS      1.232921
dtype: float64","count     327.000000
mean      235.562672
std       292.964088
min         0.581689
25%        49.820686
50%       134.116308
75%       327.661644
max      1955.510695
Name: % error, dtype: float64",5
5,RandomForest,False,DecisionTree,"Index(['HAVE_CRYPTO', 'HAVE_SEQUENCE', 'HAVE_STATISTICS', '#yes',
       'HAVE_REPLICATION'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"HAVE_CRYPTO        NaN
HAVE_SEQUENCE      NaN
HAVE_STATISTICS    NaN
#yes               NaN
HAVE_REPLICATION   NaN
Name: % error, dtype: float64","count    327.000000
mean      73.068844
std      114.497632
min        0.120188
25%       10.282287
50%       37.789746
75%       71.720582
max      713.030500
Name: % error, dtype: float64",5
6,GradientBoostingTree,False,DecisionTree,"Index(['HAVE_CRYPTO', 'HAVE_SEQUENCE', 'HAVE_STATISTICS', '#yes',
       'HAVE_REPLICATION'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"HAVE_CRYPTO        NaN
HAVE_SEQUENCE      NaN
HAVE_STATISTICS    NaN
#yes               NaN
HAVE_REPLICATION   NaN
Name: % error, dtype: float64","count    327.000000
mean      80.384686
std      138.706143
min        0.131442
25%       13.522500
50%       40.789409
75%       75.985948
max      946.669223
Name: % error, dtype: float64",5
7,DecisionTree,False,DecisionTree,"Index(['HAVE_CRYPTO', 'HAVE_SEQUENCE', 'HAVE_STATISTICS', '#yes',
       'HAVE_REPLICATION'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"HAVE_CRYPTO        NaN
HAVE_SEQUENCE      NaN
HAVE_STATISTICS    NaN
#yes               NaN
HAVE_REPLICATION   NaN
Name: % error, dtype: float64","count    327.000000
mean      79.248979
std      138.742738
min        0.023867
25%       10.391439
50%       38.547085
75%       79.958321
max      950.740071
Name: % error, dtype: float64",5
8,LinearRegression,False,DecisionTree,"Index(['HAVE_CRYPTO', 'HAVE_SEQUENCE', 'HAVE_STATISTICS', '#yes',
       'HAVE_REPLICATION'],
      dtype='object')",LinearRegression(),Performance,0.2,"HAVE_CRYPTO         9.351319
HAVE_SEQUENCE       2.767884
HAVE_REPLICATION    1.240567
#yes                0.920933
HAVE_STATISTICS     0.018390
dtype: float64","count     291.000000
mean      195.436736
std       188.849698
min         0.218318
25%        45.634040
50%       143.483344
75%       291.713538
max      1018.089289
Name: % error, dtype: float64",5
9,Lasso,False,DecisionTree,"Index(['HAVE_CRYPTO', 'HAVE_SEQUENCE', 'HAVE_STATISTICS', '#yes',
       'HAVE_REPLICATION'],
      dtype='object')","Lasso(alpha=0.05, max_iter=100)",Performance,0.2,"HAVE_CRYPTO         8.975033
HAVE_SEQUENCE       2.359204
HAVE_REPLICATION    1.188468
#yes                0.779082
dtype: float64","count    291.000000
mean     177.353557
std      166.427300
min        2.023049
25%       47.282707
50%      134.088732
75%      276.578178
max      856.588502
Name: % error, dtype: float64",5
