,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['HAVE_CRYPTO', 'PS16K', 'PS32K', 'PS8K', 'PS1K'], dtype='object')",LinearRegression(),Performance,0.1,"PS16K          8.354845e+00
HAVE_CRYPTO    7.820333e+00
PS8K           1.938455e+00
PS1K           1.560672e+00
PS32K          1.942890e-15
dtype: float64","count     327.000000
mean      216.911873
std       253.399646
min        10.318650
25%        30.658358
50%       134.384339
75%       260.131375
max      1231.070664
Name: % error, dtype: float64",5
1,Lasso,False,DecisionTree,"Index(['HAVE_CRYPTO', 'PS16K', 'PS32K', 'PS8K', 'PS1K'], dtype='object')","Lasso(alpha=0.3, max_iter=10)",Performance,0.1,"HAVE_CRYPTO    7.025939
PS16K          5.630402
PS1K           1.203999
dtype: float64","count    327.000000
mean     129.711609
std      169.266639
min        4.514956
25%       32.376043
50%       84.822535
75%      165.154892
max      957.492769
Name: % error, dtype: float64",5
2,Ridge,False,DecisionTree,"Index(['HAVE_CRYPTO', 'PS16K', 'PS32K', 'PS8K', 'PS1K'], dtype='object')",Ridge(alpha=0.8),Performance,0.1,"HAVE_CRYPTO    7.326267
PS16K          6.973303
PS1K           1.782684
PS8K           1.475668
dtype: float64","count     327.000000
mean      178.395116
std       228.561275
min         7.697205
25%        18.587721
50%        80.950209
75%       280.325166
max      1097.920645
Name: % error, dtype: float64",5
3,ElasticNet,False,DecisionTree,"Index(['HAVE_CRYPTO', 'PS16K', 'PS32K', 'PS8K', 'PS1K'], dtype='object')","ElasticNet(alpha=0.05, l1_ratio=0.1, max_iter=5)",Performance,0.1,"HAVE_CRYPTO    6.833914
PS16K          5.988686
PS1K           1.833576
PS8K           1.186672
dtype: float64","count     327.000000
mean      168.516820
std       195.463754
min        10.896015
25%        31.469830
50%        79.716963
75%       278.616359
max      1006.201543
Name: % error, dtype: float64",5
4,PolynomialRegression,False,DecisionTree,"Index(['HAVE_CRYPTO', 'PS16K', 'PS32K', 'PS8K', 'PS1K'], dtype='object')",LinearRegression(),Performance,0.1,"HAVE_CRYPTO    2.838272e+00
PS16K          2.238420e-01
PS1K           2.583150e-02
PS8K           5.245980e-03
PS32K          1.332268e-15
dtype: float64","count    327.000000
mean      15.958012
std       15.950807
min        0.066546
25%        4.520347
50%        6.599240
75%       29.655639
max       83.669177
Name: % error, dtype: float64",5
5,RandomForest,False,DecisionTree,"Index(['HAVE_CRYPTO', 'PS16K', 'PS32K', 'PS8K', 'PS1K'], dtype='object')",RandomForestRegressor(),Performance,0.1,"HAVE_CRYPTO   NaN
PS16K         NaN
PS32K         NaN
PS8K          NaN
PS1K          NaN
Name: % error, dtype: float64","count    327.000000
mean      20.894136
std       32.261112
min        0.585188
25%        4.493965
50%        8.416098
75%       31.220377
max      181.491814
Name: % error, dtype: float64",5
6,GradientBoostingTree,False,DecisionTree,"Index(['HAVE_CRYPTO', 'PS16K', 'PS32K', 'PS8K', 'PS1K'], dtype='object')",GradientBoostingRegressor(),Performance,0.1,"HAVE_CRYPTO   NaN
PS16K         NaN
PS32K         NaN
PS8K          NaN
PS1K          NaN
Name: % error, dtype: float64","count    327.000000
mean      15.713068
std       15.480686
min        0.030485
25%        4.378860
50%        6.646468
75%       30.060757
max       83.738782
Name: % error, dtype: float64",5
7,DecisionTree,False,DecisionTree,"Index(['HAVE_CRYPTO', 'PS16K', 'PS32K', 'PS8K', 'PS1K'], dtype='object')",DecisionTreeRegressor(),Performance,0.1,"HAVE_CRYPTO   NaN
PS16K         NaN
PS32K         NaN
PS8K          NaN
PS1K          NaN
Name: % error, dtype: float64","count    327.000000
mean      15.958012
std       15.950807
min        0.066546
25%        4.520347
50%        6.599240
75%       29.655639
max       83.669177
Name: % error, dtype: float64",5
8,LinearRegression,False,DecisionTree,"Index(['HAVE_CRYPTO', 'PS16K', 'PS32K', 'PS8K', 'PS1K'], dtype='object')",LinearRegression(),Performance,0.2,"PS16K          1.005613e+01
HAVE_CRYPTO    6.889337e+00
PS8K           2.018148e+00
PS1K           1.279339e+00
PS32K          8.881784e-16
dtype: float64","count     291.000000
mean      203.097520
std       300.836030
min         7.021814
25%        19.773763
50%        76.881567
75%       303.098326
max      1554.330219
Name: % error, dtype: float64",5
9,Lasso,False,DecisionTree,"Index(['HAVE_CRYPTO', 'PS16K', 'PS32K', 'PS8K', 'PS1K'], dtype='object')","Lasso(alpha=0.1, max_iter=1)",Performance,0.2,"PS16K          8.539578
HAVE_CRYPTO    7.944737
PS8K           1.656641
PS1K           1.061453
dtype: float64","count     291.000000
mean      200.219392
std       245.569817
min        11.642003
25%        33.051806
50%       128.336308
75%       232.792168
max      1263.667080
Name: % error, dtype: float64",5
