,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy
10,Ridge,False,None,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PS1K', 'PS4K',
       'PS8K', 'PS16K', 'PS32K', 'CS32MB', 'CS16MB', 'CS64MB', 'CS512MB',
       '#yes'],
      dtype='object')",Ridge(),Performance,0.1,"HAVE_CRYPTO         14.686937
PS32K               14.317077
PS1K                 8.748341
PS4K                 6.743824
PS16K                4.334389
DIAGNOSTIC           3.935333
PS8K                 3.159301
HAVE_VERIFY          2.837049
#yes                 2.515175
HAVE_REPLICATION     2.384955
HAVE_SEQUENCE        1.772001
HAVE_STATISTICS      0.862956
CS512MB              0.562317
CS32MB               0.401910
HAVE_HASH            0.379469
CS64MB               0.230276
CS16MB               0.069868
dtype: float64","count      37.000000
mean      296.520085
std       492.691255
min         0.414113
25%        22.564920
50%        55.108692
75%       280.313081
max      1956.157997
Name: % error, dtype: float64"
11,ElasticNet,False,None,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PS1K', 'PS4K',
       'PS8K', 'PS16K', 'PS32K', 'CS32MB', 'CS16MB', 'CS64MB', 'CS512MB',
       '#yes'],
      dtype='object')","ElasticNet(alpha=0.1, l1_ratio=1.0, max_iter=100)",Performance,0.1,"PS32K              17.074589
HAVE_CRYPTO        16.413749
PS16K               7.075619
PS1K                5.170517
PS4K                3.019732
HAVE_HASH           1.163041
DIAGNOSTIC          0.847702
HAVE_STATISTICS     0.590027
#yes                0.288491
CS512MB             0.097704
dtype: float64","count      37.000000
mean      283.202565
std       460.950458
min         0.777384
25%        19.193263
50%        56.807758
75%       258.920298
max      1810.813310
Name: % error, dtype: float64"
12,LinearRegression,False,None,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PS1K', 'PS4K',
       'PS8K', 'PS16K', 'PS32K', 'CS32MB', 'CS16MB', 'CS64MB', 'CS512MB',
       '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"HAVE_CRYPTO         14.968661
PS32K               14.554990
PS1K                 8.865253
PS4K                 6.884441
PS16K                4.422400
DIAGNOSTIC           4.074973
PS8K                 3.227697
HAVE_VERIFY          2.909273
#yes                 2.533466
HAVE_REPLICATION     2.430450
HAVE_SEQUENCE        1.819345
HAVE_STATISTICS      0.822643
CS512MB              0.578701
CS32MB               0.416145
HAVE_HASH            0.378511
CS64MB               0.224981
CS16MB               0.062424
dtype: float64","count      37.000000
mean      303.032038
std       507.713465
min         1.231258
25%        21.704357
50%        69.779900
75%       279.294269
max      2022.202468
Name: % error, dtype: float64"
13,Lasso,False,None,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PS1K', 'PS4K',
       'PS8K', 'PS16K', 'PS32K', 'CS32MB', 'CS16MB', 'CS64MB', 'CS512MB',
       '#yes'],
      dtype='object')","Lasso(alpha=0.1, max_iter=100)",Performance,0.1,"PS32K              17.074589
HAVE_CRYPTO        16.413749
PS16K               7.075619
PS1K                5.170517
PS4K                3.019732
HAVE_HASH           1.163041
DIAGNOSTIC          0.847702
HAVE_STATISTICS     0.590027
#yes                0.288491
CS512MB             0.097704
dtype: float64","count      37.000000
mean      283.202565
std       460.950458
min         0.777384
25%        19.193263
50%        56.807758
75%       258.920298
max      1810.813310
Name: % error, dtype: float64"
14,Ridge,False,None,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PS1K', 'PS4K',
       'PS8K', 'PS16K', 'PS32K', 'CS32MB', 'CS16MB', 'CS64MB', 'CS512MB',
       '#yes'],
      dtype='object')",Ridge(),Performance,0.1,"HAVE_CRYPTO         14.686937
PS32K               14.317077
PS1K                 8.748341
PS4K                 6.743824
PS16K                4.334389
DIAGNOSTIC           3.935333
PS8K                 3.159301
HAVE_VERIFY          2.837049
#yes                 2.515175
HAVE_REPLICATION     2.384955
HAVE_SEQUENCE        1.772001
HAVE_STATISTICS      0.862956
CS512MB              0.562317
CS32MB               0.401910
HAVE_HASH            0.379469
CS64MB               0.230276
CS16MB               0.069868
dtype: float64","count      37.000000
mean      296.520085
std       492.691255
min         0.414113
25%        22.564920
50%        55.108692
75%       280.313081
max      1956.157997
Name: % error, dtype: float64"
15,ElasticNet,False,None,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PS1K', 'PS4K',
       'PS8K', 'PS16K', 'PS32K', 'CS32MB', 'CS16MB', 'CS64MB', 'CS512MB',
       '#yes'],
      dtype='object')","ElasticNet(alpha=0.1, l1_ratio=1.0, max_iter=100)",Performance,0.1,"PS32K              17.074589
HAVE_CRYPTO        16.413749
PS16K               7.075619
PS1K                5.170517
PS4K                3.019732
HAVE_HASH           1.163041
DIAGNOSTIC          0.847702
HAVE_STATISTICS     0.590027
#yes                0.288491
CS512MB             0.097704
dtype: float64","count      37.000000
mean      283.202565
std       460.950458
min         0.777384
25%        19.193263
50%        56.807758
75%       258.920298
max      1810.813310
Name: % error, dtype: float64"
16,LinearRegression,False,None,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PS1K', 'PS4K',
       'PS8K', 'PS16K', 'PS32K', 'CS32MB', 'CS16MB', 'CS64MB', 'CS512MB',
       '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"HAVE_CRYPTO         14.968661
PS32K               14.554990
PS1K                 8.865253
PS4K                 6.884441
PS16K                4.422400
DIAGNOSTIC           4.074973
PS8K                 3.227697
HAVE_VERIFY          2.909273
#yes                 2.533466
HAVE_REPLICATION     2.430450
HAVE_SEQUENCE        1.819345
HAVE_STATISTICS      0.822643
CS512MB              0.578701
CS32MB               0.416145
HAVE_HASH            0.378511
CS64MB               0.224981
CS16MB               0.062424
dtype: float64","count      37.000000
mean      303.032038
std       507.713465
min         1.231258
25%        21.704357
50%        69.779900
75%       279.294269
max      2022.202468
Name: % error, dtype: float64"
17,Lasso,False,None,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PS1K', 'PS4K',
       'PS8K', 'PS16K', 'PS32K', 'CS32MB', 'CS16MB', 'CS64MB', 'CS512MB',
       '#yes'],
      dtype='object')","Lasso(alpha=0.1, max_iter=100)",Performance,0.1,"PS32K              17.074589
HAVE_CRYPTO        16.413749
PS16K               7.075619
PS1K                5.170517
PS4K                3.019732
HAVE_HASH           1.163041
DIAGNOSTIC          0.847702
HAVE_STATISTICS     0.590027
#yes                0.288491
CS512MB             0.097704
dtype: float64","count      37.000000
mean      283.202565
std       460.950458
min         0.777384
25%        19.193263
50%        56.807758
75%       258.920298
max      1810.813310
Name: % error, dtype: float64"
18,Ridge,False,None,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PS1K', 'PS4K',
       'PS8K', 'PS16K', 'PS32K', 'CS32MB', 'CS16MB', 'CS64MB', 'CS512MB',
       '#yes'],
      dtype='object')",Ridge(),Performance,0.1,"HAVE_CRYPTO         14.686937
PS32K               14.317077
PS1K                 8.748341
PS4K                 6.743824
PS16K                4.334389
DIAGNOSTIC           3.935333
PS8K                 3.159301
HAVE_VERIFY          2.837049
#yes                 2.515175
HAVE_REPLICATION     2.384955
HAVE_SEQUENCE        1.772001
HAVE_STATISTICS      0.862956
CS512MB              0.562317
CS32MB               0.401910
HAVE_HASH            0.379469
CS64MB               0.230276
CS16MB               0.069868
dtype: float64","count      37.000000
mean      296.520085
std       492.691255
min         0.414113
25%        22.564920
50%        55.108692
75%       280.313081
max      1956.157997
Name: % error, dtype: float64"
19,ElasticNet,False,None,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PS1K', 'PS4K',
       'PS8K', 'PS16K', 'PS32K', 'CS32MB', 'CS16MB', 'CS64MB', 'CS512MB',
       '#yes'],
      dtype='object')","ElasticNet(alpha=0.1, l1_ratio=1.0, max_iter=100)",Performance,0.1,"PS32K              17.074589
HAVE_CRYPTO        16.413749
PS16K               7.075619
PS1K                5.170517
PS4K                3.019732
HAVE_HASH           1.163041
DIAGNOSTIC          0.847702
HAVE_STATISTICS     0.590027
#yes                0.288491
CS512MB             0.097704
dtype: float64","count      37.000000
mean      283.202565
std       460.950458
min         0.777384
25%        19.193263
50%        56.807758
75%       258.920298
max      1810.813310
Name: % error, dtype: float64"
20,LinearRegression,False,None,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PS1K', 'PS4K',
       'PS8K', 'PS16K', 'PS32K', 'CS32MB', 'CS16MB', 'CS64MB', 'CS512MB',
       '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"HAVE_CRYPTO         14.968661
PS32K               14.554990
PS1K                 8.865253
PS4K                 6.884441
PS16K                4.422400
DIAGNOSTIC           4.074973
PS8K                 3.227697
HAVE_VERIFY          2.909273
#yes                 2.533466
HAVE_REPLICATION     2.430450
HAVE_SEQUENCE        1.819345
HAVE_STATISTICS      0.822643
CS512MB              0.578701
CS32MB               0.416145
HAVE_HASH            0.378511
CS64MB               0.224981
CS16MB               0.062424
dtype: float64","count      37.000000
mean      303.032038
std       507.713465
min         1.231258
25%        21.704357
50%        69.779900
75%       279.294269
max      2022.202468
Name: % error, dtype: float64"
21,Lasso,False,None,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PS1K', 'PS4K',
       'PS8K', 'PS16K', 'PS32K', 'CS32MB', 'CS16MB', 'CS64MB', 'CS512MB',
       '#yes'],
      dtype='object')","Lasso(alpha=0.1, max_iter=100)",Performance,0.1,"PS32K              17.074589
HAVE_CRYPTO        16.413749
PS16K               7.075619
PS1K                5.170517
PS4K                3.019732
HAVE_HASH           1.163041
DIAGNOSTIC          0.847702
HAVE_STATISTICS     0.590027
#yes                0.288491
CS512MB             0.097704
dtype: float64","count      37.000000
mean      283.202565
std       460.950458
min         0.777384
25%        19.193263
50%        56.807758
75%       258.920298
max      1810.813310
Name: % error, dtype: float64"
22,Ridge,False,None,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PS1K', 'PS4K',
       'PS8K', 'PS16K', 'PS32K', 'CS32MB', 'CS16MB', 'CS64MB', 'CS512MB',
       '#yes'],
      dtype='object')",Ridge(),Performance,0.1,"HAVE_CRYPTO         14.686937
PS32K               14.317077
PS1K                 8.748341
PS4K                 6.743824
PS16K                4.334389
DIAGNOSTIC           3.935333
PS8K                 3.159301
HAVE_VERIFY          2.837049
#yes                 2.515175
HAVE_REPLICATION     2.384955
HAVE_SEQUENCE        1.772001
HAVE_STATISTICS      0.862956
CS512MB              0.562317
CS32MB               0.401910
HAVE_HASH            0.379469
CS64MB               0.230276
CS16MB               0.069868
dtype: float64","count      37.000000
mean      296.520085
std       492.691255
min         0.414113
25%        22.564920
50%        55.108692
75%       280.313081
max      1956.157997
Name: % error, dtype: float64"
23,ElasticNet,False,None,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PS1K', 'PS4K',
       'PS8K', 'PS16K', 'PS32K', 'CS32MB', 'CS16MB', 'CS64MB', 'CS512MB',
       '#yes'],
      dtype='object')","ElasticNet(alpha=0.1, l1_ratio=1.0, max_iter=100)",Performance,0.1,"PS32K              17.074589
HAVE_CRYPTO        16.413749
PS16K               7.075619
PS1K                5.170517
PS4K                3.019732
HAVE_HASH           1.163041
DIAGNOSTIC          0.847702
HAVE_STATISTICS     0.590027
#yes                0.288491
CS512MB             0.097704
dtype: float64","count      37.000000
mean      283.202565
std       460.950458
min         0.777384
25%        19.193263
50%        56.807758
75%       258.920298
max      1810.813310
Name: % error, dtype: float64"
24,LinearRegression,False,None,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PS1K', 'PS4K',
       'PS8K', 'PS16K', 'PS32K', 'CS32MB', 'CS16MB', 'CS64MB', 'CS512MB',
       '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"HAVE_CRYPTO         14.968661
PS32K               14.554990
PS1K                 8.865253
PS4K                 6.884441
PS16K                4.422400
DIAGNOSTIC           4.074973
PS8K                 3.227697
HAVE_VERIFY          2.909273
#yes                 2.533466
HAVE_REPLICATION     2.430450
HAVE_SEQUENCE        1.819345
HAVE_STATISTICS      0.822643
CS512MB              0.578701
CS32MB               0.416145
HAVE_HASH            0.378511
CS64MB               0.224981
CS16MB               0.062424
dtype: float64","count      37.000000
mean      303.032038
std       507.713465
min         1.231258
25%        21.704357
50%        69.779900
75%       279.294269
max      2022.202468
Name: % error, dtype: float64"
25,Lasso,False,None,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PS1K', 'PS4K',
       'PS8K', 'PS16K', 'PS32K', 'CS32MB', 'CS16MB', 'CS64MB', 'CS512MB',
       '#yes'],
      dtype='object')","Lasso(alpha=0.1, max_iter=100)",Performance,0.1,"PS32K              17.074589
HAVE_CRYPTO        16.413749
PS16K               7.075619
PS1K                5.170517
PS4K                3.019732
HAVE_HASH           1.163041
DIAGNOSTIC          0.847702
HAVE_STATISTICS     0.590027
#yes                0.288491
CS512MB             0.097704
dtype: float64","count      37.000000
mean      283.202565
std       460.950458
min         0.777384
25%        19.193263
50%        56.807758
75%       258.920298
max      1810.813310
Name: % error, dtype: float64"
26,Ridge,False,None,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PS1K', 'PS4K',
       'PS8K', 'PS16K', 'PS32K', 'CS32MB', 'CS16MB', 'CS64MB', 'CS512MB',
       '#yes'],
      dtype='object')",Ridge(),Performance,0.1,"HAVE_CRYPTO         14.686937
PS32K               14.317077
PS1K                 8.748341
PS4K                 6.743824
PS16K                4.334389
DIAGNOSTIC           3.935333
PS8K                 3.159301
HAVE_VERIFY          2.837049
#yes                 2.515175
HAVE_REPLICATION     2.384955
HAVE_SEQUENCE        1.772001
HAVE_STATISTICS      0.862956
CS512MB              0.562317
CS32MB               0.401910
HAVE_HASH            0.379469
CS64MB               0.230276
CS16MB               0.069868
dtype: float64","count      37.000000
mean      296.520085
std       492.691255
min         0.414113
25%        22.564920
50%        55.108692
75%       280.313081
max      1956.157997
Name: % error, dtype: float64"
27,ElasticNet,False,None,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PS1K', 'PS4K',
       'PS8K', 'PS16K', 'PS32K', 'CS32MB', 'CS16MB', 'CS64MB', 'CS512MB',
       '#yes'],
      dtype='object')","ElasticNet(alpha=0.1, l1_ratio=1.0, max_iter=100)",Performance,0.1,"PS32K              17.074589
HAVE_CRYPTO        16.413749
PS16K               7.075619
PS1K                5.170517
PS4K                3.019732
HAVE_HASH           1.163041
DIAGNOSTIC          0.847702
HAVE_STATISTICS     0.590027
#yes                0.288491
CS512MB             0.097704
dtype: float64","count      37.000000
mean      283.202565
std       460.950458
min         0.777384
25%        19.193263
50%        56.807758
75%       258.920298
max      1810.813310
Name: % error, dtype: float64"
28,LinearRegression,False,None,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'HAVE_REPLICATION', 'HAVE_VERIFY',
       'HAVE_SEQUENCE', 'HAVE_STATISTICS', 'DIAGNOSTIC', 'PS1K', 'PS4K',
       'PS8K', 'PS16K', 'PS32K', 'CS32MB', 'CS16MB', 'CS64MB', 'CS512MB',
       '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"HAVE_CRYPTO         14.968661
PS32K               14.554990
PS1K                 8.865253
PS4K                 6.884441
PS16K                4.422400
DIAGNOSTIC           4.074973
PS8K                 3.227697
HAVE_VERIFY          2.909273
#yes                 2.533466
HAVE_REPLICATION     2.430450
HAVE_SEQUENCE        1.819345
HAVE_STATISTICS      0.822643
CS512MB              0.578701
CS32MB               0.416145
HAVE_HASH            0.378511
CS64MB               0.224981
CS16MB               0.062424
dtype: float64","count      37.000000
mean      303.032038
std       507.713465
min         1.231258
25%        21.704357
50%        69.779900
75%       279.294269
max      2022.202468
Name: % error, dtype: float64"
